"name","GSK.180.CYTO_1","GSK.180.CYTO_2","GSK.180.CYTO_3","GSK.48H.CYTO_1","GSK.48H.CYTO_2","GSK.48H.CYTO_3","MS023.48H.CYTO_1","MS023.48H.CYTO_2","MS023.48H.CYTO_3","DMSO.HYPO_1","DMSO.HYPO_2","DMSO.HYPO_3","Accession","Description","Symbol","ID","imputed","num_NAs","GSK.180.CYTO_vs_DMSO.HYPO_CI.L","GSK.180.CYTO_vs_DMSO.HYPO_CI.R","GSK.180.CYTO_vs_DMSO.HYPO_diff","GSK.180.CYTO_vs_DMSO.HYPO_p.adj","GSK.180.CYTO_vs_DMSO.HYPO_p.val","GSK.180.CYTO_vs_DMSO.HYPO_t.stastic","GSK.180.CYTO_vs_GSK.48H.CYTO_CI.L","GSK.180.CYTO_vs_GSK.48H.CYTO_CI.R","GSK.180.CYTO_vs_GSK.48H.CYTO_diff","GSK.180.CYTO_vs_GSK.48H.CYTO_p.adj","GSK.180.CYTO_vs_GSK.48H.CYTO_p.val","GSK.180.CYTO_vs_GSK.48H.CYTO_t.stastic","GSK.180.CYTO_vs_MS023.48H.CYTO_CI.L","GSK.180.CYTO_vs_MS023.48H.CYTO_CI.R","GSK.180.CYTO_vs_MS023.48H.CYTO_diff","GSK.180.CYTO_vs_MS023.48H.CYTO_p.adj","GSK.180.CYTO_vs_MS023.48H.CYTO_p.val","GSK.180.CYTO_vs_MS023.48H.CYTO_t.stastic","GSK.48H.CYTO_vs_DMSO.HYPO_CI.L","GSK.48H.CYTO_vs_DMSO.HYPO_CI.R","GSK.48H.CYTO_vs_DMSO.HYPO_diff","GSK.48H.CYTO_vs_DMSO.HYPO_p.adj","GSK.48H.CYTO_vs_DMSO.HYPO_p.val","GSK.48H.CYTO_vs_DMSO.HYPO_t.stastic","GSK.48H.CYTO_vs_MS023.48H.CYTO_CI.L","GSK.48H.CYTO_vs_MS023.48H.CYTO_CI.R","GSK.48H.CYTO_vs_MS023.48H.CYTO_diff","GSK.48H.CYTO_vs_MS023.48H.CYTO_p.adj","GSK.48H.CYTO_vs_MS023.48H.CYTO_p.val","GSK.48H.CYTO_vs_MS023.48H.CYTO_t.stastic","MS023.48H.CYTO_vs_DMSO.HYPO_CI.L","MS023.48H.CYTO_vs_DMSO.HYPO_CI.R","MS023.48H.CYTO_vs_DMSO.HYPO_diff","MS023.48H.CYTO_vs_DMSO.HYPO_p.adj","MS023.48H.CYTO_vs_DMSO.HYPO_p.val","MS023.48H.CYTO_vs_DMSO.HYPO_t.stastic","GSK.180.CYTO_vs_DMSO.HYPO_significant","GSK.180.CYTO_vs_GSK.48H.CYTO_significant","GSK.180.CYTO_vs_MS023.48H.CYTO_significant","GSK.48H.CYTO_vs_DMSO.HYPO_significant","GSK.48H.CYTO_vs_MS023.48H.CYTO_significant","MS023.48H.CYTO_vs_DMSO.HYPO_significant","significant"
"#N/A",21.3178343801927,21.1670245882603,21.3638945045366,20.4002099220347,22.0016657208147,21.4111048014895,21.2693104937062,22.4798862380182,22.0566793001718,20.3269088238566,22.5612537156832,22.1867833606375,"A6NIZ1","#N/A","#N/A","A6NIZ1",FALSE,0,-1.70735668979719,0.88989507167208,-0.408730809062554,0.973127751719579,0.499312273259312,-0.700838663419126,-1.28670153785108,1.31055022361819,0.0119243428835567,0.99183117752346,0.984087683971901,0.0204463190524604,-1.95100006703685,0.64625169443242,-0.652374186302215,0.987962818900922,0.289338565043615,-1.11860677648895,-1.71928103268075,0.877970728788524,-0.420655151946111,0.978952342209326,0.487178832773882,-0.721284982471586,-1.96292440992041,0.634327351548863,-0.664298529185771,0.93456539388623,0.281109860895527,-1.13905309554141,-1.05498250349497,1.5422692579743,0.24364337723966,0.975381013888471,0.684904358896347,0.417768113069823,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"#N/A.1",21.6572246386866,21.6926042485198,21.6571189536784,22.9084287463013,22.0791420692533,22.0123891769158,22.7308132480928,22.4512172466011,22.4093847735349,22.2260595128437,22.0200784905432,21.5801392900685,"Q56UQ5","#N/A","#N/A","Q56UQ5",FALSE,0,-0.832849135190722,0.286629500143727,-0.273109817523498,0.964649107618594,0.302650386105751,-1.08646622418178,-1.22407670152908,-0.104598066194635,-0.664337383861859,0.923948669894084,0.0245234761904455,-2.64282015041475,-1.42122846011523,-0.30174982478078,-0.861489142448004,0.919794991340125,0.00642595327254602,-3.42711537892097,-0.168511751328863,0.950966884005586,0.391227566338362,0.964655789172797,0.150535551833684,1.55635392623297,-0.756891076253369,0.36258755908108,-0.197151758586145,0.956738366863361,0.450961648815153,-0.784295228506228,0.028640007257282,1.14811864259173,0.588379324924507,0.905464880767776,0.0411808700409607,2.3406491547392,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"AAAS",21.5800455454016,20.603896000809,20.3082920419008,20.0307250645689,20.3588278168363,19.8715047714352,19.7492360810013,19.935375648019,19.7204457764178,19.8893722325154,19.7844440112591,19.898605408882,"Q9NRG9","AAAS","AAAS","Q9NRG9",FALSE,0,0.340003111884662,1.60653817841862,0.97327064515164,0.647100753431756,0.00647881772391352,3.42224528218428,0.110457778490062,1.37699284502402,0.743725311757039,0.92641376911921,0.0257203415643887,2.61511066020593,0.395791160957465,1.66232622749142,1.02905869422444,0.902372597169043,0.00466629177660903,3.61840899953539,-0.403722199872377,0.862812866661578,0.229545333394601,0.977934757010588,0.438278340962817,0.807134621978345,-0.347934150799575,0.918600915734381,0.285333382467403,0.944555493302919,0.339267388719284,1.00329833932946,-0.68905558233978,0.577479484194175,-0.0557880490728024,0.977905557294555,0.848392802396215,-0.196163717351114,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"AAK1",18.7993069756475,18.6227588239295,18.9248158852773,19.3986107267845,19.6026100482217,19.6022782390268,19.8381903166261,19.9816407247781,19.9789255883759,19.7769678846151,19.3291603139071,19.2992070597372,"Q2M2I8","AAK1","AAK1","Q2M2I8",FALSE,0,-1.05107145180026,-0.321230930469807,-0.686151191135032,0.337464187133567,0.0018481680257268,-4.18684204495324,-1.11712603705813,-0.387285515727677,-0.752205776392902,0.33856638289106,0.000983257757867426,-4.58990206786468,-1.51554524230714,-0.785704720976686,-1.15062498164191,0.0777038986135349,3.53570999348321e-05,-7.02102556018713,-0.298865675407355,0.430974845923095,0.06605458525787,0.982120736154488,0.695347262914366,0.403060022911441,-0.763339465914235,-0.0334989445837842,-0.398419205249009,0.595647490515853,0.0352756655100961,-2.43112349232245,0.0995535298416542,0.829394051172105,0.464473790506879,0.852021206419284,0.0176466760295462,2.83418351523389,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE
"AARS1",26.9221676612665,26.7002488918866,26.6825093032856,26.5595413352432,26.3016288568686,26.3428524631667,26.6170065751579,26.4460236157246,26.5597869784102,26.6836996143454,26.7129583441129,26.7838912222786,"P49588","AARS1","AARS1","P49588",FALSE,0,-0.255942416762231,0.338860200563516,0.0414588919006427,0.978831924324366,0.762590584386567,0.310412746628385,0.0695664250572146,0.664369042382962,0.366967733720088,0.913747181030528,0.0204800159758376,2.74757613930054,-0.070031746280854,0.524770871044893,0.22736956238202,0.982302186105324,0.119369826848609,1.70237088168781,-0.622910150482319,-0.0281075331565719,-0.325508841819445,0.92970344939856,0.0349124509115058,-2.43716339267216,-0.436999480000942,0.157803137324805,-0.139598171338069,0.941701487293219,0.320422378306322,-1.04520525761273,-0.48331197914425,0.111490638181497,-0.185910670481377,0.955531349425147,0.19397739501336,-1.39195813505942,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"AARSD1",21.2711373606167,21.0852817260367,21.1055851941836,21.1647654538297,20.9848202674584,21.1829917849098,21.2859652803593,21.1043680472,21.3619927186168,21.1942346017758,20.9809815909827,20.8999892008879,"Q9BTE6","AARSD1","AARSD1","Q9BTE6",FALSE,0,-0.185416430721306,0.443282355515068,0.128932962396881,0.968894259118958,0.382474874027298,0.913305486491166,-0.271207134905138,0.357491651331236,0.0431422582130487,0.990486141289903,0.766146047845089,0.305601146464848,-0.411123314897862,0.217575471338511,-0.0967739217796755,0.990573311317994,0.50853249799949,-0.685504715532562,-0.228558688934354,0.400140097302019,0.0857907041838324,0.98018524814241,0.556868887885116,0.607704340026318,-0.454265573110911,0.174433213125463,-0.139916179992724,0.945350477730145,0.344901766198809,-0.99110586199741,-0.0886425089416302,0.540056277294743,0.225706884176557,0.948330520309193,0.140802461719366,1.59881020202373,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"AASDHPPT",21.8019689641436,21.5457672504317,21.3418245798941,21.7575179877828,21.4457559268258,21.6216621198104,21.3057839837985,21.1854569530423,21.1897689393496,21.4772629704724,21.14410752156,21.1802931366578,"Q9NRN7","AASDHPPT","AASDHPPT","Q9NRN7",FALSE,0,-0.0693566107892032,0.661288054642011,0.295965721926404,0.934799383663917,0.101252103523616,1.80397254834962,-0.410447412698794,0.32019725273242,-0.0451250799831868,0.990649477420991,0.788853500197394,-0.27504673514858,-0.0291386932892586,0.701505972141955,0.336183639426348,0.977047421413668,0.0674774357743125,2.04910910892649,-0.0242315308060165,0.706413134625198,0.341090801909591,0.947727559432217,0.0641735930031339,2.0790192834982,0.0159863866939282,0.746631052125142,0.381308719409535,0.649719327972387,0.042356893861063,2.32415584407507,-0.405540250215552,0.325104415215662,-0.0402179174999446,0.977389324970098,0.811284929380862,-0.245136560576873,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"AATF",18.9062129015674,20.1808726486972,19.246710455985,18.3412076480337,19.338065154243,19.1858730927868,20.0045673623975,18.2172507457517,19.2025652340139,20.1200732884112,19.276556834766,21.8458784921275,"Q9NY61","AATF","AATF","Q9NY61",FALSE,0,-2.44930568834492,0.510163948974899,-0.969570869685011,0.952202703844854,0.175104234687767,-1.45901715191955,-0.990184781597858,1.96928485572196,0.489550037062052,0.987531240301968,0.478166319632588,0.736678383322751,-1.17659726396439,1.78287237335543,0.303137554695525,0.991602525784461,0.657973598944914,0.4561635518561,-2.93885572540697,0.0206139119128468,-1.45912090674706,0.942568628259681,0.052701641714775,-2.1956955352423,-1.66614730102644,1.29332233629338,-0.186412482366528,0.973181761455623,0.784773742836556,-0.280514831466651,-2.75244324304045,0.207026394279375,-1.27270842438054,0.933947011130348,0.0843410008411686,-1.91518070377565,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"ABCC1",22.8091878140931,22.5729300168098,21.7817178605269,22.7024026097001,22.3433224986834,22.6643161750689,22.3326900358823,21.9688100469253,21.5370465897342,21.8923019999867,22.7734291713187,21.9280379788701,"P33527","ABCC1","ABCC1","P33527",FALSE,0,-0.545871110080376,0.925915470916628,0.190022180418126,0.975222390397736,0.57795101627477,0.574981915618695,-0.917961821172696,0.553824759824308,-0.182068530674194,0.988970166809466,0.593729468768638,-0.550915226372927,-0.294130284202456,1.17765629679455,0.441763006296046,0.986203846622831,0.210794134248664,1.33671626675717,-0.363802579406183,1.10798400159082,0.372090711092319,0.973386243119935,0.286383260990822,1.12589714199162,-0.112061753528262,1.35972482746874,0.62383153697024,0.81418734253461,0.0882670968174622,1.8876314931301,-0.987634116376423,0.484152464620582,-0.251740825877921,0.970318929768615,0.463723546388477,-0.761734351138474,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"ABCE1",21.4213658859682,23.5551445320021,22.0991928873497,21.4008489498745,22.362004370771,21.5015812924695,22.4847821304346,22.05891224913,20.679828544077,20.5253016653483,20.5517421851343,19.5920653611803,"P61221","ABCE1","ABCE1","P61221",FALSE,0,0.791870349038826,3.47919238006588,2.13553136455235,0.604408146176444,0.00532674194092183,3.53900331134506,-0.73990478477854,1.94741724624851,0.603756230734987,0.984916040395752,0.340533754311487,1.00054503309261,-0.726267554954079,1.96105447607298,0.617393460559448,0.98862828042213,0.330242369244642,1.02314465504499,0.188114118303839,2.87543614933089,1.53177513381737,0.923269006011192,0.0293422233141976,2.53845827825245,-1.33002378568907,1.35729824533799,0.0136372298244609,0.977947147013075,0.982412178058007,0.0225996219523835,0.174476888479378,2.86179891950643,1.5181379039929,0.889526562190015,0.0305034883244551,2.51585865630007,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
