"name","GSK.180.NUC_1","GSK.180.NUC_2","GSK.180.NUC_3","GSK.48H.NUC_1","GSK.48H.NUC_2","GSK.48H.NUC_3","MS023.48H.NUC_1","MS023.48H.NUC_2","MS023.48H.NUC_3","DMSO.NUC_1","DMSO.NUC_2","DMSO.NUC_3","Accession","Description","Symbol","ID","imputed","num_NAs","GSK.180.NUC_vs_DMSO.NUC_CI.L","GSK.180.NUC_vs_DMSO.NUC_CI.R","GSK.180.NUC_vs_DMSO.NUC_diff","GSK.180.NUC_vs_DMSO.NUC_p.adj","GSK.180.NUC_vs_DMSO.NUC_p.val","GSK.180.NUC_vs_DMSO.NUC_t.stastic","GSK.180.NUC_vs_GSK.48H.NUC_CI.L","GSK.180.NUC_vs_GSK.48H.NUC_CI.R","GSK.180.NUC_vs_GSK.48H.NUC_diff","GSK.180.NUC_vs_GSK.48H.NUC_p.adj","GSK.180.NUC_vs_GSK.48H.NUC_p.val","GSK.180.NUC_vs_GSK.48H.NUC_t.stastic","GSK.180.NUC_vs_MS023.48H.NUC_CI.L","GSK.180.NUC_vs_MS023.48H.NUC_CI.R","GSK.180.NUC_vs_MS023.48H.NUC_diff","GSK.180.NUC_vs_MS023.48H.NUC_p.adj","GSK.180.NUC_vs_MS023.48H.NUC_p.val","GSK.180.NUC_vs_MS023.48H.NUC_t.stastic","GSK.48H.NUC_vs_DMSO.NUC_CI.L","GSK.48H.NUC_vs_DMSO.NUC_CI.R","GSK.48H.NUC_vs_DMSO.NUC_diff","GSK.48H.NUC_vs_DMSO.NUC_p.adj","GSK.48H.NUC_vs_DMSO.NUC_p.val","GSK.48H.NUC_vs_DMSO.NUC_t.stastic","GSK.48H.NUC_vs_MS023.48H.NUC_CI.L","GSK.48H.NUC_vs_MS023.48H.NUC_CI.R","GSK.48H.NUC_vs_MS023.48H.NUC_diff","GSK.48H.NUC_vs_MS023.48H.NUC_p.adj","GSK.48H.NUC_vs_MS023.48H.NUC_p.val","GSK.48H.NUC_vs_MS023.48H.NUC_t.stastic","MS023.48H.NUC_vs_DMSO.NUC_CI.L","MS023.48H.NUC_vs_DMSO.NUC_CI.R","MS023.48H.NUC_vs_DMSO.NUC_diff","MS023.48H.NUC_vs_DMSO.NUC_p.adj","MS023.48H.NUC_vs_DMSO.NUC_p.val","MS023.48H.NUC_vs_DMSO.NUC_t.stastic","GSK.180.NUC_vs_DMSO.NUC_significant","GSK.180.NUC_vs_GSK.48H.NUC_significant","GSK.180.NUC_vs_MS023.48H.NUC_significant","GSK.48H.NUC_vs_DMSO.NUC_significant","GSK.48H.NUC_vs_MS023.48H.NUC_significant","MS023.48H.NUC_vs_DMSO.NUC_significant","significant"
"#N/A",23.2655538025288,23.2262127656369,23.2734889218168,23.5191686717248,23.384288030067,22.0244957046134,22.1782313037796,23.3313354657812,23.1360464612129,23.3758507124146,23.7445184000586,22.7804563990431,"A6NIZ1","#N/A","#N/A","A6NIZ1",FALSE,0,-1.01052356184959,0.920143547493715,-0.0451900071779399,1,0.919458850506925,-0.103560152358177,-0.686232526812531,1.24443458253078,0.279101027859124,0.970803890410018,0.536057806747307,0.639604788169285,-0.592119468268716,1.33854764107459,0.373214086402939,0.967354756001607,0.411380663066861,0.855279962623548,-1.28962458970872,0.641042519634592,-0.324291035037064,0.988068157184686,0.473590751287634,-0.743164940527462,-0.87122049612784,1.05944661321547,0.0941130585438152,0.935431183620102,0.833349845608504,0.215675174454263,-1.38373764825253,0.546929461090776,-0.418404093580879,0.888701599470899,0.359077264764038,-0.958840114981725,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"#N/A.1",20.7032304005859,20.7746350290548,21.8906816607408,21.2943772186675,21.0630224442259,20.701613046656,21.4569903303797,21.0430200249075,21.6069965794364,20.1515845342014,20.5757722436507,19.6260153806664,"Q56UQ5","#N/A","#N/A","Q56UQ5",FALSE,0,0.199263517429326,1.81085310381268,1.005058310621,1,0.0192303094792522,2.75927175278106,-0.702616666247664,0.908972920135689,0.103178126944012,0.978615536885873,0.782450353700696,0.283263655623687,-1.05194807463905,0.559641511744303,-0.246153281447373,0.972184218750207,0.51370331776806,-0.675785463564238,0.0960853904853136,1.70767497686867,0.90188018367699,0.92855071201569,0.0316095122783659,2.47600809715738,-1.15512620158306,0.456463384800291,-0.349331408391386,0.820464669636262,0.358976748655945,-0.959049119187925,0.445416798876699,2.05700638526005,1.25121159206838,0.218665174256822,0.00590409364596193,3.4350572163453,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"A1CF",19.14996086799,19.7242307949367,18.5616546532702,18.9816344049118,18.9427260781203,18.4770008854716,18.3448605360576,18.7071948690676,18.5987374130092,18.8285723147062,19.00110636949,18.6156441124245,"Q9NQ94","A1CF","A1CF","Q9NQ94",FALSE,0,-0.325169986526014,0.985518999576911,0.330174506525449,1,0.289763767790492,1.11455513178199,-0.310516177153695,1.00017280894923,0.344828315897768,0.948418196461763,0.270039550888597,1.16402133257365,-0.0603266603639203,1.25036232573901,0.595017832687542,0.878175094756319,0.070842443151426,2.00857475612699,-0.669998302423782,0.640690683679143,-0.0146538093723194,0.992386974415742,0.961470912054146,-0.0494662007916557,-0.405154976261688,0.905534009841237,0.250189516789774,0.85032282730075,0.417082827247295,0.844553423553334,-0.920187819213556,0.390501166889369,-0.264843326162094,0.894871885932337,0.391231283656461,-0.89401962434499,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"AAAS",20.8043829165078,20.5094917657188,19.6275844006392,20.2757722487318,20.0562829321851,19.9907891265761,19.0529553072915,19.6267967742511,19.4243661893099,19.0573306710323,19.5207170594553,19.7253756225053,"Q9NRG9","AAAS","AAAS","Q9NRG9",FALSE,0,0.17385480014616,1.58483568643572,0.879345243290942,1,0.0192944945603162,2.75737577924068,-0.499285518020542,0.911695368269022,0.20620492512424,0.970607031285879,0.531692379990117,0.646599808705163,0.240289827526294,1.65127071381586,0.945780270671076,0.598538704439278,0.0133812515967745,2.96569706918773,-0.0323501249780798,1.37863076131148,0.673140318166702,0.954647812151902,0.0595227389227548,2.11077597053552,0.0340849024020542,1.44506578869162,0.739575345546836,0.162305941456603,0.0415538799669876,2.31909726048257,-0.771925470524916,0.639055415764648,-0.066435027380134,0.937516509698023,0.838941354613702,-0.208321289947052,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"AAK1",18.5414035069935,18.8139895865994,18.9247584392767,18.7718710551341,18.7050380388529,19.6288777307034,18.6500790290743,19.0604570499643,19.6489155650293,19.2546380791317,19.6570487486997,20.0472582826594,"Q2M2I8","AAK1","AAK1","Q2M2I8",TRUE,2,-1.64685583170759,-0.139006553373161,-0.892931192540377,1,0.024556139527034,-2.62009917442794,-1.02913640310745,0.478712875226982,-0.275211763940234,0.965467253882322,0.437164144537771,-0.80754499508657,-1.11369134289995,0.394157935434482,-0.359766703732735,0.960372615549852,0.314679720122313,-1.05565182548394,-1.37164406776736,0.136205210567074,-0.617719428600143,0.967802710040959,0.0983919868429051,-1.81255417934137,-0.838479578959717,0.669369699374716,-0.0845549397925005,0.93309003131879,0.808809888953903,-0.248106830397368,-1.28708912797486,0.220760150359574,-0.533164488807643,0.80021232642613,0.147162607067035,-1.564447348944,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"AARS1",22.682919328016,23.4465859965675,21.6664820374099,22.545588224219,22.6445319523463,22.070284395171,22.700301052084,22.8315102813626,21.6392542940585,22.2588393775932,21.8115774128788,21.6107529376324,"P49588","AARS1","AARS1","P49588",FALSE,0,-0.300388538833797,1.7102669614264,0.704939211296299,1,0.1502820801613,1.55121383854275,-0.826800153377725,1.18385534688247,0.178527596752371,0.976617023592016,0.702244824322066,0.392848736751084,-0.797020505300647,1.21363499495954,0.208307244829449,0.976693540476428,0.65596903790133,0.458378645520309,-0.478916135586168,1.53173936467402,0.526411614543928,0.98321897969522,0.272240210220833,1.15836510179166,-0.975548102053018,1.03510739820717,0.0297796480770778,0.944612780301006,0.948976121823554,0.065529908769225,-0.508695783663246,1.50195971659695,0.49663196646685,0.874286008274207,0.298768891610264,1.09283519302244,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"AATF",20.9435911304076,21.1241301775405,19.9963569276967,21.0197498013316,20.4937503824373,21.1294494477181,20.5506590930044,20.6475961516342,21.3734534949209,20.7586967887241,20.4608182349837,21.2764874808734,"Q9NY61","AATF","AATF","Q9NY61",FALSE,0,-0.95382374740966,0.665874234785437,-0.143974756312112,1,0.701930558860768,-0.393287351593392,-1.00280612304496,0.616891859150139,-0.192957131947409,0.973710162332814,0.609025355380309,-0.527089618614409,-0.979059159069123,0.640638823125975,-0.169210167971574,0.97662431490387,0.653299388450375,-0.462221437485532,-0.760866615462251,0.858831366732846,0.0489823756352976,0.99202094649547,0.896074655009181,0.133802267021016,-0.786102027121714,0.833595955073384,0.0237469639758352,0.94464790297236,0.949490571614388,0.0648681811288765,-0.784613579438086,0.835084402757011,0.0252354116594624,0.942694422888385,0.946329988770038,0.0689340858921397,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"ABCB10",20.0692558278732,19.8794103092385,18.7401474544766,19.7550208923031,19.4367425132275,19.5246748202239,18.32498236091,19.3013777820279,18.9448225471065,18.5452706748614,18.8086804076856,18.5974902157634,"Q9NRK6","ABCB10","ABCB10","Q9NRK6",TRUE,2,0.121000087717369,1.70391477446791,0.912457431092637,1,0.0277480739295373,2.55042626516405,-0.800665554763968,0.782249131986569,-0.00920821138869954,0.982284326980923,0.979946186909794,-0.0257380381600922,-0.0855803761939361,1.4973343105566,0.705876967181332,0.883748684436989,0.0752357951439982,1.97300947499307,0.130208299106068,1.71312298585661,0.921665642481337,0.918594971449779,0.0265238304608322,2.57616430332414,-0.0763721648052367,1.5065425219453,0.715085178570032,0.286705563169128,0.0720317305241805,1.99874751315316,-0.584876879463964,0.998037807286573,0.206580463911305,0.918907582727126,0.575761246726627,0.577416790170977,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"ABCB7",18.0991213901184,17.511222221897,17.7306780805502,17.7375543478162,17.5924534270863,17.4461315955786,17.4546793398314,17.6463689209634,17.6560110374773,17.3443580393364,18.008143257252,17.2203961890493,"O75027","ABCB7","ABCB7","O75027",FALSE,0,-0.30435314771124,0.816435952329862,0.256041402309311,1,0.334734027676766,1.01075050471625,-0.372100442659097,0.748688657382005,0.188294107361454,0.96766700088217,0.473506047909457,0.743310895558878,-0.365740418589412,0.755048681451691,0.19465413143114,0.969836647577695,0.45907830315091,0.768417762965723,-0.492647255072694,0.628141844968408,0.067747294947857,0.991368139536084,0.794281551012958,0.26743960915737,-0.554034525950866,0.566754574090237,0.00636002406968572,0.946682509866551,0.980437849585397,0.0251068674068442,-0.49900727914238,0.621781820898723,0.0613872708781713,0.93612034987056,0.813164037617147,0.242332741750526,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"ABCC1",19.8672366386828,19.8201929923164,18.4206835882396,19.9531400153609,19.3361474823296,18.8001819078612,19.9477719024474,19.78467726149,17.989374350312,19.0629181959722,19.690852266351,18.866256073902,"P33527","ABCC1","ABCC1","P33527",TRUE,1,-1.10020455913303,1.42559568114203,0.162695561004501,1,0.781160715586221,0.284993117458216,-1.25668551557517,1.26911472469989,0.00621460456235923,0.982459675752348,0.991517247680194,0.0108860961974729,-1.13413688514105,1.39166335513401,0.12876323499648,0.98031947047933,0.825853753789523,0.225554007307161,-1.10641916369539,1.41938107657967,0.156480956442142,0.9913330119476,0.789289692251169,0.274107021260743,-1.14035148970341,1.38544875057165,0.122548630434121,0.935501654502868,0.834115152105879,0.214667911109688,-1.22896779412951,1.29683244614555,0.0339323260080207,0.943017647726411,0.953712208004453,0.0594391101510556,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
