UniqueCount	AmbigCount
0	0
0	569
4	569
0	568
0	573
0	501
0	560
0	556
0	556
0	568
0	567
0	555
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	97
0	74
0	80
0	97
0	103
0	2
0	2
0	299
50	299
14	299
4	299
9	299
5	0
3	10
0	10
82	0
6	106
80	106
124	0
0	1252
11	75
7	1034
0	1252
8	1089
0	1194
0	1259
0	1106
0	1334
0	1181
6	1251
0	879
0	50
0	85
0	86
0	38
7	38
14	867
0	882
15	857
6	819
0	789
4	893
12	882
10	853
7	798
0	985
0	950
0	918
0	883
4	0
0	135
0	165
3	151
0	0
0	0
0	2
0	206
0	206
0	203
0	84
5	61
0	89
102	0
0	7
0	7
10	0
0	99
0	99
0	87
0	50
26	85
0	86
0	99
4	70
0	70
50	0
0	276
27	276
0	275
0	399
1	407
0	270
0	393
0	399
56	0
0	1
0	1
0	81
0	81
1	81
2	484
0	541
0	538
2	543
0	546
0	538
0	0
2	0
0	0
0	0
0	0
0	0
6	0
0	30
0	30
0	36
0	36
0	36
1	1
0	0
0	1
0	0
45	0
0	32
5	32
0	76
0	70
0	69
2	76
51	0
4	45
0	45
0	45
13	34
0	34
0	34
0	30
1	0
1	0
0	0
0	0
44	0
5	128
0	128
709	0
0	259
0	454
0	420
12	420
0	63
0	61
0	69
0	0
0	0
0	58
0	60
0	62
0	0
0	0
0	0
0	0
0	0
0	0
3	76
0	76
3	75
1	0
0	0
0	0
0	0
0	0
0	0
58	0
80	240
0	240
208	0
16	0
0	7992
17	7992
56	0
2	0
2	0
0	151
0	151
0	0
21	717
0	712
1	588
0	629
0	624
598	163
0	163
1	7
0	7
0	7
0	125
7	125
179	0
0	285
2	290
1	192
0	192
25	182
1	3
0	290
0	3
0	0
0	290
0	290
2	342
2	433
0	544
4	432
762	0
44	171
84	0
0	81
0	171
6	171
5	118
18	118
1708	0
0	0
0	0
0	0
0	0
140	0
68	0
0	124
0	124
173	0
0	49
14	49
5	33
0	40
16	40
0	0
0	0
0	0
0	0
0	0
0	0
7	0
2	0
0	0
0	0
0	0
0	0
0	0
0	0
0	4
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	13
0	13
0	13
0	4
0	13
0	13
1	13
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
1	0
0	0
31	0
41	0
0	21
0	21
0	9
2	9
0	0
38	0
37	0
8	438
18	437
0	579
5	486
53	0
0	63
0	93
0	93
0	99
0	573
0	721
0	773
0	621
3	378
0	0
4	58
0	58
2	690
0	690
0	0
0	0
0	0
0	0
0	0
0	0
0	0
2	326
0	326
16	326
0	0
85	0
0	198
0	204
79	197
3	189
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
75	63
0	63
90	0
36	160
20	160
2	4
0	4
1	124
0	124
1	0
33	0
0	837
85	837
10	743
323	2
1	0
0	0
0	0
11	2
2823	180
29	0
89	0
155	0
0	854
0	854
98	854
51	0
7	96
22	96
0	13
0	13
0	10
40	0
32	0
0	187
0	187
0	187
12	0
235	2
0	307
0	307
2	142
0	143
0	158
2	124
2	148
11	0
46	0
0	23
0	23
1	24
2	18
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	2
0	2
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	4
0	4
0	4
0	0
0	0
0	0
0	12
0	33
0	33
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	2
0	1
0	2
0	1
0	2
0	1
0	8
0	0
4	8
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
65	0
11	0
0	297
0	297
0	269
1	1
0	1
0	0
0	59
0	59
0	59
167	65
2	49
0	57
38	404
51	404
1391	12
186	0
0	48
2	48
0	140
0	122
0	112
26	741
18	728
52	399
86	4269
0	4260
0	4267
0	4267
0	4267
11	3682
0	40
0	40
98	0
2	27
0	27
0	5
3	5
29	0
0	0
0	0
3	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	128
0	136
0	151
0	144
0	141
4	147
0	145
0	141
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	259
0	259
78	0
19	0
71	0
0	234
44	234
35	0
1	0
0	0
0	0
0	0
0	0
0	0
1	0
0	0
0	0
0	0
0	0
0	1
0	1
0	0
0	0
0	1
0	0
0	0
0	1
0	1
0	1
0	1
0	0
0	0
0	0
0	300
0	395
5	395
0	292
0	387
0	0
1	5
1	5
0	0
2	3
0	3
0	3
0	0
0	0
0	0
0	0
75	206
0	204
0	1282
219	1282
9	220
0	216
8	213
0	68
0	68
188	0
0	89
9	102
0	102
7	0
3	299
0	308
0	316
0	250
0	189
0	0
0	0
0	0
1	2
5	160
23	168
0	106
0	114
8	0
0	0
0	0
0	0
0	0
0	0
0	0
4	27
0	27
0	187
0	121
0	187
5	0
0	14
0	14
0	32
0	32
120	0
1	67
1	67
0	67
0	54
20	2
2	340
0	286
0	340
4	0
48	332
0	332
0	332
1	0
0	0
0	0
0	0
0	6
1	6
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
6	0
4	8
0	8
0	5
0	0
3	0
3	527
0	528
0	420
0	420
7	420
10	420
0	329
6	328
0	420
0	88
0	90
2	88
0	90
0	0
0	0
2	841
1	841
42	841
3	0
0	0
0	39
0	41
0	38
0	40
0	66
3	66
2	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	14
0	14
0	0
0	0
0	1
0	1
0	1
0	1
0	0
0	0
0	0
7	109
0	109
0	27
0	55
0	63
0	63
0	0
0	0
0	0
0	0
0	0
0	0
0	2
0	2
0	0
0	7
0	7
0	0
0	0
3	0
8	79
0	79
0	79
0	137
7	137
0	222
0	222
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
9	0
0	0
0	209
1	213
10	214
1	215
3	215
0	213
0	214
5	215
0	0
0	256
6	256
0	234
1	2
1	2
56	0
0	1141
0	1163
0	1163
0	1163
0	1163
0	572
0	499
42	572
60	499
0	0
0	72
0	72
0	76
2	76
38	105
27	105
0	74
8	74
48	0
34	0
4	101
0	101
0	142
13	142
6	107
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	95
0	95
1	97
0	0
0	0
0	20
0	20
0	0
0	0
0	0
0	0
0	0
0	0
3	0
457	0
21	0
1	0
0	4
0	4
0	4
829	759
0	2050
1	1017
3	1185
106	2055
8	190
5	190
3	181
350	0
0	0
161	0
56	0
3	19
0	19
139	14
1	620
7	616
17	656
0	620
0	620
0	81
0	105
0	108
0	111
0	114
0	87
0	95
0	99
0	81
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
13	94
0	94
4	197
45	197
86	0
31	162
0	162
0	49
4	49
9	30
0	30
5	173
0	174
0	184
51	0
40	0
0	257
0	273
0	274
0	254
25	2
2	206
1	206
0	197
30	197
0	169
4	169
82	0
117	0
1	136
0	136
16	0
0	0
0	99
1	107
3	116
0	97
0	2
0	2
0	2
0	432
0	432
0	39
0	39
0	39
9	0
