UniqueCount	AmbigCount
0	0
1	1437
7	1437
0	1430
0	1430
0	1223
0	1420
0	1420
3	1419
0	1430
0	1427
0	1415
0	0
0	0
0	3
0	3
0	3
0	3
0	3
0	3
0	3
0	3
0	0
0	0
0	0
0	201
0	184
0	188
0	201
0	205
0	28
0	28
0	1140
154	1140
35	1145
6	1145
21	1140
11	0
18	21
0	21
273	0
16	366
303	366
369	0
0	4039
35	260
5	3337
0	4039
28	3617
1	3812
0	4050
0	3657
0	4288
0	3891
12	4039
0	2909
0	222
4	294
0	303
0	106
16	106
30	2721
0	2754
19	2701
6	2627
2	2567
0	2758
8	2763
20	2700
16	2482
0	2827
0	2625
0	2685
0	2483
20	0
0	406
0	503
4	472
0	0
0	0
0	7
0	899
0	899
0	893
0	336
8	252
0	344
304	0
0	9
0	9
30	0
0	412
0	412
0	332
3	222
129	294
0	303
0	412
0	270
0	270
205	0
0	621
77	620
3	620
0	1008
5	1035
0	595
0	963
0	988
166	0
0	0
0	0
0	259
0	259
4	259
0	1163
0	1279
0	1279
5	1285
0	1293
0	1276
0	0
2	0
0	0
0	0
0	0
0	0
16	0
0	167
0	167
0	131
0	131
5	131
4	0
0	0
0	0
0	0
165	0
0	84
31	84
0	286
0	274
0	274
13	286
175	0
31	171
0	171
1	171
62	148
0	148
0	148
0	134
2	0
0	0
0	0
0	0
166	0
46	591
0	591
2454	0
0	525
0	1166
1	1110
17	1110
0	190
0	179
2	196
0	0
0	0
0	180
0	172
0	175
0	0
0	0
0	0
0	0
0	0
0	0
10	318
1	318
0	315
7	0
1	0
0	0
0	0
0	2
0	2
140	0
278	655
2	655
572	0
71	0
0	35531
115	35531
191	0
25	0
12	0
0	383
3	383
0	0
91	2227
6	2221
0	1860
0	1958
2	1954
1953	652
0	650
0	47
0	48
0	45
0	248
1	248
479	0
0	575
2	582
0	711
0	709
47	675
3	6
0	582
0	0
0	0
1	596
0	596
24	1078
20	1597
0	1892
19	1592
2479	0
161	512
259	2
0	278
0	512
4	512
10	269
58	269
6764	6
0	0
0	0
0	0
0	0
326	0
311	0
0	512
3	512
670	0
4	218
40	218
21	139
0	145
65	145
0	0
0	2
0	2
0	2
0	0
0	0
31	18
7	18
0	0
0	0
0	0
0	0
0	0
0	0
2	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	46
0	46
0	46
0	7
0	46
0	46
0	45
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
6	0
0	0
188	2
223	0
5	65
2	65
0	42
10	42
0	0
126	0
130	0
22	1392
67	1388
0	1968
9	1713
200	0
0	171
2	292
0	292
0	312
0	1673
0	1955
0	2055
0	1770
30	803
0	0
2	168
0	168
11	2637
0	2637
0	0
0	0
0	0
0	0
0	0
0	0
0	0
7	1055
1	1055
48	1055
0	0
344	0
0	591
0	553
395	549
10	587
0	3
0	0
0	3
0	0
0	1
0	1
0	3
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
1	0
0	1
0	1
209	101
0	99
265	0
120	529
67	529
0	5
0	5
7	445
0	441
3	0
143	0
4	2978
263	2980
43	2725
979	0
0	0
0	0
0	0
21	4
9189	556
83	0
226	0
564	0
0	2971
3	2971
180	2966
170	0
7	548
111	548
3	36
0	36
1	36
149	0
193	0
0	561
0	561
0	561
36	0
879	0
0	872
17	872
7	408
0	417
1	428
4	395
18	411
49	0
117	0
0	54
0	54
0	56
2	50
0	0
0	1
0	1
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	5
0	5
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
1	0
0	0
0	0
0	0
0	0
2	7
0	7
0	7
0	1
0	1
0	1
3	8
0	43
0	43
1	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	31
0	0
13	31
0	0
1	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
134	2
36	0
9	1087
0	1087
0	947
5	2
0	2
0	0
0	121
0	121
0	123
527	139
0	84
2	117
160	1464
180	1464
5253	57
636	0
0	218
10	218
0	383
0	345
0	296
24	2477
9	2447
99	1084
274	14654
0	14617
5	14652
0	14652
1	14652
26	12602
0	119
6	119
523	0
2	81
0	81
0	21
6	21
111	0
0	0
0	0
1	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	297
0	321
0	399
0	379
0	368
13	392
0	391
0	373
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
1	927
0	927
230	0
88	0
263	0
0	827
105	829
174	0
0	0
0	0
0	0
0	0
2	0
0	0
0	0
1	4
0	4
0	0
0	0
0	4
0	4
0	0
0	0
0	3
0	0
0	0
0	3
0	3
0	3
0	3
0	0
0	0
0	0
0	943
0	1259
8	1259
0	922
0	1238
8	0
12	21
5	21
0	0
3	23
0	23
0	13
0	0
0	0
0	0
0	0
379	676
0	676
0	3626
826	3630
30	642
0	634
38	635
2	255
0	255
493	16
2	249
12	326
0	326
7	0
1	890
0	909
0	928
3	696
0	478
2	0
0	0
0	0
10	2
13	467
86	484
0	351
0	368
21	0
0	0
0	0
0	0
0	0
0	0
0	0
13	69
0	69
0	742
3	545
3	742
14	0
12	29
1	29
0	154
0	154
387	6
7	272
0	272
0	272
2	185
98	0
0	1016
0	797
0	1016
18	0
207	1086
0	1086
0	1086
0	0
0	0
0	0
0	0
0	24
9	24
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	1
0	1
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
11	0
1	14
0	12
1	13
0	1
0	1
8	1599
0	1599
0	1140
4	1140
6	1140
25	1140
2	977
28	977
0	1140
0	271
2	274
2	273
0	272
0	0
0	0
9	2727
6	2727
116	2727
16	0
0	0
0	104
0	117
0	102
0	115
0	247
9	247
22	3
0	0
0	0
0	0
0	0
0	0
2	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	41
4	41
0	0
0	0
0	9
0	9
0	9
0	9
0	0
0	0
0	0
50	432
0	432
0	69
0	163
0	220
0	220
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	35
0	35
0	8
1	8
8	0
46	344
0	350
0	350
0	643
52	643
5	652
0	652
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
12	0
0	0
0	705
0	714
7	727
2	726
0	726
0	725
0	714
0	725
0	0
0	771
14	771
0	708
3	11
0	11
161	0
0	4377
0	4430
0	4430
0	4430
0	4430
1	2018
0	1832
158	2018
163	1831
0	0
0	248
0	248
0	225
6	225
244	405
49	405
0	213
76	213
156	0
172	0
13	466
0	466
0	648
51	648
32	511
0	0
0	0
0	3
0	0
0	0
0	3
0	3
0	3
0	0
0	0
0	296
0	296
8	296
0	0
0	0
0	44
0	44
0	0
0	0
0	0
0	0
0	0
0	0
14	0
1473	0
42	0
3	0
0	1
0	1
0	1
3330	4413
0	10156
2	5583
8	6298
318	10199
18	531
3	531
1	524
1200	0
1	0
507	0
195	0
3	83
0	83
562	6
6	2142
20	2152
49	2232
2	2142
1	2142
0	228
0	283
0	291
0	313
0	321
0	257
0	281
0	287
0	227
0	18
0	19
0	18
0	18
0	19
1	18
0	19
0	18
0	19
45	286
0	280
21	724
110	724
341	6
83	505
10	505
0	230
7	230
10	148
0	148
34	457
1	495
0	510
187	0
103	4
0	829
0	858
0	890
0	844
68	10
9	797
1	797
0	766
69	766
5	541
0	541
260	0
354	0
6	398
0	398
61	0
1	0
3	459
4	472
0	484
1	446
0	12
0	12
0	12
0	1737
1	1737
0	121
0	122
0	122
45	0
0	100
0	106
6	106
0	0
0	0
0	6
0	6
0	0
0	0
105	8527
0	8527
0	4
0	4
0	4
0	4
0	4
0	4
0	4
0	4
0	4
0	4
0	0
0	0
46	443
0	443
11	202
8	204
169	131
0	131
0	1298
1	1203
21	1606
0	0
23	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	9
0	9
0	9
0	1
1484	28
5	0
1	0
0	6
1	6
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	1
0	1
0	1
0	0
0	155
0	163
0	166
0	163
1	170
0	164
0	2
0	2
74	215
0	215
275	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
1	52
0	52
0	0
0	0
0	0
12	0
0	537
57	537
983	0
431	0
353	0
367	2
2	418
2	418
0	0
81	415
2	415
1	50
0	50
0	0
0	60
0	60
2	0
0	11
0	11
2620	6500
0	6500
0	0
0	3
0	4
0	4
0	4
0	4
0	4
0	4
0	2
0	3
0	0
0	0
0	0
0	0
43	925
0	925
0	549
21	549
3	0
0	0
0	0
3	0
16	0
233	2
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
37	78
0	78
0	0
0	0
0	350
0	355
0	346
0	348
0	343
0	302
0	325
0	328
0	308
0	333
0	311
0	330
0	214
0	0
0	0
0	0
0	0
0	0
1	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	26
0	26
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
26	94
0	94
103	2
38	0
0	160
0	214
9	58
26	214
23	193
0	193
0	0
0	0
0	0
0	1
0	1
0	0
0	2
3	2
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
3	0
1	1310
5	1310
0	1310
0	1310
0	1310
2	1310
18	1295
0	0
0	0
0	136
0	137
0	137
17	3
0	3
59	0
0	0
0	0
0	0
0	0
0	0
0	0
1	0
0	0
0	0
0	9
0	14
0	14
37	66
0	66
2	43
0	43
3	664
0	734
0	697
0	734
0	697
29	703
0	738
8	738
0	701
0	1
0	1
0	1
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	5
0	5
4	5
0	0
0	0
0	0
0	2
0	2
0	0
0	0
0	0
0	0
1	140
6	140
1	0
1	1080
1	1058
0	1033
89	1019
3	1021
2	1012
0	1018
0	1021
8	0
0	958
0	958
3351	13794
850	13794
36	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	1
0	1
0	1
0	1
0	1
0	1
0	1
0	1
0	1
22	0
1	538
0	552
0	577
0	543
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	1
1	1
0	608
98	612
0	28
0	28
179	0
14	81
1	81
3	0
275	0
0	777
11	765
5	777
0	4
0	4
61	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	52
2	52
22	52
339	0
322	0
409	2
105	0
239	4
0	0
70	185
143	185
0	31157
0	31173
0	31173
0	0
11	113
0	113
0	113
0	54
0	54
0	114
0	114
34	0
75	0
0	22
0	29
0	29
0	28
0	28
0	62
0	51
0	50
0	60
0	58
0	61
0	61
0	61
0	31
0	30
0	18
0	30
0	31
0	25
0	31
0	30
3	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	315
5	315
1	0
253	0
1042	0
0	10
0	10
0	0
0	0
0	0
0	0
0	0
0	0
8	64
10	64
0	0
0	0
0	0
0	0
31	0
0	0
0	1
0	1
19	345
0	345
0	0
0	3
1	3
0	3
0	3
11	404
20	404
0	21
0	27
0	27
0	710
2	677
0	462
0	462
0	475
2	424
76	376
147	20
177	0
217	0
0	7
2	7
0	5
0	5
8	7
10	179
0	182
0	182
0	172
11	179
0	181
1073	16
61	0
0	0
0	73
39	73
3	10
0	10
0	10
0	10
0	178
0	178
12	177
0	177
0	176
0	177
0	177
0	177
0	177
0	0
0	0
0	0
260	0
19	385
76	385
4	78
16	78
0	0
0	0
0	0
0	0
49	0
0	0
0	0
118	0
3229	2
194	0
114	0
5	117
2	136
1	129
216	0
0	960
66	960
277	0
735	1
