UniqueCount	AmbigCount
0	0
0	319
1	319
0	322
0	323
0	287
0	311
1	310
1	310
0	322
0	318
0	308
0	0
0	0
0	1
0	2
0	1
0	1
0	2
0	1
0	1
0	1
0	0
0	0
0	0
0	33
0	32
0	32
0	33
0	33
0	1
0	1
0	152
28	152
10	155
5	155
6	152
2	0
2	6
0	6
60	0
2	75
38	75
70	2
0	763
14	58
0	630
0	763
10	669
0	743
0	765
0	677
0	821
0	733
3	762
0	540
0	26
0	43
0	43
0	29
7	29
6	542
0	560
7	539
3	538
2	524
0	568
7	565
2	537
0	511
0	521
0	517
0	475
0	471
2	0
0	63
0	74
3	72
0	0
0	0
0	1
0	126
0	126
0	125
0	56
3	44
0	56
55	0
0	3
0	3
6	0
0	57
0	57
0	46
0	26
9	43
0	43
0	57
1	47
0	47
38	0
0	266
9	265
0	270
0	362
0	374
0	263
0	354
0	361
22	0
0	0
0	0
0	65
0	65
0	65
0	313
0	392
0	390
0	395
0	395
1	392
0	0
1	0
0	0
0	0
0	0
0	0
6	0
0	22
0	22
0	10
0	10
0	10
2	0
0	0
0	0
0	0
18	0
0	14
3	14
0	51
1	47
1	46
2	51
27	0
2	18
0	18
0	18
10	19
0	19
0	19
0	18
0	0
0	0
0	0
0	0
41	0
1	79
0	79
418	0
0	173
0	261
0	235
10	235
0	33
0	39
0	41
0	0
0	0
0	38
0	36
0	36
0	0
0	0
0	0
0	0
0	0
0	0
0	53
1	53
0	53
0	0
0	0
0	0
0	0
0	0
0	0
21	0
61	160
0	160
130	2
8	0
0	4029
19	4029
23	0
5	0
1	0
0	126
2	126
0	0
35	461
0	461
0	390
0	410
0	410
358	91
0	91
1	9
0	10
0	9
0	90
2	90
116	2
0	148
0	158
0	106
0	106
12	98
0	12
0	158
0	2
0	0
1	150
0	150
2	170
0	197
0	252
0	195
390	0
33	108
48	0
0	50
0	108
0	108
5	82
17	82
1035	0
0	0
0	0
0	0
0	0
74	0
46	0
0	85
1	85
94	0
0	27
5	27
1	21
0	21
15	21
0	0
0	0
0	0
0	0
0	0
0	0
5	1
0	1
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	2
0	2
0	2
0	7
0	7
0	7
0	3
0	7
0	7
0	7
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
2	0
0	0
35	0
30	0
2	13
0	13
0	10
3	10
0	0
21	0
24	0
5	265
8	263
0	328
3	274
36	0
0	47
0	55
0	55
0	63
0	362
0	499
0	526
0	389
3	296
2	0
0	24
0	24
0	422
0	422
0	0
0	0
0	0
0	0
0	0
0	0
0	0
2	166
1	166
7	166
0	0
64	0
0	91
0	125
70	124
1	90
0	1
0	0
0	1
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	1
0	1
50	40
0	38
42	0
27	89
17	89
0	0
0	0
0	88
0	88
0	0
17	0
0	501
47	501
15	454
157	0
1	0
0	0
0	0
8	5
1481	84
12	0
46	0
81	0
1	448
0	448
27	448
31	0
3	73
13	73
0	10
0	10
0	10
24	0
33	0
0	89
0	89
0	89
2	0
117	2
0	180
3	180
4	72
0	75
0	76
1	68
4	69
7	0
28	0
0	13
0	13
0	16
3	16
0	0
0	1
0	1
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	1
0	1
0	1
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	3
0	3
0	3
0	0
0	0
0	0
0	1
0	8
0	8
2	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	8
