UniqueCount	AmbigCount
1	0
0	502
3	503
0	496
0	498
0	460
0	484
2	482
0	482
0	496
0	496
0	483
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	65
0	56
0	61
0	65
0	70
0	5
0	5
0	224
57	224
8	224
4	224
7	224
5	0
0	8
0	8
94	0
3	109
70	109
103	0
0	1146
16	74
4	974
0	1146
11	999
0	1178
0	1147
0	1008
0	1266
0	1127
1	1147
0	843
0	31
0	47
0	47
0	33
8	33
10	874
0	892
15	860
2	829
0	797
1	915
13	903
2	858
4	799
0	793
0	764
0	705
0	676
3	0
0	140
0	157
3	143
0	0
0	0
0	2
0	159
0	159
0	158
0	70
0	55
0	74
59	0
0	0
0	0
9	0
0	67
0	67
0	49
0	31
27	47
0	47
0	67
0	81
0	81
42	0
0	418
21	413
0	414
0	529
0	536
0	392
0	501
0	509
50	0
0	0
0	0
0	81
0	81
0	81
1	523
0	658
2	663
2	664
0	671
0	665
0	0
0	0
0	0
0	0
0	0
0	0
3	0
0	27
0	27
0	23
0	23
3	23
0	1
0	0
0	1
1	0
44	0
0	21
2	21
0	97
0	92
2	92
6	97
60	0
7	22
0	22
1	22
27	30
0	30
0	30
0	29
0	0
0	0
0	0
0	0
32	0
6	138
0	136
580	4
0	245
0	390
2	367
24	367
0	58
0	58
0	63
0	0
0	0
0	55
0	51
0	52
0	0
0	0
0	0
0	0
0	0
0	0
3	73
1	73
2	73
0	0
0	0
0	0
0	0
0	0
0	0
40	0
87	284
0	284
167	0
13	0
0	6128
16	6128
35	0
1	0
6	0
0	182
5	182
0	0
54	633
0	628
0	530
0	566
0	563
524	146
0	146
0	13
0	13
0	13
0	127
2	127
192	0
0	242
0	258
2	166
0	166
34	153
5	12
0	258
0	3
1	0
0	249
0	249
4	257
5	301
0	365
4	300
621	0
32	135
70	0
1	48
0	135
6	135
5	115
27	115
1533	0
0	0
0	0
0	0
0	0
108	0
48	0
0	153
0	153
137	0
0	36
11	36
4	33
0	34
9	34
0	0
0	0
0	0
0	0
0	0
0	0
3	11
0	11
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	1
0	1
0	0
0	0
0	0
0	0
0	0
0	0
1	11
0	11
0	11
0	1
0	11
0	11
0	11
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
24	0
42	0
1	10
0	10
0	14
5	14
0	0
38	0
33	0
7	413
15	412
0	524
7	419
56	0
0	68
0	83
0	83
0	89
0	541
0	742
0	779
0	578
5	444
5	0
0	36
0	36
7	611
0	611
0	0
0	0
0	0
0	0
0	0
0	0
0	0
5	268
2	268
20	268
0	0
76	0
0	185
0	215
76	211
5	179
0	0
0	0
0	0
0	0
0	3
0	3
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
2	0
0	0
0	0
0	0
0	0
0	0
0	0
99	38
0	36
81	0
21	117
17	119
0	3
0	3
4	127
0	127
5	0
50	0
0	707
103	707
8	615
221	0
0	0
0	0
0	0
7	4
2402	113
30	0
69	0
105	0
3	680
2	680
49	680
56	0
2	115
24	115
0	4
0	4
0	4
33	0
26	0
0	161
0	161
0	161
3	0
245	0
0	322
6	322
3	135
0	144
0	144
2	120
5	138
18	0
37	0
0	22
0	22
1	23
1	22
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
2	0
0	0
0	0
0	0
0	0
0	0
0	1
0	11
0	11
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
1	6
0	0
5	6
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
2	0
48	0
14	0
0	230
0	230
0	199
0	3
0	3
0	0
0	90
0	91
0	90
120	110
0	81
0	90
53	319
28	319
1162	10
154	0
0	46
0	46
0	104
0	89
0	88
18	668
6	658
49	376
53	3684
0	3669
1	3684
0	3684
2	3684
1	3125
0	17
5	17
106	0
0	33
0	33
0	7
4	7
51	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	153
0	162
0	177
0	162
0	157
2	169
0	166
0	161
0	0
