UniqueCount	AmbigCount
0	0
2	1432
5	1434
0	1423
0	1429
0	1249
0	1410
0	1407
1	1406
0	1423
0	1418
0	1407
1	0
1	0
0	1
0	1
0	1
0	1
0	1
0	1
0	1
0	1
0	0
0	0
0	0
0	170
0	152
0	158
0	170
0	176
1	20
0	20
0	847
136	847
33	851
13	851
27	847
3	0
6	24
0	24
298	0
20	377
234	377
317	0
0	3572
44	282
8	3058
0	3572
40	3157
0	3542
0	3577
0	3195
0	3857
0	3472
14	3571
0	2590
0	147
0	207
0	224
0	98
31	98
26	2439
0	2476
39	2418
12	2313
9	2256
0	2487
8	2486
13	2416
15	2261
0	2520
0	2408
0	2332
0	2220
7	0
0	399
0	487
2	449
0	0
0	0
0	4
0	643
0	643
0	635
0	330
7	263
0	338
225	0
0	6
0	6
27	0
0	291
0	291
1	240
9	147
78	207
0	224
0	291
0	257
0	257
162	0
0	635
73	635
0	633
0	1007
0	1046
0	616
0	966
0	1002
156	2
0	7
0	7
1	239
0	239
0	239
0	1171
1	1299
0	1304
4	1310
0	1320
2	1313
0	0
4	0
0	0
0	0
0	0
0	0
15	0
0	130
0	130
0	106
0	106
1	106
3	0
0	0
0	0
0	0
144	0
3	60
10	60
0	248
0	224
0	224
6	248
188	0
19	125
0	125
0	125
48	137
0	132
0	132
0	118
6	0
0	0
0	0
0	0
106	0
33	493
0	491
2178	0
0	563
0	1030
2	978
28	978
0	185
0	175
0	191
1	0
0	0
0	157
0	157
0	171
0	0
0	0
0	0
0	0
0	0
2	0
19	295
2	295
1	294
8	0
2	0
0	0
0	0
0	0
0	0
148	0
270	708
0	708
559	0
45	0
0	24894
81	24894
152	0
18	0
5	0
0	407
2	407
0	0
88	2105
7	2101
0	1740
0	1860
0	1856
1713	520
0	520
1	30
0	30
4	30
0	282
4	282
486	0
0	574
0	581
5	640
0	640
60	606
5	6
0	581
0	2
1	0
0	580
0	580
16	864
11	1199
0	1477
4	1199
2002	0
96	438
260	0
3	201
0	438
7	438
11	278
57	278
5243	0
0	0
0	0
0	0
0	0
296	0
220	8
0	478
3	478
651	0
0	163
45	163
13	112
0	113
57	113
0	0
0	0
0	0
0	0
0	0
0	0
16	24
2	24
0	0
0	0
0	0
0	0
0	0
0	0
7	0
0	0
0	1
0	1
0	0
0	0
0	0
0	0
0	0
0	0
0	41
0	41
0	41
0	3
0	41
0	41
0	41
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
3	0
0	0
144	0
163	0
9	64
1	64
0	48
12	48
0	0
92	2
95	0
17	1225
52	1222
0	1628
11	1406
163	0
0	131
0	233
0	236
0	239
0	1500
0	1843
0	1942
0	1595
30	895
2	0
4	158
0	158
5	2178
0	2178
0	0
0	0
0	0
0	0
0	0
0	0
0	0
21	907
1	907
40	907
0	0
306	0
0	566
0	630
286	611
13	547
0	2
6	0
0	2
0	0
0	0
0	0
0	10
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
244	100
0	96
237	0
95	476
67	480
3	7
0	7
6	367
0	367
0	0
107	0
0	2383
272	2383
33	2133
751	2
0	0
0	0
0	0
19	6
7854	481
61	0
211	0
520	0
2	2631
3	2631
169	2626
139	0
8	377
79	377
0	31
0	31
0	31
109	0
90	0
0	525
0	525
0	525
30	0
858	0
0	791
16	791
7	379
0	391
0	396
5	356
9	384
47	0
78	0
0	82
0	82
0	83
2	64
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	3
0	3
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
1	17
0	17
0	17
0	0
0	0
0	0
1	10
0	61
0	61
1	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	25
0	0
18	25
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
2	0
147	2
40	0
1	823
0	823
0	727
7	2
0	2
0	0
0	181
0	179
0	182
482	213
0	131
0	176
155	1284
141	1284
3960	12
554	0
0	152
8	152
0	352
0	313
0	273
30	2040
22	2013
137	1080
222	12515
0	12485
2	12515
1	12515
3	12515
11	10807
0	101
9	101
339	0
7	61
0	61
0	26
15	26
106	0
0	0
0	0
2	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	279
0	315
0	380
0	361
0	350
10	391
0	387
0	364
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
1	791
0	791
231	2
74	0
270	0
0	722
123	722
147	0
2	0
0	0
0	0
0	0
5	0
2	0
0	0
1	1
0	1
0	0
0	0
0	12
0	12
0	0
0	0
0	7
0	0
0	0
0	7
0	8
0	7
0	8
0	0
0	0
0	0
0	903
0	1160
14	1160
0	879
0	1136
0	0
5	16
2	16
0	0
0	12
0	12
0	11
0	0
0	0
0	0
0	0
255	575
0	575
0	3671
597	3671
29	614
0	597
37	597
3	171
0	171
467	12
1	198
7	246
0	251
2	0
12	753
0	788
0	800
7	632
0	502
0	0
0	0
0	0
3	7
10	403
54	431
0	304
1	332
26	0
0	0
0	0
0	0
0	0
0	0
0	0
8	55
0	55
0	664
0	474
0	664
8	0
15	18
1	18
0	140
0	140
290	0
5	232
4	232
0	232
3	189
59	0
2	904
0	743
0	904
20	0
153	1018
0	1016
0	1016
1	0
0	0
0	0
0	0
0	17
5	17
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
4	0
5	23
0	22
0	22
0	0
0	0
1	1381
1	1381
0	1071
1	1069
9	1069
33	1069
2	899
27	901
1	1069
0	231
5	236
6	236
0	231
0	0
0	0
6	2368
4	2368
112	2368
13	0
2	0
0	144
0	164
0	133
2	153
0	225
7	225
15	0
0	0
0	0
0	0
0	0
0	0
0	0
0	1
0	1
0	0
0	0
0	0
0	0
0	0
0	0
0	37
5	37
0	0
0	0
0	4
0	4
0	4
0	4
0	0
0	0
0	0
30	385
0	383
0	76
0	152
0	191
0	191
0	0
0	0
0	0
0	0
0	0
0	0
0	5
0	5
0	0
0	21
0	21
0	1
2	1
3	0
