condition,sample,fastq_1,fastq_2,strandedness
DMSO_cytoplasm,DMSO_cytoplasm_rep1,/gs/gsfs0/users/mmaron2/2024-05_A549_PRMT5i-Fractionation/fq/A1_1.fq.gz,/gs/gsfs0/users/mmaron2/2024-05_A549_PRMT5i-Fractionation/fq/A1_2.fq.gz,unstranded
DMSO_cytoplasm,DMSO_cytoplasm_rep2,/gs/gsfs0/users/mmaron2/2024-05_A549_PRMT5i-Fractionation/fq/B1_1.fq.gz,/gs/gsfs0/users/mmaron2/2024-05_A549_PRMT5i-Fractionation/fq/B1_2.fq.gz,unstranded
DMSO_cytoplasm,DMSO_cytoplasm_rep3,/gs/gsfs0/users/mmaron2/2024-05_A549_PRMT5i-Fractionation/fq/C1_1.fq.gz,/gs/gsfs0/users/mmaron2/2024-05_A549_PRMT5i-Fractionation/fq/C1_2.fq.gz,unstranded
DMSO_nucleoplasm,DMSO_nucleoplasm_rep1,/gs/gsfs0/users/mmaron2/2024-05_A549_PRMT5i-Fractionation/fq/A2_1.fq.gz,/gs/gsfs0/users/mmaron2/2024-05_A549_PRMT5i-Fractionation/fq/A2_2.fq.gz,unstranded
DMSO_nucleoplasm,DMSO_nucleoplasm_rep2,/gs/gsfs0/users/mmaron2/2024-05_A549_PRMT5i-Fractionation/fq/B2_1.fq.gz,/gs/gsfs0/users/mmaron2/2024-05_A549_PRMT5i-Fractionation/fq/B2_2.fq.gz,unstranded
DMSO_nucleoplasm,DMSO_nucleoplasm_rep3,/gs/gsfs0/users/mmaron2/2024-05_A549_PRMT5i-Fractionation/fq/C2_1.fq.gz,/gs/gsfs0/users/mmaron2/2024-05_A549_PRMT5i-Fractionation/fq/C2_2.fq.gz,unstranded
DMSO_chromatin,DMSO_chromatin_rep1,/gs/gsfs0/users/mmaron2/2024-05_A549_PRMT5i-Fractionation/fq/A3_1.fq.gz,/gs/gsfs0/users/mmaron2/2024-05_A549_PRMT5i-Fractionation/fq/A3_2.fq.gz,unstranded
DMSO_chromatin,DMSO_chromatin_rep2,/gs/gsfs0/users/mmaron2/2024-05_A549_PRMT5i-Fractionation/fq/B3_1.fq.gz,/gs/gsfs0/users/mmaron2/2024-05_A549_PRMT5i-Fractionation/fq/B3_2.fq.gz,unstranded
DMSO_chromatin,DMSO_chromatin_rep3,/gs/gsfs0/users/mmaron2/2024-05_A549_PRMT5i-Fractionation/fq/C3_1.fq.gz,/gs/gsfs0/users/mmaron2/2024-05_A549_PRMT5i-Fractionation/fq/C3_2.fq.gz,unstranded
GSK591_cytoplasm,GSK591_cytoplasm_rep1,/gs/gsfs0/users/mmaron2/2024-05_A549_PRMT5i-Fractionation/fq/A4_1.fq.gz,/gs/gsfs0/users/mmaron2/2024-05_A549_PRMT5i-Fractionation/fq/A4_2.fq.gz,unstranded
GSK591_cytoplasm,GSK591_cytoplasm_rep2,/gs/gsfs0/users/mmaron2/2024-05_A549_PRMT5i-Fractionation/fq/B4_1.fq.gz,/gs/gsfs0/users/mmaron2/2024-05_A549_PRMT5i-Fractionation/fq/B4_2.fq.gz,unstranded
GSK591_cytoplasm,GSK591_cytoplasm_rep3,/gs/gsfs0/users/mmaron2/2024-05_A549_PRMT5i-Fractionation/fq/C4_1.fq.gz,/gs/gsfs0/users/mmaron2/2024-05_A549_PRMT5i-Fractionation/fq/C4_2.fq.gz,unstranded
GSK591_nucleoplasm,GSK591_nucleoplasm_rep1,/gs/gsfs0/users/mmaron2/2024-05_A549_PRMT5i-Fractionation/fq/A5_1.fq.gz,/gs/gsfs0/users/mmaron2/2024-05_A549_PRMT5i-Fractionation/fq/A5_2.fq.gz,unstranded
GSK591_nucleoplasm,GSK591_nucleoplasm_rep2,/gs/gsfs0/users/mmaron2/2024-05_A549_PRMT5i-Fractionation/fq/B5_1.fq.gz,/gs/gsfs0/users/mmaron2/2024-05_A549_PRMT5i-Fractionation/fq/B5_2.fq.gz,unstranded
GSK591_nucleoplasm,GSK591_nucleoplasm_rep3,/gs/gsfs0/users/mmaron2/2024-05_A549_PRMT5i-Fractionation/fq/C5_1.fq.gz,/gs/gsfs0/users/mmaron2/2024-05_A549_PRMT5i-Fractionation/fq/C5_2.fq.gz,unstranded
GSK591_chromatin,GSK591_chromatin_rep1,/gs/gsfs0/users/mmaron2/2024-05_A549_PRMT5i-Fractionation/fq/A6_1.fq.gz,/gs/gsfs0/users/mmaron2/2024-05_A549_PRMT5i-Fractionation/fq/A6_2.fq.gz,unstranded
GSK591_chromatin,GSK591_chromatin_rep2,/gs/gsfs0/users/mmaron2/2024-05_A549_PRMT5i-Fractionation/fq/B6_1.fq.gz,/gs/gsfs0/users/mmaron2/2024-05_A549_PRMT5i-Fractionation/fq/B6_2.fq.gz,unstranded
GSK591_chromatin,GSK591_chromatin_rep3,/gs/gsfs0/users/mmaron2/2024-05_A549_PRMT5i-Fractionation/fq/C6_1.fq.gz,/gs/gsfs0/users/mmaron2/2024-05_A549_PRMT5i-Fractionation/fq/C6_2.fq.gz,unstranded
