"GeneName","Treatment","Fraction","avgExon_reads","avgIntron_reads","ExonCount","IntronCount","IntronExon_Ratio"
"14-3-3epsilon","DMSO","Chromatin",643.041666666667,146.888888888889,8,3,0.228073580470553
"14-3-3epsilon","DMSO","Cytoplasm",451.541666666667,117.777777777778,8,3,0.260258416965902
"14-3-3epsilon","DMSO","Nucleoplasm",2218.54166666667,482,8,3,0.217161951604122
"14-3-3epsilon","GSK591","Chromatin",395.25,94.1111111111111,8,3,0.237504381352962
"14-3-3epsilon","GSK591","Cytoplasm",462.541666666667,109,8,3,0.23514606741573
"14-3-3epsilon","GSK591","Nucleoplasm",2041.41666666667,449.555555555556,8,3,0.220109619595523
"14-3-3zeta","DMSO","Chromatin",449.282051282051,182.8,13,5,0.405967769489209
"14-3-3zeta","DMSO","Cytoplasm",302.230769230769,125.533333333333,13,5,0.413986132250972
"14-3-3zeta","DMSO","Nucleoplasm",1547.61538461538,596.466666666667,13,5,0.385161268958209
"14-3-3zeta","GSK591","Chromatin",274.153846153846,108.933333333333,13,5,0.395899729754916
"14-3-3zeta","GSK591","Cytoplasm",295.410256410256,116.466666666667,13,5,0.392923875432526
"14-3-3zeta","GSK591","Nucleoplasm",1337.92307692308,528.866666666667,13,5,0.394994063349803
"4E-T","DMSO","Chromatin",33.4166666666667,21,8,1,0.610169491525424
"4E-T","DMSO","Cytoplasm",11.5416666666667,4.66666666666667,8,1,0.372093023255814
"4E-T","DMSO","Nucleoplasm",90.7083333333333,51.3333333333333,8,1,0.559745570195366
"4E-T","GSK591","Chromatin",18.8333333333333,11,8,1,0.554621848739496
"4E-T","GSK591","Cytoplasm",13.7083333333333,6.33333333333333,8,1,0.430594900849858
"4E-T","GSK591","Nucleoplasm",83.6666666666667,50.6666666666667,8,1,0.598425196850394
"5PtaseI","DMSO","Chromatin",16.25,53.5,8,2,3.10144927536232
"5PtaseI","DMSO","Cytoplasm",15.5833333333333,41.1666666666667,8,2,2.48241206030151
"5PtaseI","DMSO","Nucleoplasm",61.125,195.166666666667,8,2,3.14151576123407
"5PtaseI","GSK591","Chromatin",10.4583333333333,43.5,8,2,3.79636363636364
"5PtaseI","GSK591","Cytoplasm",11.0416666666667,37,8,2,3.07266435986159
"5PtaseI","GSK591","Nucleoplasm",56.3333333333333,177.333333333333,8,2,3.09302325581395
"A1BG","DMSO","Chromatin",39.3333333333333,22,2,1,0.545454545454545
"A1BG","DMSO","Cytoplasm",159.166666666667,21.6666666666667,2,1,0.135275754422477
"A1BG","DMSO","Nucleoplasm",52.6666666666667,4,2,1,0.0745341614906832
"A1BG","GSK591","Chromatin",32.3333333333333,38.3333333333333,2,1,1.15
"A1BG","GSK591","Cytoplasm",155,20.3333333333333,2,1,0.13034188034188
"A1BG","GSK591","Nucleoplasm",41.1666666666667,3.33333333333333,2,1,0.0790513833992095
"A4GALT","DMSO","Chromatin",180.2,66.1111111111111,5,3,0.364851606573461
"A4GALT","DMSO","Cytoplasm",193.666666666667,52,5,3,0.267123287671233
"A4GALT","DMSO","Nucleoplasm",174.466666666667,17,5,3,0.0968844984802432
"A4GALT","GSK591","Chromatin",188.066666666667,121.222222222222,5,3,0.641161259990597
"A4GALT","GSK591","Cytoplasm",187.733333333333,60.4444444444444,5,3,0.320263746614859
"A4GALT","GSK591","Nucleoplasm",200.333333333333,33.4444444444444,5,3,0.166114790286976
"AAAS","DMSO","Chromatin",329.958333333333,90.1111111111111,16,6,0.272273280456587
"AAAS","DMSO","Cytoplasm",478.916666666667,76.8333333333333,16,6,0.160097239104011
"AAAS","DMSO","Nucleoplasm",236.6875,34.2222222222222,16,6,0.143979898910217
"AAAS","GSK591","Chromatin",391.083333333333,135.055555555556,16,6,0.344456252213957
"AAAS","GSK591","Cytoplasm",501.041666666667,87.8888888888889,16,6,0.175062937449858
"AAAS","GSK591","Nucleoplasm",320.895833333333,53.2222222222222,16,6,0.165339891700645
"AACS","DMSO","Chromatin",94.0555555555556,191.533333333333,18,5,2.01496201052016
"AACS","DMSO","Cytoplasm",120.851851851852,49.5333333333333,18,5,0.406504559270517
"AACS","DMSO","Nucleoplasm",51.6481481481481,23.4666666666667,18,5,0.445726345409778
"AACS","GSK591","Chromatin",70.1666666666667,218.133333333333,18,5,3.06510538641686
"AACS","GSK591","Cytoplasm",88.462962962963,42.9333333333333,18,5,0.479900641689091
"AACS","GSK591","Nucleoplasm",45.2222222222222,23.8,18,5,0.514903846153846
"AADAC","DMSO","Chromatin",440.733333333333,86.8333333333333,5,4,0.196574102022336
"AADAC","DMSO","Cytoplasm",73.9333333333333,1.66666666666667,5,4,0.0222419928825623
"AADAC","DMSO","Nucleoplasm",30.8666666666667,3.33333333333333,5,4,0.104602510460251
"AADAC","GSK591","Chromatin",449.733333333333,105.083333333333,5,4,0.233138588966129
"AADAC","GSK591","Cytoplasm",89.8,2.16666666666667,5,4,0.0238619676945668
"AADAC","GSK591","Nucleoplasm",40.1333333333333,2,5,4,0.0486223662884927
"AADACP1","DMSO","Chromatin",77.2222222222222,401,3,2,5.12642045454545
"AADACP1","DMSO","Cytoplasm",120.666666666667,24.8333333333333,3,2,0.204109589041096
"AADACP1","DMSO","Nucleoplasm",39.2222222222222,29.5,3,2,0.733425414364641
"AADACP1","GSK591","Chromatin",55.6666666666667,383.5,3,2,6.76764705882353
"AADACP1","GSK591","Cytoplasm",60.6666666666667,17.8333333333333,3,2,0.289189189189189
"AADACP1","GSK591","Nucleoplasm",24.6666666666667,24.3333333333333,3,2,0.948051948051948
"AADAT","DMSO","Chromatin",56.1555555555556,85.8,15,5,1.50116640746501
"AADAT","DMSO","Cytoplasm",49.7555555555556,16.2,15,5,0.319176882661997
"AADAT","DMSO","Nucleoplasm",17.0444444444444,4.46666666666667,15,5,0.247536945812808
"AADAT","GSK591","Chromatin",61.7111111111111,95.6666666666667,15,5,1.52551381998583
"AADAT","GSK591","Cytoplasm",40,14.5333333333333,15,5,0.354471544715447
"AADAT","GSK591","Nucleoplasm",16.2,8.13333333333333,15,5,0.472868217054264
"AAGAB","DMSO","Chromatin",303.166666666667,108.222222222222,12,6,0.355799086757991
"AAGAB","DMSO","Cytoplasm",817.25,58.1666666666667,12,6,0.071086668703534
"AAGAB","DMSO","Nucleoplasm",317.416666666667,15.5555555555556,12,6,0.0488528308470732
"AAGAB","GSK591","Chromatin",329.972222222222,173.222222222222,12,6,0.523373898447335
"AAGAB","GSK591","Cytoplasm",921.277777777778,55.8888888888889,12,6,0.0605987591108969
"AAGAB","GSK591","Nucleoplasm",373.555555555556,22.8333333333333,12,6,0.0609611391278552
"AAK1","DMSO","Chromatin",234.37037037037,201.416666666667,9,4,0.855743509047994
"AAK1","DMSO","Cytoplasm",214.814814814815,103.416666666667,9,4,0.479191693839025
"AAK1","DMSO","Nucleoplasm",109.666666666667,42.25,9,4,0.381777108433735
"AAK1","GSK591","Chromatin",228.444444444444,276.916666666667,9,4,1.20690072639225
"AAK1","GSK591","Cytoplasm",228.925925925926,115.583333333333,9,4,0.502698131443299
"AAK1","GSK591","Nucleoplasm",118.555555555556,62.0833333333333,9,4,0.5192843866171
"AAMDC","DMSO","Chromatin",44.3333333333333,43.875,6,8,0.967830882352941
"AAMDC","DMSO","Cytoplasm",140.555555555556,74.25,6,8,0.524529042386185
"AAMDC","DMSO","Nucleoplasm",68.3333333333333,36.0833333333333,6,8,0.520432692307692
"AAMDC","GSK591","Chromatin",40.7777777777778,47.25,6,8,1.13098404255319
"AAMDC","GSK591","Cytoplasm",160.555555555556,85.7916666666667,6,8,0.53103507565337
"AAMDC","GSK591","Nucleoplasm",65.3333333333333,34.5833333333333,6,8,0.521356783919598
"AAMP","DMSO","Chromatin",458.833333333333,37.9166666666667,12,4,0.0824574121058354
"AAMP","DMSO","Cytoplasm",1066.88888888889,35,12,4,0.032774945375091
"AAMP","DMSO","Nucleoplasm",416.861111111111,12.5,12,4,0.0299142458286246
"AAMP","GSK591","Chromatin",527.472222222222,55.9166666666667,12,4,0.10580814717477
"AAMP","GSK591","Cytoplasm",1155,35.4166666666667,12,4,0.0306372549019608
"AAMP","GSK591","Nucleoplasm",532.444444444444,18.5,12,4,0.0346802749427203
"AAR2","DMSO","Chromatin",294.888888888889,65.3333333333333,6,4,0.220803604956816
"AAR2","DMSO","Cytoplasm",415.611111111111,24.75,6,4,0.0594079210561408
"AAR2","DMSO","Nucleoplasm",249.166666666667,11.5833333333333,6,4,0.0463024650233178
"AAR2","GSK591","Chromatin",297,70.8333333333333,6,4,0.237695749440716
"AAR2","GSK591","Cytoplasm",367.444444444444,20.4166666666667,6,4,0.055413148371532
"AAR2","GSK591","Nucleoplasm",313.777777777778,15.0833333333333,6,4,0.0479174020472997
"AARS1","DMSO","Chromatin",842.079365079365,99.2916666666667,21,8,0.117772621154498
"AARS1","DMSO","Cytoplasm",1016.88888888889,9.79166666666667,21,8,0.0096195830149547
"AARS1","DMSO","Nucleoplasm",470.126984126984,5.04166666666667,21,8,0.0107012903877902
"AARS1","GSK591","Chromatin",779.698412698413,165.625,21,8,0.212149784482759
"AARS1","GSK591","Cytoplasm",789.68253968254,8.79166666666667,21,8,0.0111190853793187
"AARS1","GSK591","Nucleoplasm",523.857142857143,7.83333333333333,21,8,0.0149246960624206
"AARS2","DMSO","Chromatin",62.7962962962963,71.6666666666667,18,1,1.1233671988389
"AARS2","DMSO","Cytoplasm",43.7407407407407,2,18,1,0.0447019867549669
"AARS2","DMSO","Nucleoplasm",25.8888888888889,2.66666666666667,18,1,0.0991735537190083
"AARS2","GSK591","Chromatin",45.7777777777778,38.6666666666667,18,1,0.826603325415677
"AARS2","GSK591","Cytoplasm",22.7777777777778,1,18,1,0.0420560747663551
"AARS2","GSK591","Nucleoplasm",16.2407407407407,1,18,1,0.0580021482277121
"AARSD1","DMSO","Chromatin",227.75,105.857142857143,12,7,0.462763466042155
"AARSD1","DMSO","Cytoplasm",310.472222222222,4.52380952380952,12,7,0.0145239581608082
"AARSD1","DMSO","Nucleoplasm",134.444444444444,3.47619047619048,12,7,0.0256650650416032
"AARSD1","GSK591","Chromatin",215.527777777778,106.142857142857,12,7,0.490204343443599
"AARSD1","GSK591","Cytoplasm",276.694444444444,5.23809523809524,12,7,0.0188628016976522
"AARSD1","GSK591","Nucleoplasm",148.916666666667,2.80952380952381,12,7,0.0187405701580243
"AASDH","DMSO","Chromatin",60.1428571428571,79.5555555555556,7,9,1.30114226375909
"AASDH","DMSO","Cytoplasm",28.047619047619,19.037037037037,7,9,0.655373406193078
"AASDH","DMSO","Nucleoplasm",20.3809523809524,10.7037037037037,7,9,0.500618658747835
"AASDH","GSK591","Chromatin",62.7619047619048,99.7037037037037,7,9,1.56368766077504
"AASDH","GSK591","Cytoplasm",30.8571428571429,20.6296296296296,7,9,0.647566849360571
"AASDH","GSK591","Nucleoplasm",16.8571428571429,9.88888888888889,7,9,0.553777777777778
"AASDHPPT","DMSO","Chromatin",192.222222222222,62.6666666666667,6,1,0.324324324324324
"AASDHPPT","DMSO","Cytoplasm",458.666666666667,2.33333333333333,6,1,0.0050761421319797
"AASDHPPT","DMSO","Nucleoplasm",191.944444444444,2.66666666666667,6,1,0.0138209041174777
"AASDHPPT","GSK591","Chromatin",206.055555555556,63,6,1,0.304266165817011
"AASDHPPT","GSK591","Cytoplasm",572.055555555556,5.33333333333333,6,1,0.00930683470673776
"AASDHPPT","GSK591","Nucleoplasm",284.166666666667,3,6,1,0.0105201636469901
"AATF","DMSO","Chromatin",505.027777777778,140.6,12,5,0.277850359554263
"AATF","DMSO","Cytoplasm",884,17.4666666666667,12,5,0.0197363465160075
"AATF","DMSO","Nucleoplasm",515.666666666667,12.4666666666667,12,5,0.0241290322580645
"AATF","GSK591","Chromatin",528.416666666667,189.4,12,5,0.357752243034787
"AATF","GSK591","Cytoplasm",946.694444444444,18.2,12,5,0.0192045021543512
"AATF","GSK591","Nucleoplasm",607.972222222222,12.1333333333333,12,5,0.0199242804360717
"ABCA","DMSO","Chromatin",26.4,24.3333333333333,10,2,0.888077858880779
"ABCA","DMSO","Cytoplasm",20.7333333333333,16.8333333333333,10,2,0.774539877300613
"ABCA","DMSO","Nucleoplasm",96.2333333333333,77.1666666666667,10,2,0.7936235858759
"ABCA","GSK591","Chromatin",14.8,14,10,2,0.886075949367089
"ABCA","GSK591","Cytoplasm",17.9666666666667,13.1666666666667,10,2,0.694200351493849
"ABCA","GSK591","Nucleoplasm",75.7666666666667,63,10,2,0.820668693009119
"ABCA1","DMSO","Chromatin",220,36.6666666666667,3,2,0.165912518853695
"ABCA1","DMSO","Cytoplasm",30.4444444444444,4.66666666666667,3,2,0.148409893992933
"ABCA1","DMSO","Nucleoplasm",117.777777777778,3.83333333333333,3,2,0.0322731524789523
"ABCA1","GSK591","Chromatin",162.888888888889,35.3333333333333,3,2,0.215593220338983
"ABCA1","GSK591","Cytoplasm",20.6666666666667,6.66666666666667,3,2,0.307692307692308
"ABCA1","GSK591","Nucleoplasm",117.333333333333,3.33333333333333,3,2,0.028169014084507
