"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"WASH7P:1:15947:16606",17.6238122178555,5.01890563295243,0.824873955406495,6.08445156991184,1.16890727364259e-09,1.89606152607787e-09
"WASH7P:1:17368:17605",17.3240318492042,5.24503935720749,0.910820255749802,5.75858883692666,8.48200244510523e-09,1.24097876745293e-08
"WASH7P:1:18366:24737",39.0720338370575,6.87202052538048,0.840273019599379,8.1783186715395,2.87831727664273e-16,9.26224708425421e-16
"LOC100288069:1:735613:738833",15.4068427019767,6.16084162425036,1.09465821207644,5.62809610916263,1.82209562321669e-08,2.56470009758963e-08
"LOC100288069:1:740186:743285",12.824037733571,6.8584680984596,1.32139510056763,5.19032354177296,2.09928985477636e-07,2.63626725736781e-07
"LOC100288069:1:749381:756076",10.9226374001186,8.39633232277675,1.44670701798168,5.80375447026628,6.48462147181547e-09,9.62096167069725e-09
"LINC01128:1:829104:847653",17.6234080961963,4.54703110888329,0.764362800732751,5.94878649840667,2.70137723232157e-09,4.19388632232902e-09
"LINC01128:1:829104:851926",37.5184313277942,3.94476849548112,0.554071158763513,7.11960626913775,1.08235807991491e-12,2.47309287261142e-12
"LINC01128:1:829104:852670",48.6676671813303,3.58886045578844,0.503758845578048,7.12416364951434,1.04714568726475e-12,2.39638667670219e-12
"LINC01128:1:847806:851926",14.2307088907942,4.75740913859281,0.938525921449865,5.06902263417872,3.9986368115495e-07,4.88876231211695e-07
"LINC01128:1:852110:853390",13.5209411466991,2.94434432202393,0.816169105784964,3.60751748768064,0.000309140707985225,0.000323752560768861
"LINC02593:1:917720:918021",52.4169220668381,4.67065287809275,0.533368532837739,8.75689619941199,2.00700324894603e-18,7.80359173104325e-18
"LINC02593:1:918115:918824",79.2505323294761,4.70943824577799,0.504123512051919,9.34183416006388,9.46795199565612e-21,4.46962981750546e-20
"LINC02593:1:918175:918824",69.2942940467343,4.59561273126425,0.516200013846174,8.90277529638682,5.44673727021775e-19,2.21920561271837e-18
"LINC02593:1:918915:919334",41.4813073764138,4.77485573911276,0.569936456035859,8.37787386391078,5.38923554174945e-17,1.84703258621039e-16
"LOC107985728:1:922735:923012",15.4909219872465,8.90008434587007,1.44358856994265,6.16524994114054,7.037189569583e-10,1.17232406562911e-09
"LOC107985728:1:923461:925517",29.9779990792739,5.63174445256918,0.720559277973086,7.81579618044907,5.46166905318398e-15,1.56543033803953e-14
"SAMD11:1:924948:925921",15.2216034062236,5.13062608997368,0.9341938444404,5.49203585584212,3.97326697433059e-08,5.38283968623507e-08
