ensembl_gene_id,Symbol,Biotype
ENSG00000000003,TSPAN6,protein_coding
ENSG00000000971,CFH,protein_coding
ENSG00000001036,FUCA2,protein_coding
ENSG00000001561,ENPP4,protein_coding
ENSG00000001630,CYP51A1,protein_coding
ENSG00000001631,KRIT1,protein_coding
ENSG00000003056,M6PR,protein_coding
ENSG00000003436,TFPI,protein_coding
ENSG00000003756,RBM5,protein_coding
ENSG00000003989,SLC7A2,protein_coding
ENSG00000004399,PLXND1,protein_coding
ENSG00000004468,CD38,protein_coding
ENSG00000004700,RECQL,protein_coding
ENSG00000004766,VPS50,protein_coding
ENSG00000004777,ARHGAP33,protein_coding
ENSG00000005108,THSD7A,protein_coding
ENSG00000005206,SPPL2B,protein_coding
ENSG00000005801,ZNF195,protein_coding
ENSG00000005884,ITGA3,protein_coding
ENSG00000005893,LAMP2,protein_coding
ENSG00000006025,OSBPL7,protein_coding
ENSG00000006071,ABCC8,protein_coding
ENSG00000006118,TMEM132A,protein_coding
ENSG00000006283,CACNA1G,protein_coding
ENSG00000006576,PHTF2,protein_coding
ENSG00000006756,ARSD,protein_coding
ENSG00000007341,ST7L,protein_coding
ENSG00000007384,RHBDF1,protein_coding
ENSG00000007402,CACNA2D2,protein_coding
ENSG00000008282,SYPL1,protein_coding
ENSG00000008300,CELSR3,protein_coding
ENSG00000008394,MGST1,protein_coding
ENSG00000008710,PKD1,protein_coding
ENSG00000008869,HEATR5B,protein_coding
ENSG00000008952,SEC62,protein_coding
ENSG00000009413,REV3L,protein_coding
ENSG00000009830,POMT2,protein_coding
ENSG00000009950,MLXIPL,protein_coding
ENSG00000010278,CD9,protein_coding
ENSG00000010310,GIPR,protein_coding
ENSG00000010322,NISCH,protein_coding
ENSG00000010704,HFE,protein_coding
ENSG00000011021,CLCN6,protein_coding
ENSG00000011028,MRC2,protein_coding
ENSG00000011105,TSPAN9,protein_coding
ENSG00000011258,MBTD1,protein_coding
ENSG00000011405,PIK3C2A,protein_coding
ENSG00000011422,PLAUR,protein_coding
ENSG00000011426,ANLN,protein_coding
ENSG00000011478,QPCTL,protein_coding
ENSG00000012171,SEMA3B,protein_coding
ENSG00000012174,MBTPS2,protein_coding
ENSG00000012660,ELOVL5,protein_coding
ENSG00000012817,KDM5D,protein_coding
ENSG00000013288,MAN2B2,protein_coding
ENSG00000013441,CLK1,protein_coding
ENSG00000013523,ANGEL1,protein_coding
ENSG00000013573,DDX11,protein_coding
ENSG00000013588,GPRC5A,protein_coding
ENSG00000014123,UFL1,protein_coding
ENSG00000015413,DPEP1,protein_coding
ENSG00000015532,XYLT2,protein_coding
ENSG00000015568,RGPD5,protein_coding
ENSG00000017260,ATP2C1,protein_coding
ENSG00000018189,RUFY3,protein_coding
ENSG00000018236,CNTN1,protein_coding
ENSG00000019186,CYP24A1,protein_coding
ENSG00000020922,MRE11,protein_coding
ENSG00000021645,NRXN3,protein_coding
ENSG00000021826,CPS1,protein_coding
ENSG00000022976,ZNF839,protein_coding
ENSG00000023318,ERP44,protein_coding
ENSG00000023516,AKAP11,protein_coding
ENSG00000023839,ABCC2,protein_coding
ENSG00000024048,UBR2,protein_coding
ENSG00000025796,SEC63,protein_coding
ENSG00000026036,RTEL1-TNFRSF6B,protein_coding
ENSG00000026103,FAS,protein_coding
ENSG00000026508,CD44,protein_coding
ENSG00000026652,AGPAT4,protein_coding
ENSG00000027697,IFNGR1,protein_coding
ENSG00000030582,GRN,protein_coding
ENSG00000031003,FAM13B,protein_coding
ENSG00000032219,ARID4A,protein_coding
ENSG00000032444,PNPLA6,protein_coding
ENSG00000033011,ALG1,protein_coding
ENSG00000033030,ZCCHC8,protein_coding
ENSG00000033100,CHPF2,protein_coding
ENSG00000033627,ATP6V0A1,protein_coding
ENSG00000033867,SLC4A7,protein_coding
ENSG00000034677,RNF19A,protein_coding
ENSG00000035403,VCL,protein_coding
ENSG00000035862,TIMP2,protein_coding
ENSG00000037749,MFAP3,protein_coding
ENSG00000038002,AGA,protein_coding
ENSG00000038219,BOD1L1,protein_coding
ENSG00000038427,VCAN,protein_coding
ENSG00000039068,CDH1,protein_coding
ENSG00000039319,ZFYVE16,protein_coding
ENSG00000041802,LSG1,protein_coding
ENSG00000042445,RETSAT,protein_coding
ENSG00000044446,PHKA2,protein_coding
ENSG00000044574,HSPA5,protein_coding
ENSG00000046604,DSG2,protein_coding
ENSG00000046651,OFD1,protein_coding
ENSG00000047188,YTHDC2,protein_coding
ENSG00000047410,TPR,protein_coding
ENSG00000047457,CP,protein_coding
ENSG00000047578,KATNIP,protein_coding
ENSG00000047634,SCML1,protein_coding
ENSG00000049239,H6PD,protein_coding
ENSG00000049323,LTBP1,protein_coding
ENSG00000049449,RCN1,protein_coding
ENSG00000049860,HEXB,protein_coding
ENSG00000050130,JKAMP,protein_coding
ENSG00000050344,NFE2L3,protein_coding
ENSG00000050426,LETMD1,protein_coding
ENSG00000050438,SLC4A8,protein_coding
ENSG00000050555,LAMC3,protein_coding
ENSG00000051341,POLQ,protein_coding
ENSG00000051523,CYBA,protein_coding
ENSG00000052802,MSMO1,protein_coding
ENSG00000052841,TTC17,protein_coding
ENSG00000053747,LAMA3,protein_coding
ENSG00000054654,SYNE2,protein_coding
ENSG00000054690,PLEKHH1,protein_coding
ENSG00000054793,ATP9A,protein_coding
ENSG00000054967,RELT,protein_coding
ENSG00000054983,GALC,protein_coding
ENSG00000055211,GINM1,protein_coding
ENSG00000055609,KMT2C,protein_coding
ENSG00000055732,MCOLN3,protein_coding
ENSG00000055955,ITIH4,protein_coding
ENSG00000056736,IL17RB,protein_coding
ENSG00000057019,DCBLD2,protein_coding
ENSG00000057252,SOAT1,protein_coding
ENSG00000058085,LAMC2,protein_coding
ENSG00000058262,SEC61A1,protein_coding
ENSG00000058453,CROCC,protein_coding
ENSG00000058668,ATP2B4,protein_coding
ENSG00000058804,NDC1,protein_coding
ENSG00000059573,ALDH18A1,protein_coding
ENSG00000059588,TARBP1,protein_coding
ENSG00000059769,DNAJC25,protein_coding
ENSG00000059804,SLC2A3,protein_coding
ENSG00000060339,CCAR1,protein_coding
ENSG00000060656,PTPRU,protein_coding
ENSG00000060718,COL11A1,protein_coding
ENSG00000061656,SPAG4,protein_coding
ENSG00000061987,MON2,protein_coding
ENSG00000062370,ZNF112,protein_coding
ENSG00000062716,VMP1,protein_coding
ENSG00000063127,SLC6A16,protein_coding
ENSG00000063660,GPC1,protein_coding
ENSG00000063761,ADCK1,protein_coding
ENSG00000064042,LIMCH1,protein_coding
ENSG00000064115,TM7SF3,protein_coding
ENSG00000064205,CCN5,protein_coding
ENSG00000064309,CDON,protein_coding
ENSG00000064545,TMEM161A,protein_coding
ENSG00000064547,LPAR2,protein_coding
ENSG00000064601,CTSA,protein_coding
ENSG00000064607,SUGP2,protein_coding
ENSG00000064651,SLC12A2,protein_coding
ENSG00000064687,ABCA7,protein_coding
ENSG00000064933,PMS1,protein_coding
ENSG00000065243,PKN2,protein_coding
ENSG00000065361,ERBB3,protein_coding
ENSG00000065485,PDIA5,protein_coding
ENSG00000065526,SPEN,protein_coding
ENSG00000065600,PACC1,protein_coding
ENSG00000065665,SEC61A2,protein_coding
ENSG00000065923,SLC9A7,protein_coding
ENSG00000066279,ASPM,protein_coding
ENSG00000066422,ZBTB11,protein_coding
ENSG00000067048,DDX3Y,protein_coding
ENSG00000067113,PLPP1,protein_coding
ENSG00000067141,NEO1,protein_coding
ENSG00000067334,DNTTIP2,protein_coding
ENSG00000067445,TRO,protein_coding
ENSG00000067715,SYT1,protein_coding
ENSG00000067798,NAV3,protein_coding
ENSG00000068078,FGFR3,protein_coding
ENSG00000068650,ATP11A,protein_coding
ENSG00000068697,LAPTM4A,protein_coding
ENSG00000069188,SDK2,protein_coding
ENSG00000069493,CLEC2D,protein_coding
ENSG00000069696,DRD4,protein_coding
ENSG00000069702,TGFBR3,protein_coding
ENSG00000069849,ATP1B3,protein_coding
ENSG00000069943,PIGB,protein_coding
ENSG00000070018,LRP6,protein_coding
ENSG00000070081,NUCB2,protein_coding
ENSG00000070269,TMEM260,protein_coding
ENSG00000070371,CLTCL1,protein_coding
ENSG00000070404,FSTL3,protein_coding
ENSG00000070413,DGCR2,protein_coding
ENSG00000070476,ZXDC,protein_coding
ENSG00000070961,ATP2B1,protein_coding
ENSG00000071537,SEL1L,protein_coding
ENSG00000071553,ATP6AP1,protein_coding
ENSG00000071967,CYBRD1,protein_coding
ENSG00000071991,CDH19,protein_coding
ENSG00000072041,SLC6A15,protein_coding
ENSG00000072042,RDH11,protein_coding
ENSG00000072195,SPEG,protein_coding
ENSG00000072274,TFRC,protein_coding
ENSG00000072310,SREBF1,protein_coding
ENSG00000072571,HMMR,protein_coding
ENSG00000072682,P4HA2,protein_coding
ENSG00000072849,DERL2,protein_coding
ENSG00000072858,SIDT1,protein_coding
ENSG00000073008,PVR,protein_coding
ENSG00000073060,SCARB1,protein_coding
ENSG00000073605,GSDMB,protein_coding
ENSG00000073670,ADAM11,protein_coding
ENSG00000073756,PTGS2,protein_coding
ENSG00000074181,NOTCH3,protein_coding
ENSG00000074410,CA12,protein_coding
ENSG00000074527,NTN4,protein_coding
ENSG00000074695,LMAN1,protein_coding
ENSG00000074696,HACD3,protein_coding
ENSG00000074842,MYDGF,protein_coding
ENSG00000074855,ANO8,protein_coding
ENSG00000075151,EIF4G3,protein_coding
ENSG00000075213,SEMA3A,protein_coding
ENSG00000075223,SEMA3C,protein_coding
ENSG00000075275,CELSR1,protein_coding
ENSG00000075292,ZNF638,protein_coding
ENSG00000075407,ZNF37A,protein_coding
ENSG00000075539,FRYL,protein_coding
ENSG00000075568,TMEM131,protein_coding
ENSG00000075790,BCAP29,protein_coding
ENSG00000075826,SEC31B,protein_coding
ENSG00000076344,RGS11,protein_coding
ENSG00000076351,SLC46A1,protein_coding
ENSG00000076356,PLXNA2,protein_coding
ENSG00000076706,MCAM,protein_coding
ENSG00000077147,TM9SF3,protein_coding
ENSG00000077235,GTF3C1,protein_coding
ENSG00000077942,FBLN1,protein_coding
ENSG00000078177,N4BP2,protein_coding
ENSG00000078399,HOXA9,protein_coding
ENSG00000078401,EDN1,protein_coding
ENSG00000078674,PCM1,protein_coding
ENSG00000079112,CDH17,protein_coding
ENSG00000079308,TNS1,protein_coding
ENSG00000080200,CRYBG3,protein_coding
ENSG00000080345,RIF1,protein_coding
ENSG00000080493,SLC4A4,protein_coding
ENSG00000080815,PSEN1,protein_coding
ENSG00000080822,CLDND1,protein_coding
ENSG00000080947,CROCCP3,transcribed_unprocessed_pseudogene
ENSG00000081041,CXCL2,protein_coding
ENSG00000081052,COL4A4,protein_coding
ENSG00000081087,OSTM1,protein_coding
ENSG00000081177,EXD2,protein_coding
ENSG00000081853,PCDHGA2,protein_coding
ENSG00000081923,ATP8B1,protein_coding
ENSG00000082258,CCNT2,protein_coding
ENSG00000082512,TRAF5,protein_coding
ENSG00000082641,NFE2L1,protein_coding
ENSG00000082996,RNF13,protein_coding
ENSG00000083097,DOP1A,protein_coding
ENSG00000083223,TUT7,protein_coding
ENSG00000083444,PLOD1,protein_coding
ENSG00000083814,ZNF671,protein_coding
ENSG00000083857,FAT1,protein_coding
ENSG00000084073,ZMPSTE24,protein_coding
ENSG00000084234,APLP2,protein_coding
ENSG00000084444,FAM234B,protein_coding
ENSG00000085063,CD59,protein_coding
ENSG00000085117,CD82,protein_coding
ENSG00000085224,ATRX,protein_coding
ENSG00000085365,SCAMP1,protein_coding
ENSG00000085514,PILRA,protein_coding
ENSG00000085871,MGST2,protein_coding
ENSG00000086548,CEACAM6,protein_coding
ENSG00000086619,ERO1B,protein_coding
ENSG00000086848,ALG9,protein_coding
ENSG00000087245,MMP2,protein_coding
ENSG00000087253,LPCAT2,protein_coding
ENSG00000087301,TXNDC16,protein_coding
ENSG00000087303,NID2,protein_coding
ENSG00000087494,PTHLH,protein_coding
ENSG00000087502,ERGIC2,protein_coding
ENSG00000088035,ALG6,protein_coding
ENSG00000088298,EDEM2,protein_coding
ENSG00000088305,DNMT3B,protein_coding
ENSG00000088340,FER1L4,transcribed_unitary_pseudogene
ENSG00000088448,ANKRD10,protein_coding
ENSG00000088812,ATRN,protein_coding
ENSG00000088836,SLC4A11,protein_coding
ENSG00000088854,DNAAF9,protein_coding
ENSG00000089048,ESF1,protein_coding
ENSG00000089057,SLC23A2,protein_coding
ENSG00000089060,SLC8B1,protein_coding
ENSG00000089091,DZANK1,protein_coding
ENSG00000089154,GCN1,protein_coding
ENSG00000089199,CHGB,protein_coding
ENSG00000089248,ERP29,protein_coding
ENSG00000089327,FXYD5,protein_coding
ENSG00000089335,ZNF302,protein_coding
ENSG00000089597,GANAB,protein_coding
ENSG00000089692,LAG3,protein_coding
ENSG00000089820,ARHGAP4,protein_coding
ENSG00000090006,LTBP4,protein_coding
ENSG00000090020,SLC9A1,protein_coding
ENSG00000090054,SPTLC1,protein_coding
ENSG00000090339,ICAM1,protein_coding
ENSG00000090432,MUL1,protein_coding
ENSG00000090520,DNAJB11,protein_coding
ENSG00000090530,P3H2,protein_coding
ENSG00000090581,GNPTG,protein_coding
ENSG00000090615,GOLGA3,protein_coding
ENSG00000090857,PDPR,protein_coding
ENSG00000090863,GLG1,protein_coding
ENSG00000090905,TNRC6A,protein_coding
ENSG00000091129,NRCAM,protein_coding
ENSG00000091136,LAMB1,protein_coding
ENSG00000091409,ITGA6,protein_coding
ENSG00000091583,APOH,protein_coding
ENSG00000091656,ZFHX4,protein_coding
ENSG00000091947,TMEM101,protein_coding
