ENSG,Symbol
ENSG00000173209,AHSA2P
ENSG00000228526,MIR34AHG
ENSG00000245532,NEAT1
ENSG00000213903,LTB4R
ENSG00000261786,AC006058.1
ENSG00000250067,YJEFN3
ENSG00000232931,LINC00342
ENSG00000262580,AC087741.1
ENSG00000251562,MALAT1
ENSG00000073605,GSDMB
ENSG00000264112,AC015813.1
ENSG00000088340,FER1L4
ENSG00000115414,FN1
ENSG00000172037,LAMB2
ENSG00000005206,SPPL2B
ENSG00000158286,RNF207
ENSG00000114270,COL7A1
ENSG00000121716,PILRB
ENSG00000101104,PABPC1L
ENSG00000160781,PAQR6
ENSG00000188933,USP32P1
ENSG00000188153,COL4A5
ENSG00000198804,MT-CO1
ENSG00000167524,RSKR
ENSG00000215252,GOLGA8B
ENSG00000198786,MT-ND5
ENSG00000110719,TCIRG1
ENSG00000230590,FTX
ENSG00000167615,LENG8
ENSG00000198695,MT-ND6
ENSG00000214021,TTLL3
ENSG00000213599,SLX1A-SULT1A3
ENSG00000230606,AC092683.1
ENSG00000277701,AC159540.2
ENSG00000108797,CNTNAP1
ENSG00000108846,ABCC3
ENSG00000138834,MAPK8IP3
ENSG00000101115,SALL4
ENSG00000102287,GABRE
ENSG00000175265,GOLGA8A
ENSG00000244257,PKD1P1
ENSG00000225138,SLC9A3-AS1
ENSG00000023839,ABCC2
ENSG00000135473,PAN2
ENSG00000246922,UBAP1L
ENSG00000143630,HCN3
ENSG00000179532,DNHD1
ENSG00000261326,LINC01355
ENSG00000154529,CNTNAP3B
ENSG00000266086,AC015813.2
ENSG00000102878,HSF4
ENSG00000168970,JMJD7-PLA2G4B
ENSG00000214548,MEG3
ENSG00000139631,CSAD
ENSG00000117335,CD46
ENSG00000163346,PBXIP1
ENSG00000267519,AC020916.1
ENSG00000258727,AL135999.1
ENSG00000197774,EME2
ENSG00000196689,TRPV1
ENSG00000283486,FAM95C
ENSG00000011028,AC080038.1
ENSG00000234771,SLC25A25-AS1
ENSG00000075826,SEC31B
ENSG00000062716,VMP1
ENSG00000274471,AC242376.2
ENSG00000197081,IGF2R
ENSG00000243970,PPIEL
ENSG00000225783,MIAT
ENSG00000166436,TRIM66
ENSG00000257354,AC048341.1
ENSG00000139182,CLSTN3
ENSG00000188157,AGRN
ENSG00000003436,TFPI
ENSG00000198727,MT-CYB
ENSG00000284946,AC068831.7
ENSG00000099725,PRKY
ENSG00000177943,MAMDC4
ENSG00000237973,MTCO1P12
ENSG00000131067,GGT7
ENSG00000270069,MIR222HG
ENSG00000100288,CHKB
ENSG00000197978,GOLGA6L9
ENSG00000106714,CNTNAP3
ENSG00000213199,ASIC3
ENSG00000128159,TUBGCP6
ENSG00000169174,PCSK9
ENSG00000129003,VPS13C
ENSG00000204410,MSH5
ENSG00000223705,NSUN5P1
ENSG00000166340,TPP1
ENSG00000182796,TMEM198B
ENSG00000133624,ZNF767P
ENSG00000230373,GOLGA6L5P
ENSG00000184445,KNTC1
ENSG00000151006,PRSS53
ENSG00000251432,LINC02615
ENSG00000221978,CCNL2
ENSG00000143554,SLC27A3
ENSG00000105270,CLIP3
ENSG00000134871,COL4A2
ENSG00000233237,LINC00472
ENSG00000012171,SEMA3B
ENSG00000137642,SORL1
ENSG00000269352,PTOV1-AS2
ENSG00000267056,AC005336.1
ENSG00000013288,MAN2B2
ENSG00000141756,FKBP10
ENSG00000142303,ADAMTS10
ENSG00000228315,GUSBP11
ENSG00000114857,NKTR
ENSG00000198848,CES1
ENSG00000164050,PLXNB1
ENSG00000100299,ARSA
ENSG00000125844,RRBP1
ENSG00000253352,TUG1
ENSG00000245849,RAD51-AS1
ENSG00000149311,ATM
ENSG00000225828,FAM229A
ENSG00000163728,TTC14
ENSG00000171560,FGA
ENSG00000125740,FOSB
ENSG00000091136,LAMB1
ENSG00000142102,PGGHG
ENSG00000258472,AC005726.1
ENSG00000186166,CCDC84
ENSG00000123384,LRP1
ENSG00000064687,ABCA7
ENSG00000260261,AC124944.2
ENSG00000170017,ALCAM
ENSG00000014123,UFL1
ENSG00000157227,MMP14
ENSG00000213906,LTB4R2
ENSG00000151914,DST
ENSG00000254413,CHKB-CPT1B
ENSG00000158106,RHPN1
ENSG00000261408,TEN1-CDK3
ENSG00000142156,COL6A1
ENSG00000198799,LRIG2
ENSG00000267680,ZNF224
ENSG00000251537,AC005324.3
ENSG00000225697,SLC26A6
ENSG00000165282,PIGO
ENSG00000135596,MICAL1
ENSG00000127415,IDUA
ENSG00000076344,RGS11
ENSG00000162298,SYVN1
ENSG00000137496,IL18BP
ENSG00000113108,APBB3
ENSG00000074181,NOTCH3
ENSG00000110455,ACCS
ENSG00000223764,LINC02593
ENSG00000100767,PAPLN
ENSG00000197694,SPTAN1
ENSG00000100068,LRP5L
ENSG00000205560,CPT1B
ENSG00000026036,RTEL1-TNFRSF6B
ENSG00000069493,CLEC2D
ENSG00000130635,COL5A1
ENSG00000054690,PLEKHH1
ENSG00000232653,GOLGA8N
ENSG00000204681,GABBR1
ENSG00000113441,LNPEP
ENSG00000230551,AC021078.1
ENSG00000090863,GLG1
ENSG00000127914,AKAP9
ENSG00000188818,ZDHHC11
ENSG00000243716,NPIPB5
ENSG00000108582,CPD
ENSG00000185513,L3MBTL1
ENSG00000136378,ADAMTS7
ENSG00000128342,LIF
ENSG00000169919,GUSB
ENSG00000132182,NUP210
ENSG00000142408,CACNG8
ENSG00000132561,MATN2
ENSG00000256028,AC026362.1
ENSG00000164078,MST1R
ENSG00000143512,HHIPL2
ENSG00000203709,MIR29B2CHG
ENSG00000186529,CYP4F3
ENSG00000163389,POGLUT1
ENSG00000147162,OGT
ENSG00000241489,AC244197.3
ENSG00000145623,OSMR
ENSG00000117385,P3H1
ENSG00000196668,LINC00173
ENSG00000182871,COL18A1
ENSG00000060718,COL11A1
ENSG00000164180,TMEM161B
ENSG00000182685,BRICD5
ENSG00000260565,ERVK13-1
ENSG00000273036,AL390726.4
ENSG00000274512,TBC1D3L
ENSG00000269929,AL158152.1
ENSG00000154305,MIA3
ENSG00000116138,DNAJC16
ENSG00000138759,FRAS1
ENSG00000228327,AL669831.1
ENSG00000204839,MROH6
ENSG00000184949,FAM227A
ENSG00000234420,ZNF37BP
ENSG00000197969,VPS13A
ENSG00000162591,MEGF6
ENSG00000196187,TMEM63A
ENSG00000153214,TMEM87B
ENSG00000249007,AL691482.3
ENSG00000164406,LEAP2
ENSG00000171298,GAA
ENSG00000104899,AMH
ENSG00000203896,LIME1
ENSG00000145495,MARCH6
ENSG00000174233,ADCY6
ENSG00000184995,IFNE
ENSG00000132680,KHDC4
ENSG00000115657,ABCB6
ENSG00000038427,VCAN
ENSG00000105726,ATP13A1
ENSG00000273142,LINC02604
ENSG00000109072,VTN
ENSG00000120458,MSANTD2
ENSG00000189423,USP32P3
ENSG00000186567,CEACAM19
ENSG00000152661,GJA1
ENSG00000140398,NEIL1
ENSG00000197565,COL4A6
ENSG00000110628,SLC22A18
ENSG00000053747,LAMA3
ENSG00000269486,ERVK9-11
ENSG00000011021,CLCN6
ENSG00000142192,APP
ENSG00000026652,AGPAT4
ENSG00000128262,POM121L9P
ENSG00000143434,SEMA6C
ENSG00000163516,ANKZF1
ENSG00000108679,LGALS3BP
ENSG00000105429,MEGF8
ENSG00000252690,AC105339.2
ENSG00000243708,PLA2G4B
ENSG00000126562,WNK4
ENSG00000030582,GRN
ENSG00000081052,COL4A4
ENSG00000073756,PTGS2
ENSG00000163975,MELTF
ENSG00000178467,P4HTM
ENSG00000115275,MOGS
ENSG00000108465,CDK5RAP3
ENSG00000181045,SLC26A11
ENSG00000235194,PPP1R3E
ENSG00000197746,PSAP
ENSG00000272752,STAG3L5P-PVRIG2P-PILRB
ENSG00000146828,SLC12A9
ENSG00000196696,AC009022.1
ENSG00000214826,DDX12P
ENSG00000164171,ITGA2
ENSG00000279233,AC122688.3
ENSG00000206077,ZDHHC11B
ENSG00000168758,SEMA4C
ENSG00000110888,CAPRIN2
ENSG00000196878,LAMB3
ENSG00000263956,NBPF11
ENSG00000124574,ABCC10
ENSG00000244879,GABPB1-AS1
ENSG00000233175,AC008105.1
ENSG00000080947,CROCCP3
ENSG00000204172,AGAP9
ENSG00000272645,GTF2IP20
ENSG00000132470,ITGB4
ENSG00000074410,CA12
ENSG00000117616,RSRP1
ENSG00000138448,ITGAV
ENSG00000273154,AL121845.3
ENSG00000136068,FLNB
ENSG00000227671,AL390728.4
ENSG00000167702,KIFC2
ENSG00000116260,QSOX1
ENSG00000261578,AP003119.3
ENSG00000084234,APLP2
ENSG00000146166,LGSN
ENSG00000124181,PLCG1
ENSG00000179240,GVQW3
ENSG00000138829,FBN2
ENSG00000175455,CCDC14
ENSG00000100918,REC8
ENSG00000118785,SPP1
ENSG00000107789,MINPP1
ENSG00000204967,PCDHA4
ENSG00000196993,NPIPB9
ENSG00000173230,GOLGB1
ENSG00000042445,RETSAT
ENSG00000135677,GNS
ENSG00000131389,SLC6A6
ENSG00000123146,ADGRE5
ENSG00000134313,KIDINS220
ENSG00000135506,OS9
ENSG00000160796,NBEAL2
ENSG00000167978,SRRM2
ENSG00000158805,ZNF276
ENSG00000215769,ARHGAP27P1-BPTFP1-KPNA2P3
ENSG00000163482,STK36
ENSG00000145882,PCYOX1L
ENSG00000238105,GOLGA2P5
ENSG00000106397,PLOD3
ENSG00000130702,LAMA5
ENSG00000142798,HSPG2
ENSG00000198743,SLC5A3
ENSG00000115306,SPTBN1
ENSG00000169359,SLC33A1
ENSG00000144802,NFKBIZ
ENSG00000100600,LGMN
ENSG00000251664,PCDHA12
ENSG00000033867,SLC4A7
ENSG00000198732,SMOC1
ENSG00000154358,OBSCN
ENSG00000125730,C3
