"ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0098742","cell-cell adhesion via plasma-membrane adhesion molecules","79/2212","124/11406",0.637096774193548,3.28513824884793,12.5492632847435,2.25266016626122e-27,1.11191305806654e-23,8.9015644885733e-24,"3675/1951/5310/27032/999/1829/7216/54549/28513/5817/9620/1015/56113/2195/4680/53827/3383/7042/5802/199731/24146/5754/56133/26167/56130/90/23767/5819/1824/1825/8763/9746/64403/5792/1952/90952/3688/1525/27020/137970/9069/3678/9076/120114/9075/6091/214/1000/22883/5797/57453/25945/1002/91663/23705/5101/1946/56971/3556/79633/23654/5365/3897/5673/56114/56143/56144/55714/5098/56134/56135/56137/56100/56108/56109/8641/56104/56145/56101",79
"GO:0007156","homophilic cell adhesion via plasma membrane adhesion molecules","56/2212","74/11406",0.756756756756757,3.90215531987684,12.2848875356088,1.28444006619808e-25,3.16999808337685e-22,2.53778316237241e-22,"1951/5310/999/1829/7216/54549/28513/5817/9620/1015/56113/2195/4680/199731/5754/56133/26167/56130/5819/1824/1825/9746/64403/1952/90952/3688/27020/120114/6091/1000/22883/5797/57453/25945/1002/23705/5101/79633/23654/5365/3897/56114/56143/56144/55714/5098/56134/56135/56137/56100/56108/56109/8641/56104/56145/56101",56
"GO:0030198","extracellular matrix organization","95/2212","176/11406",0.539772727272727,2.78329463258261,11.6943884231917,7.99428471254374e-25,7.89195786822318e-22,6.31800943387141e-22,"29954/1301/7049/59277/2192/1286/4313/22795/3912/151887/1299/7042/89932/4324/3038/83716/333/8985/9806/7448/1303/27031/1294/5768/4811/7045/5033/10549/4035/79709/7837/1289/10585/4148/4147/4017/1284/3915/11173/1515/4316/102/1545/10609/60681/1291/351/81794/3491/54507/1513/8751/90102/4851/51144/871/3688/81792/101/4323/11093/196264/2264/1520/57326/4241/538/170689/256764/10653/649/1285/84168/3913/30008/1605/64856/79147/100287171/80781/23768/169611/1282/79875/1287/55959/85301/1288/64093/1302/1290/780/8292/84627/642658",95
"GO:0043062","extracellular structure organization","95/2212","176/11406",0.539772727272727,2.78329463258261,11.6943884231917,7.99428471254374e-25,7.89195786822318e-22,6.31800943387141e-22,"29954/1301/7049/59277/2192/1286/4313/22795/3912/151887/1299/7042/89932/4324/3038/83716/333/8985/9806/7448/1303/27031/1294/5768/4811/7045/5033/10549/4035/79709/7837/1289/10585/4148/4147/4017/1284/3915/11173/1515/4316/102/1545/10609/60681/1291/351/81794/3491/54507/1513/8751/90102/4851/51144/871/3688/81792/101/4323/11093/196264/2264/1520/57326/4241/538/170689/256764/10653/649/1285/84168/3913/30008/1605/64856/79147/100287171/80781/23768/169611/1282/79875/1287/55959/85301/1288/64093/1302/1290/780/8292/84627/642658",95
"GO:0045229","external encapsulating structure organization","95/2212","176/11406",0.539772727272727,2.78329463258261,11.6943884231917,7.99428471254374e-25,7.89195786822318e-22,6.31800943387141e-22,"29954/1301/7049/59277/2192/1286/4313/22795/3912/151887/1299/7042/89932/4324/3038/83716/333/8985/9806/7448/1303/27031/1294/5768/4811/7045/5033/10549/4035/79709/7837/1289/10585/4148/4147/4017/1284/3915/11173/1515/4316/102/1545/10609/60681/1291/351/81794/3491/54507/1513/8751/90102/4851/51144/871/3688/81792/101/4323/11093/196264/2264/1520/57326/4241/538/170689/256764/10653/649/1285/84168/3913/30008/1605/64856/79147/100287171/80781/23768/169611/1282/79875/1287/55959/85301/1288/64093/1302/1290/780/8292/84627/642658",95
"GO:0098660","inorganic ion transmembrane transport","188/2212","499/11406",0.376753507014028,1.94269914150181,10.562304515968,1.72250505284302e-22,1.41704749013886e-19,1.13443578392503e-19,"6833/8913/9254/5310/1185/27032/535/9497/9498/1535/55283/29927/493/81671/28968/6558/55248/84679/1815/483/490/537/55117/57719/113235/1906/8671/5663/83959/80024/53827/6548/54822/3710/9424/8542/5332/3750/84061/2564/259232/1186/8989/23516/7991/3783/478/2906/57130/1182/57620/2743/10312/41/4891/7922/10723/54946/10057/1181/10058/6509/116444/525/5311/26503/30819/23155/3709/540/3759/6560/79026/65266/84286/10142/57053/54795/6533/1729/55858/5025/6553/84102/1317/2542/8884/3685/121260/283537/7009/9990/51458/25800/94015/59283/55244/481/54499/9213/3756/57657/5664/245973/6574/130507/7220/56996/51312/3688/3708/288/55676/7402/9481/255231/781/6566/1836/286097/261729/776/26504/388591/55129/2905/219931/6339/148867/476/256471/8645/6522/538/114780/117155/6520/286133/255738/6335/9196/7779/27094/55636/1184/203859/5621/488/144245/7352/93129/54503/196527/2859/2147/284129/2149/10159/340061/1812/338440/6948/23545/246329/53373/487/8912/7442/6334/2316/57181/388662/11194/23315/10479/4513/4519/6526/4540/4512/4538/4508/4514/54923/9311/65010/4509/358",188
"GO:0030001","metal ion transport","177/2212","476/11406",0.371848739495798,1.9174081024815,10.0286834503285,1.67910506733847e-20,1.1840089446261e-17,9.4787374778776e-18,"6833/8913/9254/5310/3077/27032/1272/9497/1356/9498/1535/55283/29927/493/81671/28968/6558/84679/1815/483/490/79901/55117/7037/5743/113235/1906/8671/5663/10269/83959/9962/80024/53827/6548/51310/54822/3710/9424/5332/3750/84061/10916/259232/55238/8989/23516/7991/3783/478/2906/57130/5446/7466/57620/41/4891/1594/7922/10723/8614/54946/10057/55240/10058/116444/525/6446/5311/55640/30819/3709/540/3759/6560/79026/65266/84286/10142/57053/54795/6533/1729/54407/55858/5025/6553/5270/84102/1317/8884/3685/283537/7009/81542/9990/25800/59283/481/54499/3756/57657/5664/6574/130507/7220/201780/26249/56996/51312/3688/3708/288/55676/7402/255231/781/286097/261729/776/26504/388591/6781/2905/219931/6339/148867/28982/476/7349/4241/10424/8645/22853/538/7248/114780/567/117155/6520/286133/255738/6335/9196/7779/27094/55636/5621/91749/488/144245/93129/54503/196527/2859/2147/2149/1812/6948/246329/53373/487/8912/7442/6334/2316/57181/388662/11194/6583/6584/23315/10479/6526/54923/9311/358",177
"GO:0009100","glycoprotein metabolic process","123/2212","287/11406",0.428571428571429,2.20989408421596,10.1822414905475,2.62787470703373e-20,1.62139869423981e-17,1.29803179607956e-17,"29954/64132/23071/56052/54480/175/3074/6646/1301/2817/10347/54916/5663/79796/29929/55741/111089941/23193/84572/57452/9321/23509/84061/55757/51172/54928/7991/4125/56913/8985/2218/20/4669/4126/51809/9761/4124/7903/7841/9528/80267/6185/79695/29880/8702/9469/79586/9375/3425/9526/5589/10585/55858/79070/3703/1514/81618/9445/55501/11173/11227/56886/26035/84920/160418/11226/9245/4864/2590/84620/56548/8473/283464/2132/81792/9653/286148/79623/79053/11093/2135/23385/285203/56983/201595/6184/91869/138050/538/2801/57171/64772/113189/2990/2720/10678/29071/50515/1798/10855/23333/11041/22845/144245/340485/11253/283417/143888/147991/10331/79147/6448/10317/113277/23275/145173/4122/55959/170384/3073/728819/1650/440138",123
"GO:0098655","monoatomic cation transmembrane transport","173/2212","473/11406",0.365750528541226,1.88596316841828,9.65304921386455,3.39971592675343e-19,1.86455531271721e-16,1.49269398702133e-16,"6833/8913/9254/5310/27032/535/9497/9498/1535/55283/29927/493/81671/28968/6558/84679/1815/483/490/537/55117/113235/1906/8671/5663/83959/80024/53827/6548/54822/3710/9424/5332/3750/84061/259232/9780/8989/23516/7991/3783/478/2906/57130/1182/57620/79073/10312/41/4891/7922/10723/54946/10057/10058/116444/525/5311/26503/30819/3709/540/3759/6560/79026/65266/84286/10142/57053/54795/6533/1729/79572/55858/5025/6553/84102/1317/55362/8884/3685/121260/283537/7009/9990/25800/59283/55244/481/54499/3756/57657/5664/245973/6574/130507/7220/56996/51312/3688/3708/288/55676/7402/9481/255231/781/6566/286097/261729/776/26504/388591/55129/2905/219931/6339/148867/1520/476/8645/538/57156/114780/117155/6520/286133/255738/6335/9196/7779/27094/55636/5621/488/144245/7352/93129/54503/196527/2859/2147/2149/10159/340061/1812/6948/23545/246329/53373/9725/487/8912/7442/6334/2316/57181/388662/11194/23315/10479/4513/4519/6526/4540/4512/4538/4508/4514/54923/9311/4509/358",173
"GO:0015711","organic anion transport","106/2212","239/11406",0.443514644351464,2.28694757390271,9.86232941212165,5.57520075125879e-19,2.75191909082134e-16,2.20308459160268e-16,"6542/6833/4257/1244/9497/9498/6515/28968/6558/1815/55117/5743/113235/1906/8671/5663/5205/83959/9962/28231/113278/7355/55238/9057/4363/8140/23516/6510/8714/10227/1374/10057/6509/23169/6513/10560/23443/9429/5826/26503/2181/89845/10257/348/376497/6533/55065/10955/54407/5025/2058/7057/8884/121260/11001/25800/9123/55244/11000/10550/201780/6581/6567/8501/3688/23657/2697/22925/6566/1836/124565/51706/11182/126321/4041/55356/256987/10559/6522/147011/124935/6520/84879/9197/23204/80131/84230/6573/201232/28232/153129/151176/284129/2055/7442/961/57181/388662/123096/6583/5660/1066/2550/1375/9311/65010",106
"GO:0098662","inorganic cation transmembrane transport","166/2212","460/11406",0.360869565217391,1.86079487381083,9.24355058832379,8.52498357624566e-18,3.82539263021351e-15,3.06246778423217e-15,"6833/8913/9254/5310/27032/535/9497/9498/1535/55283/29927/493/81671/28968/6558/84679/1815/483/490/537/55117/113235/1906/8671/5663/83959/80024/53827/6548/54822/3710/9424/5332/3750/84061/259232/8989/23516/7991/3783/478/2906/57130/1182/57620/10312/41/4891/7922/10723/54946/10057/10058/116444/525/5311/26503/30819/3709/540/3759/6560/79026/65266/84286/10142/57053/54795/6533/1729/55858/5025/6553/84102/1317/8884/3685/121260/283537/7009/9990/51458/25800/59283/55244/481/54499/3756/57657/5664/245973/6574/130507/7220/56996/51312/3688/3708/288/55676/7402/9481/255231/781/6566/286097/261729/776/26504/388591/2905/219931/6339/148867/476/8645/538/114780/117155/6520/286133/255738/6335/9196/7779/27094/55636/5621/488/144245/7352/93129/54503/196527/2859/2147/2149/10159/340061/1812/6948/23545/246329/53373/487/8912/7442/6334/2316/57181/388662/11194/23315/10479/4513/4519/6526/4540/4512/4538/4508/4514/54923/9311/4509/358",166
"GO:0003013","circulatory system process","130/2212","335/11406",0.388059701492537,2.00099862351893,9.12116715761323,4.89066025576031e-17,2.01169158520274e-14,1.61048584211616e-14,"6542/952/6833/8913/5286/1373/1244/1829/9498/493/6515/6558/490/7037/6720/5743/1906/8671/10269/4313/6548/7042/1832/5125/9424/85366/6901/4363/8140/6510/478/8985/20/8714/2784/2030/4012/10057/3676/6509/1889/6513/2166/6446/9429/30819/59342/4035/3759/10257/65266/10142/348/376497/54795/6533/4922/54407/1824/5025/5547/8884/481/7220/7873/6581/1956/6567/80005/133/5795/3688/2132/2697/781/1525/6566/776/388591/6781/4882/4041/6339/476/7349/80149/153396/2150/51752/64167/79987/84879/1285/4881/6335/3643/2548/55636/2243/2244/566/6573/57493/8557/112/488/3177/143282/340481/28232/5339/5021/2149/10159/1812/66002/487/8912/3269/7442/6334/2316/388662/6584/100506658/6526/177/2013/3672/199800",130
"GO:0098739","import across plasma membrane","58/2212","104/11406",0.557692307692308,2.87569550702462,9.42517261443317,1.56088929596031e-16,5.9265765883539e-14,4.74459790853036e-14,"6542/6833/8913/493/6515/6558/84679/483/113235/5663/6548/8140/23516/6510/478/10723/6509/6513/3759/6560/376497/54795/6533/54407/6553/7057/8884/121260/9990/25800/55244/481/10550/6567/8501/3688/23657/781/261729/776/6339/476/8645/124935/6520/7779/23204/80131/84230/5621/6573/2055/8912/7442/57181/6583/10479/6526",58
"GO:0046942","carboxylic acid transport","85/2212","186/11406",0.456989247311828,2.35642827976433,9.14839348077667,2.00366788677832e-16,7.06436049224127e-14,5.65546559922241e-14,"6542/6833/1244/28968/6558/1815/55117/5743/113235/1906/5663/5205/9962/28231/55238/9057/4363/8140/6510/8714/1374/10057/6509/23169/6513/10560/9429/5826/26503/2181/89845/10257/348/376497/6533/10955/54407/5025/2058/7057/8884/121260/11001/9123/55244/11000/10550/201780/6581/6567/8501/3688/23657/2697/22925/6566/1836/124565/126321/4041/55356/256987/147011/124935/6520/84879/23204/80131/84230/6573/201232/28232/153129/151176/284129/2055/7442/388662/123096/6583/5660/1066/2550/1375/65010",85
"GO:0015849","organic acid transport","85/2212","187/11406",0.454545454545455,2.34382705901693,9.08814123014458,2.98814087531066e-16,9.83297557368893e-14,7.87191638309909e-14,"6542/6833/1244/28968/6558/1815/55117/5743/113235/1906/5663/5205/9962/28231/55238/9057/4363/8140/6510/8714/1374/10057/6509/23169/6513/10560/9429/5826/26503/2181/89845/10257/348/376497/6533/10955/54407/5025/2058/7057/8884/121260/11001/9123/55244/11000/10550/201780/6581/6567/8501/3688/23657/2697/22925/6566/1836/124565/126321/4041/55356/256987/147011/124935/6520/84879/23204/80131/84230/6573/201232/28232/153129/151176/284129/2055/7442/388662/123096/6583/5660/1066/2550/1375/65010",85
"GO:0006820","monoatomic anion transport","51/2212","86/11406",0.593023255813954,3.05787669792674,9.39579035899238,3.20741502677196e-16,9.89487535759149e-14,7.92147105954074e-14,"1185/1244/9497/9498/6558/55248/57719/8671/28962/5205/83959/8542/2564/4363/1186/23516/8714/1182/2743/10723/10057/1181/6509/51463/653519/26503/23155/6560/89845/10257/65266/8884/9990/94015/56996/9481/1836/6781/55129/256471/6522/80131/1184/84230/203859/5621/6573/196527/284129/338440/65010",51
"GO:0003018","vascular process in circulatory system","76/2212","160/11406",0.475,2.44929927667269,9.05538633539376,5.7120084941826e-16,1.6584984663109e-13,1.32773250075303e-13,"6542/952/6833/5286/1373/1244/9498/493/6515/6558/490/7037/5743/1906/8671/4313/4363/8140/6510/8985/20/8714/2030/10057/3676/6509/1889/6513/2166/9429/59342/4035/10257/348/376497/54795/6533/4922/54407/8884/7873/6581/1956/6567/80005/133/5795/3688/2132/6566/7349/2150/79987/84879/4881/3643/2243/2244/566/6573/112/3177/143282/340481/28232/5339/5021/2149/1812/3269/388662/6584/100506658/6526/177/3672",76
