"category","subcategory","ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count"
"Environmental Information Processing","Signaling molecules and interaction","hsa04512","ECM-receptor interaction","44/1088","51/5340",0.862745098039216,4.23442906574394,11.7393409396091,5.09084809493763e-24,1.6647073270446e-21,1.37720837936734e-21,"3675/960/10319/3909/3918/3161/1286/3912/3655/1299/3696/7448/3676/2335/6382/6696/6385/3911/3691/1284/3679/3915/7057/22801/3685/80144/1291/1292/3339/8515/3688/3678/3673/1285/7059/3913/1605/1282/1287/375790/961/3914/1288/3672",44
"Environmental Information Processing","Signaling molecules and interaction","hsa04514","Cell adhesion molecules","52/1088","70/5340",0.742857142857143,3.64600840336134,11.271525858353,2.17813307949377e-22,3.56124758497232e-20,2.94621158647316e-20,"1272/9369/1462/999/4756/5817/3383/2734/4897/3655/958/83692/5802/3696/24146/64115/8506/3676/6382/965/6385/5819/3685/5792/90952/3688/10666/9069/50848/23308/102723996/9672/9076/9075/83700/214/1000/5797/25945/1002/23705/84189/54413/100506658/3897/3108/3107/3133/3134/3105/3106/3109",52
"Cellular Processes","Transport and catabolism","hsa04142","Lysosome","70/1088","118/5340",0.593220338983051,2.9115777666999,10.6209244787665,8.44806312879081e-21,9.20838881038198e-19,7.61807797929557e-19,"2519/4074/3920/535/175/3074/2581/5476/9741/8218/537/84572/410/5641/1203/23659/51172/1512/23312/55353/427/4125/1777/20/3988/4669/4126/1075/10312/4891/1509/26503/3425/5538/9476/6272/53/1514/8763/2799/1515/950/2588/4864/1513/285362/1520/256471/1508/138050/6609/1200/2990/2720/2548/8722/2629/2517/6448/23545/3916/2760/3482/9583/5660/4668/4758/3073/8906/9374",70
NA,NA,"hsa04820","Cytoskeleton in muscle cells","72/1088","141/5340",0.51063829787234,2.50625782227785,9.16846735721022,2.10196701474863e-16,1.71835803455701e-14,1.42159348102737e-14,"3675/7414/1462/1829/23224/1301/483/2192/1286/22795/3655/1299/1832/25777/23002/478/3696/4621/3676/6711/2335/6382/4811/6385/8910/1289/23345/1729/3691/1824/1284/3679/7057/22801/51332/3685/2201/1291/1292/3339/8515/481/3930/3688/288/84033/3678/9672/6443/200539/476/2199/3673/23353/2200/1285/7059/79188/83660/1605/6712/8557/5339/1282/1287/375790/85301/1288/6709/1302/1290/3672",72
"Organismal Systems","Immune system","hsa04610","Complement and coagulation cascades","29/1088","39/5340",0.743589743589744,3.64960407239819,8.40005566818082,5.09249988946687e-13,3.33049492771133e-11,2.75531046651155e-11,"3075/7035/5329/966/10544/5327/5054/727/7448/4179/1191/5328/718/5270/3687/715/2151/2243/2244/7056/2147/2149/716/5627/1604/728/629/720/110384692",29
"Organismal Systems","Digestive system","hsa04974","Protein digestion and absorption","28/1088","41/5340",0.682926829268293,3.35186513629842,7.64636742544453,3.73030893043028e-11,2.0330183670845e-09,1.68191121950979e-09,"1301/483/1286/1299/3783/6510/478/1303/1294/81578/1289/54407/1284/5547/1291/1292/481/476/8645/6520/1285/80781/1282/1287/85301/1288/1302/1290",28
"Cellular Processes","Transport and catabolism","hsa04145","Phagosome","43/1088","93/5340",0.462365591397849,2.26933111954459,6.24609592869553,1.38990169373821e-08,6.49282648360564e-07,5.37149977880782e-07,"4074/3920/9902/535/1535/29927/55176/537/7037/949/8411/10312/525/718/821/1514/1783/7057/3685/245973/3688/22925/715/3678/1520/3673/6890/7059/929/10333/811/23545/3916/79659/1778/3108/6891/3107/3133/3134/3105/3106/3109",43
"Environmental Information Processing","Signaling molecules and interaction","hsa04060","Cytokine-cytokine receptor interaction","42/1088","91/5340",0.461538461538462,2.26527149321267,6.15763459296419,2.1910521890475e-08,8.95592582273165e-07,7.40921595506851e-07,"355/3459/84957/55540/2920/7042/958/8797/268/9466/3977/93/90/656/8795/92/3623/8744/3976/3597/3572/3590/58985/57007/9180/115650/3570/6374/2919/3576/8793/23529/23765/9966/1435/338376/3556/1438/64109/8718/1270/3588",42
"Environmental Information Processing","Membrane transport","hsa02010","ABC transporters","18/1088","25/5340",0.72,3.53382352941176,6.42306792586636,3.59096488077702e-08,1.30471724001565e-06,1.07938944369555e-06,"6833/1244/10347/4363/20/8714/10057/10058/9429/5826/89845/10257/23461/9619/19/6890/11194/6891",18
"Metabolism","Glycan biosynthesis and metabolism","hsa00514","Other types of O-glycan biosynthesis","24/1088","40/5340",0.6,2.94485294117647,6.24491611459303,4.44832755124638e-08,1.41941267174574e-06,1.17427669930357e-06,"29954/4242/57452/23509/3955/56913/8985/51809/79695/79709/10585/11227/11226/2590/84620/8473/283464/79623/285203/56983/29071/23275/145173/728819",24
"Organismal Systems","Immune system","hsa04640","Hematopoietic cell lineage","20/1088","30/5340",0.666666666666667,3.27205882352941,6.31219952268553,4.7747826878297e-08,1.41941267174574e-06,1.17427669930357e-06,"952/3675/928/960/7037/966/3655/3676/3590/3570/3678/3673/290/929/1435/1604/1438/3108/3672/3109",20
"Genetic Information Processing","Folding, sorting and degradation","hsa04141","Protein processing in endoplasmic reticulum","59/1088","154/5340",0.383116883116883,1.88037146676853,5.60735229883773,1.56191188102337e-07,4.25620987578869e-06,3.52115222300883e-06,"7095/51360/11231/3309/29927/55176/6400/51009/3998/25956/56605/55741/111089941/10961/23193/51726/84061/5611/55757/7993/7991/7466/7841/80267/22926/6185/64374/6745/6238/821/5589/55829/3703/10956/10970/56886/64215/79139/10130/23190/10299/10525/51128/9601/84447/6746/201595/6184/7184/2923/10960/9451/11253/2081/811/5034/10134/1388/1650",59
"Metabolism","Glycan biosynthesis and metabolism","hsa00511","Other glycan degradation","13/1088","16/5340",0.8125,3.98782169117647,6.05401404230271,2.96058683011459e-07,7.44701456498055e-06,6.16089729019798e-06,"2519/23324/175/3074/4125/4126/4123/64772/2720/2629/2517/4758/3073",13
"Human Diseases","Cardiovascular disease","hsa05412","Arrhythmogenic right ventricular cardiomyopathy","27/1088","53/5340",0.509433962264151,2.50034683684795,5.55229748205371,6.47882464627705e-07,1.51326832809471e-05,1.25192325871669e-05,"3675/9254/1829/3655/1832/3696/3676/8910/3691/1824/3679/22801/3685/59283/8515/3688/2697/781/776/3678/6443/3673/1000/1605/488/487/3672",27
"Metabolism","Lipid metabolism","hsa00100","Steroid biosynthesis","14/1088","19/5340",0.736842105263158,3.61648606811145,5.77891594716385,8.16169527477152e-07,1.77924956990019e-05,1.47196890218686e-05,"1595/1591/6307/6646/6713/3988/6309/1594/1718/3930/10682/7108/1056/1717",14
"Organismal Systems","Digestive system","hsa04977","Vitamin digestion and absorption","12/1088","15/5340",0.8,3.92647058823529,5.74087072476955,1.19553254960655e-06,2.44336964825838e-05,2.0213938503216e-05,"949/113235/113278/4363/10560/5826/80704/8884/55788/686/6573/6948",12
"Environmental Information Processing","Signaling molecules and interaction","hsa04080","Neuroactive ligand-receptor interaction","39/1088","93/5340",0.419354838709677,2.05823055028463,5.20731701128191,1.51204929756406e-06,2.90847129590263e-05,2.40617132801216e-05,"2696/9170/1815/1906/10857/2564/2906/727/2743/116444/718/57053/4922/5025/10161/90226/2796/133/79957/2905/7349/10424/2151/2150/1138/2859/66004/2147/53637/5021/2149/1812/3269/7442/728/2550/1241/56413/5032",39
"Organismal Systems","Digestive system","hsa04972","Pancreatic secretion","25/1088","49/5340",0.510204081632653,2.50412665066026,5.35009317705501,1.62931779579741e-06,2.95992732903196e-05,2.44874078081833e-05,"952/493/6558/483/490/8671/6548/3710/5332/478/683/113/3709/5582/481/7220/3708/219931/476/6522/1056/112/488/487/280",25
"Organismal Systems","Digestive system","hsa04976","Bile secretion","21/1088","39/5340",0.538461538461538,2.64281674208145,5.20823176181689,3.65336732959712e-06,6.28763745672768e-05,5.20174738895546e-05,"1244/483/949/8671/6548/478/8714/3156/6513/9429/113/10257/3949/481/57552/476/6522/112/358/54600/54577",21
"Organismal Systems","Digestive system","hsa04970","Salivary secretion","24/1088","48/5340",0.5,2.45404411764706,5.11842171108187,4.18296645652026e-06,6.83915015641063e-05,5.65801252276688e-05,"952/493/6558/483/490/6548/3710/5332/3783/478/683/5554/727897/113/3709/5582/91860/481/3708/476/6522/112/4586/280",24
"Human Diseases","Immune disease","hsa05330","Allograft rejection","9/1088","10/5340",0.9,4.41727941176471,5.47097418748903,4.8192379161551e-06,7.50424189801294e-05,6.20824132557323e-05,"355/958/3108/3107/3133/3134/3105/3106/3109",9
"Metabolism","Lipid metabolism","hsa00600","Sphingolipid metabolism","22/1088","43/5340",0.511627906976744,2.51111491108071,5.03227669711834,6.51244326805041e-06,9.67985885751129e-05,8.00812401860744e-05,"3074/2581/8611/10558/410/9517/427/81537/91012/8612/8560/7357/8613/6609/2720/253782/340485/2629/2760/5660/4758/3073",22
"Metabolism","Glycan biosynthesis and metabolism","hsa00510","N-Glycan biosynthesis","24/1088","50/5340",0.48,2.35588235294118,4.87222072362184,1.03255163532045e-05,0.000146801906412951,0.000121448865115494,"56052/79796/29929/23193/84061/7991/4124/7841/6185/29880/3703/84920/84620/79053/201595/6184/57171/1798/22845/144245/11253/4122/1650/440138",24
"Metabolism","Glycan biosynthesis and metabolism","hsa00531","Glycosaminoglycan degradation","11/1088","15/5340",0.733333333333333,3.59926470588235,5.09898945026643,1.45373106543945e-05,0.000198070857666125,0.000163863545534184,"3074/4669/3425/2799/2588/138050/2990/2720/10855/6448/3073",11
"Organismal Systems","Immune system","hsa04612","Antigen processing and presentation","20/1088","39/5340",0.512820512820513,2.51696832579185,4.80925377352139,1.64391169453272e-05,0.000215023649644879,0.000177888549682067,"3309/5641/821/1514/1520/1508/567/2923/6890/811/3108/6891/3107/3133/3134/3105/10437/6892/3106/3109",20
"Human Diseases","Endocrine and metabolic disease","hsa04940","Type I diabetes mellitus","10/1088","13/5340",0.769230769230769,3.77545248868778,5.06771176028852,1.85644790502615e-05,0.000233484024978288,0.000193160773923773,"355/1363/5799/3108/3107/3133/3134/3105/3106/3109",10
"Organismal Systems","Digestive system","hsa04978","Mineral absorption","18/1088","34/5340",0.529411764705882,2.59839965397924,4.72921428510083,2.49062474579291e-05,0.000301642330323808,0.000249547976479056,"493/483/490/79901/113235/54822/478/4891/1181/540/1317/481/261729/476/26872/538/7779/65010",18
"Human Diseases","Cardiovascular disease","hsa05410","Hypertrophic cardiomyopathy","25/1088","57/5340",0.43859649122807,2.15267027863777,4.42537418173319,4.70284076626842e-05,0.000549224618060633,0.00045437220937255,"3675/9254/1906/3655/7042/3696/3676/8910/5565/3691/3679/22801/3685/59283/8515/3688/781/776/3678/6443/3673/1605/488/487/3672",25
"Environmental Information Processing","Signaling molecules and interaction","hsa04061","Viral protein interaction with cytokine and cytokine receptor","13/1088","22/5340",0.590909090909091,2.90023395721925,4.51743621105076,7.63537579716224e-05,0.000860954443335191,0.000712265546232558,"2920/8797/8795/3572/58985/57007/3570/6374/2919/3576/8793/1435/3588",13
"Organismal Systems","Digestive system","hsa04979","Cholesterol metabolism","15/1088","28/5340",0.535714285714286,2.62933298319328,4.37227643161151,0.000100130867436517,0.00109142645505804,0.000902934488813507,"6646/949/350/3988/4035/3949/348/6272/4864/57552/4043/19/51129/255738/3931",15
"Metabolism","Lipid metabolism","hsa00564","Glycerophospholipid metabolism","30/1088","77/5340",0.38961038961039,1.91224216959511,4.07836979759253,0.00012636104502999,0.00133290521692925,0.00110270928939584,"56895/10908/8611/54947/1120/6901/160851/23659/10162/79143/56261/375775/64900/10390/85465/84803/55500/8612/84513/79888/8526/8613/122618/8681/154141/253558/81490/8398/3931/100137049",30
"Human Diseases","Cardiovascular disease","hsa05414","Dilated cardiomyopathy","25/1088","60/5340",0.416666666666667,2.04503676470588,4.1175417691736,0.000130474834335429,0.00133328971336517,0.00110302738237518,"3675/9254/3655/7042/3696/3676/113/8910/3691/3679/22801/3685/59283/8515/3688/781/776/3678/6443/3673/1605/112/488/487/3672",25
"Cellular Processes","Cellular community - eukaryotes","hsa04510","Focal adhesion","50/1088","152/5340",0.328947368421053,1.61450270897833,3.88770579752093,0.000165420871449745,0.0016176933300499,0.00133831381240246,"3675/7414/10319/3909/3918/1286/3912/3655/1299/85366/3696/4233/7448/3676/2335/6696/5582/3911/1729/3691/2012/1284/3679/3915/2317/7057/22801/3685/3480/2064/1291/1292/8515/1956/3688/3678/3673/2277/1285/7059/80310/83660/3913/1282/1287/3914/2316/1288/2013/3672",50
"Environmental Information Processing","Signal transduction","hsa04020","Calcium signaling pathway","45/1088","133/5340",0.338345864661654,1.66063135780628,3.90246481471677,0.000168200529729959,0.0016176933300499,0.00133831381240246,"952/8913/5256/55283/493/2065/2261/490/3710/85366/5332/2906/4233/57620/116444/113/3709/5582/91860/5025/4916/2064/1956/3708/255231/776/2264/2905/219931/4486/5260/2277/80310/4485/488/93129/5021/2149/1812/53373/487/8912/3269/444/56413",45
"Human Diseases","Infectious disease: bacterial","hsa05150","Staphylococcus aureus infection","12/1088","21/5340",0.571428571428571,2.8046218487395,4.19110598555916,0.000226180613033495,0.00211317315605579,0.00174822308419874,"3075/3383/727/718/715/716/728/3108/3109/629/720/110384692",12
"Human Diseases","Infectious disease: parasitic","hsa05144","Malaria","10/1088","17/5340",0.588235294117647,2.8871107266436,3.94177100905031,0.000564222321476347,0.00512501942007682,0.00423991627542168,"3383/7042/958/4233/975/6382/4035/7057/7059/3576",10
"Environmental Information Processing","Signal transduction","hsa04151","PI3K-Akt signaling pathway","65/1088","223/5340",0.291479820627803,1.43060867844896,3.32257873757628,0.000912143762988333,0.00806137866208607,0.00666915923436704,"3675/10319/3909/3918/9170/5586/2065/2261/1286/3912/3655/1299/3696/4233/7448/374/2784/3676/2335/9048/6446/6696/2069/3911/3691/1284/3679/3915/7057/22801/3685/10161/3480/92579/2064/1291/1292/1969/8515/9180/1956/3688/3570/2264/3678/3673/2277/7248/7184/1285/7059/1942/80310/3643/3913/2149/1946/1435/1282/1287/3914/1288/1388/3672/1945",65
"Human Diseases","Immune disease","hsa05323","Rheumatoid arthritis","18/1088","43/5340",0.418604651162791,2.05454856361149,3.51183098236152,0.00105483928620926,0.00886064111441219,0.00733038714438735,"535/537/2920/3383/7042/10312/525/1514/1513/245973/6374/2919/3576/2353/1435/23545/3108/3109",18
NA,NA,"hsa03272","Virion - Hepatitis viruses","14/1088","30/5340",0.466666666666667,2.29044117647059,3.58508419492334,0.0010567737108932,0.00886064111441219,0.00733038714438735,"3920/928/949/24146/975/3949/3339/1956/10618/9069/9076/9075/3916/100506658",14
"Organismal Systems","Sensory system","hsa04742","Taste transduction","11/1088","21/5340",0.523809523809524,2.57090336134454,3.64831140943173,0.00111412383540018,0.00910796235439646,0.00753499541310121,"3710/5332/2784/50832/54429/8645/6335/112/2550/50840/259295",11
"Human Diseases","Infectious disease: parasitic","hsa05146","Amoebiasis","23/1088","61/5340",0.377049180327869,1.8505906460945,3.37953905132274,0.00128900858400276,0.0102806294382659,0.00850514007929935,"7414/10319/3909/3918/2920/1286/3912/7042/5332/2335/5582/3911/1284/3915/2919/1285/3576/929/3913/1282/1287/3914/1288",23
"Metabolism","Glycan biosynthesis and metabolism","hsa00563","Glycosylphosphatidylinositol (GPI)-anchor biosynthesis","13/1088","28/5340",0.464285714285714,2.27875525210084,3.43150940184257,0.00168682795060609,0.0131331604725759,0.0108650321630517,"9488/128869/9487/80235/51604/10026/93183/65258/93210/84720/54872/80055/23556",13
"Organismal Systems","Endocrine system","hsa04925","Aldosterone synthesis and secretion","22/1088","59/5340",0.372881355932203,1.83013459621137,3.24312894188479,0.00192780715721181,0.014660300939727,0.0121284318091416,"8913/493/483/490/949/3710/5332/478/113/3709/5582/91860/3949/481/3708/776/476/221955/4881/112/8912/1388",22
"Metabolism","Glycan biosynthesis and metabolism","hsa00513","Various types of N-glycan biosynthesis","15/1088","35/5340",0.428571428571429,2.10346638655462,3.31282287725629,0.00205564010808174,0.0152771435305165,0.0126387442051915,"56052/3074/79796/84061/7991/4124/6185/3703/201595/6184/11253/4122/3073/1650/440138",15
"Metabolism","Glycan biosynthesis and metabolism","hsa00512","Mucin type O-glycan biosynthesis","12/1088","26/5340",0.461538461538462,2.26527149321267,3.27120229737184,0.00269657405621224,0.0195951048084756,0.0162109832151239,"57452/56913/51809/79695/11227/11226/9245/2590/79623/29071/10331/728819",12
"Human Diseases","Cardiovascular disease","hsa05416","Viral myocarditis","15/1088","36/5340",0.416666666666667,2.04503676470588,3.18221004420168,0.00287157231027501,0.020413133596955,0.0168877364700384,"8672/3383/958/8910/1525/6443/1605/1604/3108/3107/3133/3134/3105/3106/3109",15
"Human Diseases","Infectious disease: viral","hsa05165","Human papillomavirus infection","69/1088","252/5340",0.273809523809524,1.34388130252101,2.82867506611441,0.00380883412575425,0.0264997608323753,0.0219231885849685,"3675/355/535/10319/3909/3918/537/5743/4854/5663/1286/3912/3655/1299/4242/182/3696/3955/7448/10312/3676/10297/2335/525/6696/23352/3911/3691/4853/1284/324/3679/3915/7057/22801/3685/1291/1292/8515/245973/1956/4851/472/3688/8324/3678/3673/7015/8323/7248/1285/7059/6773/3913/545/8325/2535/23545/10134/1282/1287/3914/1288/3107/3133/3134/3105/3672/3106",69
"Organismal Systems","Endocrine system","hsa04918","Thyroid hormone synthesis","17/1088","44/5340",0.386363636363636,1.89630681818182,3.01965154645432,0.00399841405654972,0.027239195760245,0.0225349213274842,"3309/483/3710/5332/478/113/3709/5582/821/432/481/3708/9601/476/7184/112/1388",17
"Organismal Systems","Digestive system","hsa04971","Gastric acid secretion","16/1088","41/5340",0.390243902439024,1.91535150645624,2.97598439373714,0.00460947610207229,0.0307611976607681,0.0254486650533314,"483/6548/3710/85366/5332/478/113/3709/3759/5582/91860/481/3708/476/6522/112",16
