"GeneName","Treatment","Fraction","avgExon_reads","avgIntron_reads","ExonCount","IntronCount","IntronExon_Ratio"
"14-3-3epsilon","DMSO","Chromatin",643.041666666667,146.888888888889,8,3,0.228073580470553
"14-3-3epsilon","DMSO","Cytoplasm",451.541666666667,117.777777777778,8,3,0.260258416965902
"14-3-3epsilon","DMSO","Nucleoplasm",2218.54166666667,482,8,3,0.217161951604122
"14-3-3epsilon","GSK591","Chromatin",395.25,94.1111111111111,8,3,0.237504381352962
"14-3-3epsilon","GSK591","Cytoplasm",462.541666666667,109,8,3,0.23514606741573
"14-3-3epsilon","GSK591","Nucleoplasm",2041.41666666667,449.555555555556,8,3,0.220109619595523
"14-3-3zeta","DMSO","Chromatin",449.282051282051,132.857142857143,13,7,0.295053161632514
"14-3-3zeta","DMSO","Cytoplasm",302.230769230769,91.0952380952381,13,7,0.300415549273997
"14-3-3zeta","DMSO","Nucleoplasm",1547.61538461538,432.047619047619,13,7,0.278989620883124
"14-3-3zeta","GSK591","Chromatin",274.153846153846,78.6666666666667,13,7,0.285900661634517
"14-3-3zeta","GSK591","Cytoplasm",295.410256410256,84.1428571428571,13,7,0.283872960949085
"14-3-3zeta","GSK591","Nucleoplasm",1337.92307692308,383.571428571429,13,7,0.286477569311075
"4E-T","DMSO","Chromatin",33.4166666666667,21,8,1,0.610169491525424
"4E-T","DMSO","Cytoplasm",11.5416666666667,4.66666666666667,8,1,0.372093023255814
"4E-T","DMSO","Nucleoplasm",90.7083333333333,51.3333333333333,8,1,0.559745570195366
"4E-T","GSK591","Chromatin",18.8333333333333,11,8,1,0.554621848739496
"4E-T","GSK591","Cytoplasm",13.7083333333333,6.33333333333333,8,1,0.430594900849858
"4E-T","GSK591","Nucleoplasm",83.6666666666667,50.6666666666667,8,1,0.598425196850394
"5PtaseI","DMSO","Chromatin",14.6666666666667,53.5,10,2,3.41489361702128
"5PtaseI","DMSO","Cytoplasm",14.1666666666667,41.1666666666667,10,2,2.71428571428571
"5PtaseI","DMSO","Nucleoplasm",53.8333333333333,195.166666666667,10,2,3.55927051671733
"5PtaseI","GSK591","Chromatin",8.86666666666667,43.5,10,2,4.40878378378378
"5PtaseI","GSK591","Cytoplasm",9.53333333333333,37,10,2,3.5126582278481
"5PtaseI","GSK591","Nucleoplasm",50.2,177.333333333333,10,2,3.46354166666667
"A1BG","DMSO","Chromatin",39.3333333333333,22,2,1,0.545454545454545
"A1BG","DMSO","Cytoplasm",159.166666666667,21.6666666666667,2,1,0.135275754422477
"A1BG","DMSO","Nucleoplasm",52.6666666666667,4,2,1,0.0745341614906832
"A1BG","GSK591","Chromatin",32.3333333333333,38.3333333333333,2,1,1.15
"A1BG","GSK591","Cytoplasm",155,20.3333333333333,2,1,0.13034188034188
"A1BG","GSK591","Nucleoplasm",41.1666666666667,3.33333333333333,2,1,0.0790513833992095
"A1BG-AS1","DMSO","Chromatin",47,22,2,1,0.458333333333333
"A1BG-AS1","DMSO","Cytoplasm",28.6666666666667,25,2,1,0.842696629213483
"A1BG-AS1","DMSO","Nucleoplasm",24.8333333333333,12,2,1,0.464516129032258
"A1BG-AS1","GSK591","Chromatin",39.5,23.6666666666667,2,1,0.584362139917695
"A1BG-AS1","GSK591","Cytoplasm",22.6666666666667,18,2,1,0.76056338028169
"A1BG-AS1","GSK591","Nucleoplasm",12.3333333333333,9.66666666666667,2,1,0.725
"A4GALT","DMSO","Chromatin",180.2,54.25,5,4,0.29939293598234
"A4GALT","DMSO","Cytoplasm",193.666666666667,40,5,4,0.205479452054795
"A4GALT","DMSO","Nucleoplasm",174.466666666667,13.6666666666667,5,4,0.077887537993921
"A4GALT","GSK591","Chromatin",188.066666666667,95.25,5,4,0.503790550070522
"A4GALT","GSK591","Cytoplasm",187.733333333333,46.3333333333333,5,4,0.245496291063229
"A4GALT","GSK591","Nucleoplasm",200.333333333333,25.9166666666667,5,4,0.128725165562914
"AAAS","DMSO","Chromatin",329.958333333333,66.9259259259259,16,9,0.202218585197309
"AAAS","DMSO","Cytoplasm",478.916666666667,52.1481481481481,16,9,0.108660840037815
"AAAS","DMSO","Nucleoplasm",236.6875,23.2222222222222,16,9,0.0977006456890759
"AAAS","GSK591","Chromatin",391.083333333333,99.6296296296296,16,9,0.254103199905538
"AAAS","GSK591","Cytoplasm",501.041666666667,59.4444444444444,16,9,0.118405400171522
"AAAS","GSK591","Nucleoplasm",320.895833333333,36,16,9,0.111837421526115
"AACS","DMSO","Chromatin",94.0555555555556,141.952380952381,18,7,1.49336227769892
"AACS","DMSO","Cytoplasm",120.851851851852,35.8571428571429,18,7,0.294268345636127
"AACS","DMSO","Nucleoplasm",51.6481481481481,16.8571428571429,18,7,0.320184915330888
"AACS","GSK591","Chromatin",70.1666666666667,164.238095238095,18,7,2.30779524924724
"AACS","GSK591","Cytoplasm",88.462962962963,30.8571428571429,18,7,0.344915279297395
"AACS","GSK591","Nucleoplasm",45.2222222222222,17.1428571428571,18,7,0.370879120879121
"AADAC","DMSO","Chromatin",440.733333333333,86.8333333333333,5,4,0.196574102022336
"AADAC","DMSO","Cytoplasm",73.9333333333333,1.66666666666667,5,4,0.0222419928825623
"AADAC","DMSO","Nucleoplasm",30.8666666666667,3.33333333333333,5,4,0.104602510460251
"AADAC","GSK591","Chromatin",449.733333333333,105.083333333333,5,4,0.233138588966129
"AADAC","GSK591","Cytoplasm",89.8,2.16666666666667,5,4,0.0238619676945668
"AADAC","GSK591","Nucleoplasm",40.1333333333333,2,5,4,0.0486223662884927
"AADACP1","DMSO","Chromatin",77.2222222222222,401,3,2,5.12642045454545
"AADACP1","DMSO","Cytoplasm",120.666666666667,24.8333333333333,3,2,0.204109589041096
"AADACP1","DMSO","Nucleoplasm",39.2222222222222,29.5,3,2,0.733425414364641
"AADACP1","GSK591","Chromatin",55.6666666666667,383.5,3,2,6.76764705882353
"AADACP1","GSK591","Cytoplasm",60.6666666666667,17.8333333333333,3,2,0.289189189189189
"AADACP1","GSK591","Nucleoplasm",24.6666666666667,24.3333333333333,3,2,0.948051948051948
"AADAT","DMSO","Chromatin",56.1555555555556,85.8,15,5,1.50116640746501
"AADAT","DMSO","Cytoplasm",49.7555555555556,16.2,15,5,0.319176882661997
"AADAT","DMSO","Nucleoplasm",17.0444444444444,4.46666666666667,15,5,0.247536945812808
"AADAT","GSK591","Chromatin",61.7111111111111,95.6666666666667,15,5,1.52551381998583
"AADAT","GSK591","Cytoplasm",40,14.5333333333333,15,5,0.354471544715447
"AADAT","GSK591","Nucleoplasm",16.2,8.13333333333333,15,5,0.472868217054264
"AAGAB","DMSO","Chromatin",303.166666666667,96.7142857142857,12,7,0.317964774951076
"AAGAB","DMSO","Cytoplasm",817.25,50.3809523809524,12,7,0.061571588611002
"AAGAB","DMSO","Nucleoplasm",317.416666666667,13.3333333333333,12,7,0.041873855011777
"AAGAB","GSK591","Chromatin",329.972222222222,151.333333333333,12,7,0.457238774653798
"AAGAB","GSK591","Cytoplasm",921.277777777778,48.1904761904762,12,7,0.0522515855327132
"AAGAB","GSK591","Nucleoplasm",373.555555555556,19.8571428571429,12,7,0.0530152137983642
"AAK1","DMSO","Chromatin",124.759259259259,140.277777777778,18,6,1.1154469150346
"AAK1","DMSO","Cytoplasm",118.203703703704,70.2222222222222,18,6,0.589094298586298
"AAK1","DMSO","Nucleoplasm",57.4259259259259,28.8333333333333,18,6,0.493502377179081
"AAK1","GSK591","Chromatin",121.574074074074,192.388888888889,18,6,1.56957244296722
"AAK1","GSK591","Cytoplasm",127.722222222222,78.6111111111111,18,6,0.61070349589987
"AAK1","GSK591","Nucleoplasm",64.1111111111111,42.1111111111111,18,6,0.646757679180887
"AAMDC","DMSO","Chromatin",44.3333333333333,39.5666666666667,6,10,0.872794117647059
"AAMDC","DMSO","Cytoplasm",140.555555555556,61.2,6,10,0.432339089481947
"AAMDC","DMSO","Nucleoplasm",68.3333333333333,30.2,6,10,0.435576923076923
"AAMDC","GSK591","Chromatin",40.7777777777778,43.8333333333333,6,10,1.04920212765957
"AAMDC","GSK591","Cytoplasm",160.555555555556,71.0333333333333,6,10,0.439683631361761
"AAMDC","GSK591","Nucleoplasm",65.3333333333333,28.8333333333333,6,10,0.434673366834171
"AAMP","DMSO","Chromatin",458.833333333333,29.6666666666667,12,7,0.0645161290322581
"AAMP","DMSO","Cytoplasm",1066.88888888889,24.5714285714286,12,7,0.0230093494061864
"AAMP","DMSO","Nucleoplasm",416.861111111111,9.14285714285714,12,7,0.021880134091794
"AAMP","GSK591","Chromatin",527.472222222222,40.9047619047619,12,7,0.0774019147737939
"AAMP","GSK591","Cytoplasm",1155,23.8571428571429,12,7,0.0206376668314385
"AAMP","GSK591","Nucleoplasm",532.444444444444,13,12,7,0.0243699229327223
"AAR2","DMSO","Chromatin",294.888888888889,65.3333333333333,6,4,0.220803604956816
"AAR2","DMSO","Cytoplasm",415.611111111111,24.75,6,4,0.0594079210561408
"AAR2","DMSO","Nucleoplasm",249.166666666667,11.5833333333333,6,4,0.0463024650233178
"AAR2","GSK591","Chromatin",297,70.8333333333333,6,4,0.237695749440716
"AAR2","GSK591","Cytoplasm",367.444444444444,20.4166666666667,6,4,0.055413148371532
"AAR2","GSK591","Nucleoplasm",313.777777777778,15.0833333333333,6,4,0.0479174020472997
"AARS1","DMSO","Chromatin",842.079365079365,69.0512820512821,21,13,0.0819036557071727
"AARS1","DMSO","Cytoplasm",1016.88888888889,8.33333333333333,21,13,0.00818687916166357
"AARS1","DMSO","Nucleoplasm",470.126984126984,4.12820512820513,21,13,0.00876240433532978
"AARS1","GSK591","Chromatin",779.698412698413,113.461538461538,21,13,0.14533337921025
"AARS1","GSK591","Cytoplasm",789.68253968254,6.48717948717949,21,13,0.00820453110016076
"AARS1","GSK591","Nucleoplasm",523.857142857143,5.94871794871795,21,13,0.0113339754058317
"AARS2","DMSO","Chromatin",56.4545454545455,71.6666666666667,22,1,1.24736286919831
"AARS2","DMSO","Cytoplasm",40.3484848484849,2,22,1,0.0483693660681568
"AARS2","DMSO","Nucleoplasm",22.7424242424242,2.66666666666667,22,1,0.112316528398213
"AARS2","GSK591","Chromatin",40.5606060606061,38.6666666666667,22,1,0.930368209989063
"AARS2","GSK591","Cytoplasm",20.3939393939394,1,22,1,0.046742209631728
"AARS2","GSK591","Nucleoplasm",14.2575757575758,1,22,1,0.0655412115193644
"AARSD1","DMSO","Chromatin",227.75,85.7037037037037,12,9,0.374660999797612
"AARSD1","DMSO","Cytoplasm",310.472222222222,4.25925925925926,12,9,0.0136746038823984
"AARSD1","DMSO","Nucleoplasm",134.444444444444,2.92592592592593,12,9,0.0216024063439978
"AARSD1","GSK591","Chromatin",215.527777777778,88.3703703703704,12,9,0.408124866367329
"AARSD1","GSK591","Cytoplasm",276.694444444444,4.85185185185185,12,9,0.0174719082391384
"AARSD1","GSK591","Nucleoplasm",148.916666666667,2.44444444444444,12,9,0.0163053548267556
"AASDH","DMSO","Chromatin",40.1282051282051,60.7435897435897,13,13,1.47693266832918
"AASDH","DMSO","Cytoplasm",23.4871794871795,15.9230769230769,13,13,0.650261780104712
"AASDH","DMSO","Nucleoplasm",14.4871794871795,8.82051282051282,13,13,0.56953642384106
"AASDH","GSK591","Chromatin",42.0512820512821,77.4358974358974,13,13,1.79868969624777
"AASDH","GSK591","Cytoplasm",25.7948717948718,18.7692307692308,13,13,0.700478468899522
"AASDH","GSK591","Nucleoplasm",13.7435897435897,9.2051282051282,13,13,0.624347826086956
"AASDHPPT","DMSO","Chromatin",192.222222222222,35.8888888888889,6,3,0.185738930419781
"AASDHPPT","DMSO","Cytoplasm",458.666666666667,2.33333333333333,6,3,0.0050761421319797
"AASDHPPT","DMSO","Nucleoplasm",191.944444444444,2.66666666666667,6,3,0.0138209041174777
"AASDHPPT","GSK591","Chromatin",206.055555555556,36,6,3,0.173866380466863
"AASDHPPT","GSK591","Cytoplasm",572.055555555556,3.22222222222222,6,3,0.0056228793019874
"AASDHPPT","GSK591","Nucleoplasm",284.166666666667,2.44444444444444,6,3,0.00857198519384376
"AATF","DMSO","Chromatin",505.027777777778,140.6,12,5,0.277850359554263
"AATF","DMSO","Cytoplasm",884,17.4666666666667,12,5,0.0197363465160075
"AATF","DMSO","Nucleoplasm",515.666666666667,12.4666666666667,12,5,0.0241290322580645
"AATF","GSK591","Chromatin",528.416666666667,189.4,12,5,0.357752243034787
"AATF","GSK591","Cytoplasm",946.694444444444,18.2,12,5,0.0192045021543512
"AATF","GSK591","Nucleoplasm",607.972222222222,12.1333333333333,12,5,0.0199242804360717
"ABCA","DMSO","Chromatin",24.9090909090909,24.3333333333333,11,2,0.939181286549708
"ABCA","DMSO","Cytoplasm",19.5757575757576,16.8333333333333,11,2,0.818114874815906
"ABCA","DMSO","Nucleoplasm",89.8181818181818,77.1666666666667,11,2,0.849683016349683
"ABCA","GSK591","Chromatin",13.7272727272727,14,11,2,0.950617283950617
"ABCA","GSK591","Cytoplasm",16.8181818181818,13.1666666666667,11,2,0.738945578231293
