"ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue"
"GSE10325_LUPUS_CD4_TCELL_VS_LUPUS_MYELOID_DN","GSE10325_LUPUS_CD4_TCELL_VS_LUPUS_MYELOID_DN","87/2154","200/21355",7.85893581306768e-35,2.60742759575998e-31,7.77287030718488e-32
"NAKAYA_PBMC_FLUARIX_FLUVIRIN_AGE_18_50YO_CORRELATED_WITH_HAI_28DY_RESPONSE_AT_3DY_POSITIVE","NAKAYA_PBMC_FLUARIX_FLUVIRIN_AGE_18_50YO_CORRELATED_WITH_HAI_28DY_RESPONSE_AT_3DY_POSITIVE","134/2154","426/21355",1.01992082760023e-34,2.60742759575998e-31,7.77287030718488e-32
"GSE10325_LUPUS_BCELL_VS_LUPUS_MYELOID_DN","GSE10325_LUPUS_BCELL_VS_LUPUS_MYELOID_DN","86/2154","200/21355",5.55457788887257e-34,9.46685224860182e-31,2.82211536248684e-31
"GSE22886_NAIVE_CD4_TCELL_VS_MONOCYTE_DN","GSE22886_NAIVE_CD4_TCELL_VS_MONOCYTE_DN","80/2154","200/21355",4.47007188042406e-29,4.57109550492164e-26,1.36266612270611e-26
"GSE22886_NAIVE_CD8_TCELL_VS_MONOCYTE_DN","GSE22886_NAIVE_CD8_TCELL_VS_MONOCYTE_DN","80/2154","200/21355",4.47007188042406e-29,4.57109550492164e-26,1.36266612270611e-26
"GSE22886_NAIVE_TCELL_VS_MONOCYTE_DN","GSE22886_NAIVE_TCELL_VS_MONOCYTE_DN","79/2154","200/21355",2.72884045308421e-28,2.32542687276993e-25,6.93221223871216e-26
"GSE29618_MONOCYTE_VS_MDC_DAY7_FLU_VACCINE_UP","GSE29618_MONOCYTE_VS_MDC_DAY7_FLU_VACCINE_UP","77/2154","200/21355",9.54151650278132e-27,6.9693962683887e-24,2.07761141293644e-24
"GSE29618_BCELL_VS_MONOCYTE_DAY7_FLU_VACCINE_DN","GSE29618_BCELL_VS_MONOCYTE_DAY7_FLU_VACCINE_DN","75/2154","200/21355",3.06249615208359e-25,1.73983809173371e-22,5.18654319089712e-23
"GSE29618_MONOCYTE_VS_MDC_UP","GSE29618_MONOCYTE_VS_MDC_UP","75/2154","200/21355",3.06249615208359e-25,1.73983809173371e-22,5.18654319089712e-23
"GSE24634_TREG_VS_TCONV_POST_DAY10_IL4_CONVERSION_DN","GSE24634_TREG_VS_TCONV_POST_DAY10_IL4_CONVERSION_DN","74/2154","200/21355",1.67978862899734e-24,7.80796296369401e-22,2.32759228209392e-22
"GSE29618_BCELL_VS_MONOCYTE_DN","GSE29618_BCELL_VS_MONOCYTE_DN","74/2154","200/21355",1.67978862899734e-24,7.80796296369401e-22,2.32759228209392e-22
