"ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue"
"GSE10325_LUPUS_BCELL_VS_LUPUS_MYELOID_DN","GSE10325_LUPUS_BCELL_VS_LUPUS_MYELOID_DN","148/4231","200/21355",6.66843390681777e-62,3.41823922063479e-58,6.78074437261681e-59
"GSE22886_NAIVE_CD8_TCELL_VS_MONOCYTE_DN","GSE22886_NAIVE_CD8_TCELL_VS_MONOCYTE_DN","143/4231","200/21355",1.13410511974624e-56,2.90671142190961e-53,5.76602918776246e-54
"GSE22886_NAIVE_CD4_TCELL_VS_MONOCYTE_DN","GSE22886_NAIVE_CD4_TCELL_VS_MONOCYTE_DN","142/4231","200/21355",1.17012831722179e-55,1.49951943851972e-52,2.9745893537796e-53
"GSE22886_NAIVE_TCELL_VS_MONOCYTE_DN","GSE22886_NAIVE_TCELL_VS_MONOCYTE_DN","142/4231","200/21355",1.17012831722179e-55,1.49951943851972e-52,2.9745893537796e-53
"GSE10325_LUPUS_CD4_TCELL_VS_LUPUS_MYELOID_DN","GSE10325_LUPUS_CD4_TCELL_VS_LUPUS_MYELOID_DN","140/4231","200/21355",1.15809861417438e-53,1.18728269925157e-50,2.35520686587884e-51
"GSE29618_MONOCYTE_VS_MDC_UP","GSE29618_MONOCYTE_VS_MDC_UP","139/4231","200/21355",1.11142590118822e-52,8.13881309927258e-50,1.61449236172604e-50
"GSE29618_MONOCYTE_VS_PDC_DAY7_FLU_VACCINE_UP","GSE29618_MONOCYTE_VS_PDC_DAY7_FLU_VACCINE_UP","139/4231","200/21355",1.11142590118822e-52,8.13881309927258e-50,1.61449236172604e-50
"GSE29618_BCELL_VS_MONOCYTE_DN","GSE29618_BCELL_VS_MONOCYTE_DN","138/4231","200/21355",1.04166886694026e-51,6.67449326491973e-49,1.32401595455828e-49
"GSE29618_BCELL_VS_MONOCYTE_DAY7_FLU_VACCINE_DN","GSE29618_BCELL_VS_MONOCYTE_DAY7_FLU_VACCINE_DN","137/4231","200/21355",9.53639296278147e-51,5.43150559191309e-48,1.07744509965461e-48
"NAKAYA_PBMC_FLUARIX_FLUVIRIN_AGE_18_50YO_CORRELATED_WITH_HAI_28DY_RESPONSE_AT_3DY_POSITIVE","NAKAYA_PBMC_FLUARIX_FLUVIRIN_AGE_18_50YO_CORRELATED_WITH_HAI_28DY_RESPONSE_AT_3DY_POSITIVE","221/4231","426/21355",3.54582053441671e-50,1.81758760594201e-47,3.60553961710163e-48
"GSE29618_MONOCYTE_VS_MDC_DAY7_FLU_VACCINE_UP","GSE29618_MONOCYTE_VS_MDC_DAY7_FLU_VACCINE_UP","136/4231","200/21355",8.52964770152971e-50,3.97481582891284e-47,7.88482265997866e-48
"GSE22886_NAIVE_BCELL_VS_MONOCYTE_DN","GSE22886_NAIVE_BCELL_VS_MONOCYTE_DN","133/4231","200/21355",5.3179519711211e-47,2.27165181699723e-44,4.50626456500262e-45
"GSE29618_MONOCYTE_VS_PDC_UP","GSE29618_MONOCYTE_VS_PDC_UP","132/4231","199/21355",1.82716880588684e-46,7.20466715305842e-44,1.42918628865319e-44
"GSE10325_BCELL_VS_MYELOID_DN","GSE10325_BCELL_VS_MYELOID_DN","131/4231","200/21355",3.46620737587428e-45,1.26912707205225e-42,2.51756114668764e-43
"GSE34156_TLR1_TLR2_LIGAND_VS_NOD2_AND_TLR1_TLR2_LIGAND_24H_TREATED_MONOCYTE_UP","GSE34156_TLR1_TLR2_LIGAND_VS_NOD2_AND_TLR1_TLR2_LIGAND_24H_TREATED_MONOCYTE_UP","129/4231","197/21355",1.70621935792849e-44,5.83072028582763e-42,1.15663712263784e-42
"GSE13547_CTRL_VS_ANTI_IGM_STIM_BCELL_12H_UP","GSE13547_CTRL_VS_ANTI_IGM_STIM_BCELL_12H_UP","124/4231","187/21355",1.07558226597636e-43,3.44589668462175e-41,6.83560834824448e-42
"GSE29618_PDC_VS_MDC_DAY7_FLU_VACCINE_DN","GSE29618_PDC_VS_MDC_DAY7_FLU_VACCINE_DN","129/4231","200/21355",2.06696481430246e-43,6.23250684594967e-41,1.23633932545894e-41
"QI_PBMC_ZOSTAVAX_AGE_50_75YO_CORRELATED_WITH_EXPANSION_OF_VZV_SPECIFIC_T_CELLS_TO_PEAK_AT_1DY_POSITIVE","QI_PBMC_ZOSTAVAX_AGE_50_75YO_CORRELATED_WITH_EXPANSION_OF_VZV_SPECIFIC_T_CELLS_TO_PEAK_AT_1DY_POSITIVE","147/4231","248/21355",8.49244693801835e-43,2.33842699754832e-40,4.63872616307303e-41
"FLETCHER_PBMC_BCG_10W_INFANT_BCG_STIMULATED_VS_UNSTIMULATED_10W_DN","FLETCHER_PBMC_BCG_10W_INFANT_BCG_STIMULATED_VS_UNSTIMULATED_10W_DN","150/4231","256/21355",8.66759909352674e-43,2.33842699754832e-40,4.63872616307303e-41
"GSE29618_PDC_VS_MDC_DN","GSE29618_PDC_VS_MDC_DN","128/4231","200/21355",1.54434374067626e-42,3.95815300735324e-40,7.85176870259612e-41
"GSE29618_BCELL_VS_MDC_DAY7_FLU_VACCINE_DN","GSE29618_BCELL_VS_MDC_DAY7_FLU_VACCINE_DN","127/4231","200/21355",1.12896767812011e-41,2.75575634192556e-39,5.46658033616053e-40
"GSE6269_FLU_VS_STAPH_AUREUS_INF_PBMC_DN","GSE6269_FLU_VS_STAPH_AUREUS_INF_PBMC_DN","113/4231","167/21355",3.05502418076751e-41,7.11820634118831e-39,1.41203509981886e-39
"GSE33292_WT_VS_TCF1_KO_DN3_THYMOCYTE_DN","GSE33292_WT_VS_TCF1_KO_DN3_THYMOCYTE_DN","126/4231","200/21355",8.07609693927036e-41,1.79991621350869e-38,3.57048496262479e-39
"GSE15750_DAY6_VS_DAY10_TRAF6KO_EFF_CD8_TCELL_UP","GSE15750_DAY6_VS_DAY10_TRAF6KO_EFF_CD8_TCELL_UP","125/4231","200/21355",5.65401910835437e-40,1.20760424789269e-37,2.39551862222382e-38
