"ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue"
"GSE22886_NAIVE_CD8_TCELL_VS_MONOCYTE_DN","GSE22886_NAIVE_CD8_TCELL_VS_MONOCYTE_DN","168/6767","200/21355",2.82482198037931e-53,1.44828622934047e-49,2.47989634909089e-50
"GSE22886_NAIVE_TCELL_VS_MONOCYTE_DN","GSE22886_NAIVE_TCELL_VS_MONOCYTE_DN","167/6767","200/21355",3.18282736451164e-52,5.43945196595038e-49,9.31395797193931e-50
"GSE29618_MONOCYTE_VS_MDC_UP","GSE29618_MONOCYTE_VS_MDC_UP","167/6767","200/21355",3.18282736451164e-52,5.43945196595038e-49,9.31395797193931e-50
"GSE10325_LUPUS_BCELL_VS_LUPUS_MYELOID_DN","GSE10325_LUPUS_BCELL_VS_LUPUS_MYELOID_DN","166/6767","200/21355",3.45944026649118e-51,4.43413756157508e-48,7.59256100593065e-49
"GSE22886_NAIVE_CD4_TCELL_VS_MONOCYTE_DN","GSE22886_NAIVE_CD4_TCELL_VS_MONOCYTE_DN","165/6767","200/21355",3.63019707157303e-50,3.72240407719098e-47,6.37386180566717e-48
"QI_PBMC_ZOSTAVAX_AGE_50_75YO_CORRELATED_WITH_EXPANSION_OF_VZV_SPECIFIC_T_CELLS_TO_PEAK_AT_1DY_POSITIVE","QI_PBMC_ZOSTAVAX_AGE_50_75YO_CORRELATED_WITH_EXPANSION_OF_VZV_SPECIFIC_T_CELLS_TO_PEAK_AT_1DY_POSITIVE","190/6767","248/21355",2.5484557738242e-48,2.17765545873278e-45,3.72879318485857e-46
"GSE10325_LUPUS_CD4_TCELL_VS_LUPUS_MYELOID_DN","GSE10325_LUPUS_CD4_TCELL_VS_LUPUS_MYELOID_DN","161/6767","200/21355",3.1437573814155e-46,2.01475551181466e-43,3.44986007381648e-44
"GSE22886_NAIVE_BCELL_VS_MONOCYTE_DN","GSE22886_NAIVE_BCELL_VS_MONOCYTE_DN","161/6767","200/21355",3.1437573814155e-46,2.01475551181466e-43,3.44986007381648e-44
"NAKAYA_PBMC_FLUARIX_FLUVIRIN_AGE_18_50YO_CORRELATED_WITH_HAI_28DY_RESPONSE_AT_3DY_POSITIVE","NAKAYA_PBMC_FLUARIX_FLUVIRIN_AGE_18_50YO_CORRELATED_WITH_HAI_28DY_RESPONSE_AT_3DY_POSITIVE","277/6767","426/21355",4.05926971405845e-46,2.31243064710863e-43,3.95956835266052e-44
"GSE29618_MONOCYTE_VS_PDC_DAY7_FLU_VACCINE_UP","GSE29618_MONOCYTE_VS_PDC_DAY7_FLU_VACCINE_UP","160/6767","200/21355",2.79739799260803e-45,1.43422595081014e-42,2.45582097456326e-43
"GSE9988_ANTI_TREM1_VS_VEHICLE_TREATED_MONOCYTES_DN","GSE9988_ANTI_TREM1_VS_VEHICLE_TREATED_MONOCYTES_DN","155/6767","197/21355",3.2581177676167e-42,1.51857907223371e-39,2.60025858200222e-40
"GSE29618_MONOCYTE_VS_PDC_UP","GSE29618_MONOCYTE_VS_PDC_UP","156/6767","199/21355",4.12171463957159e-42,1.76100257975696e-39,3.0153596573708e-40
"GSE29618_BCELL_VS_MONOCYTE_DN","GSE29618_BCELL_VS_MONOCYTE_DN","156/6767","200/21355",1.29231685492108e-41,4.73264893941456e-39,8.10370118048257e-40
"GSE29618_MONOCYTE_VS_MDC_DAY7_FLU_VACCINE_UP","GSE29618_MONOCYTE_VS_MDC_DAY7_FLU_VACCINE_UP","156/6767","200/21355",1.29231685492108e-41,4.73264893941456e-39,8.10370118048257e-40
"QI_PBMC_ZOSTAVAX_AGE_50_75YO_CORRELATED_WITH_CONTRACTION_OF_VZV_SPECIFIC_T_CELLS_PEAK_TO_28DY_AT_1DYPOSITIVE","QI_PBMC_ZOSTAVAX_AGE_50_75YO_CORRELATED_WITH_CONTRACTION_OF_VZV_SPECIFIC_T_CELLS_PEAK_TO_28DY_AT_1DYPOSITIVE","203/6767","294/21355",7.05258813424771e-40,2.41057462428587e-37,4.12762000278076e-38
"GSE22886_UNSTIM_VS_IL2_STIM_NKCELL_DN","GSE22886_UNSTIM_VS_IL2_STIM_NKCELL_DN","153/6767","200/21355",5.32998208093829e-39,1.60745988993945e-36,2.75244895077556e-37
"GSE43863_TH1_VS_TFH_MEMORY_CD4_TCELL_UP","GSE43863_TH1_VS_TFH_MEMORY_CD4_TCELL_UP","153/6767","200/21355",5.32998208093829e-39,1.60745988993945e-36,2.75244895077556e-37
"GSE21670_UNTREATED_VS_IL6_TREATED_STAT3_KO_CD4_TCELL_DN","GSE21670_UNTREATED_VS_IL6_TREATED_STAT3_KO_CD4_TCELL_DN","151/6767","197/21355",1.0986307739522e-38,3.12926665447384e-36,5.35823430103002e-37
"GSE9988_LPS_VS_VEHICLE_TREATED_MONOCYTE_DN","GSE9988_LPS_VS_VEHICLE_TREATED_MONOCYTE_DN","148/6767","198/21355",9.85226901115027e-36,2.65855701158776e-33,4.55223953202179e-34
"GSE29618_BCELL_VS_MONOCYTE_DAY7_FLU_VACCINE_DN","GSE29618_BCELL_VS_MONOCYTE_DAY7_FLU_VACCINE_DN","149/6767","200/21355",1.11197562633755e-35,2.71480906487267e-33,4.64855976123065e-34
"GSE33292_WT_VS_TCF1_KO_DN3_THYMOCYTE_DN","GSE33292_WT_VS_TCF1_KO_DN3_THYMOCYTE_DN","149/6767","200/21355",1.11197562633755e-35,2.71480906487267e-33,4.64855976123065e-34
"GSE29618_PDC_VS_MDC_DAY7_FLU_VACCINE_DN","GSE29618_PDC_VS_MDC_DAY7_FLU_VACCINE_DN","148/6767","200/21355",7.03182672853437e-35,1.56748589726938e-32,2.6840015979852e-33
"GSE29618_PDC_VS_MDC_DN","GSE29618_PDC_VS_MDC_DN","148/6767","200/21355",7.03182672853437e-35,1.56748589726938e-32,2.6840015979852e-33
