"gene_id","baseMean","log2FoldChange","lfcSE","pvalue","padj","GeneSymbol","Chromosome","Strand","Class"
"ENSG00000215252",4412.52878512649,6.73131081843228,0.29108592152923,1.21642857636905e-119,2.36911629533635e-115,"GOLGA8B","15:34525207-34588503","-","protein_coding"
"ENSG00000121716",4378.14912794616,6.83517176304556,0.297002614376406,1.38289122501575e-118,1.34665947492034e-114,"PILRB","7:100352176-100367733","+","protein_coding"
"ENSG00000283486",1445.03615027973,6.98622543930134,0.307321561434895,4.6599350236665e-116,3.02522981736429e-112,"FAM95C","9:38540569-38577207","-","protein_coding"
"ENSG00000228526",1088.69589428391,8.28907527856733,0.364857594948804,2.4948665328049e-115,1.2147505148227e-111,"MIR34AHG","1:9148011-9198906","-","lncRNA"
"ENSG00000266086",1936.60387676792,7.33272393763889,0.327952265843273,2.57234927107181e-112,1.00198148806789e-108,"AC015813.2","17:57989038-58007246","-","protein_coding"
"ENSG00000173209",6174.17416095059,6.95226558112945,0.318607238231993,6.74481034118338e-107,2.18936543674813e-103,"AHSA2P","2:61177418-61191203","+","transcribed_unitary_pseudogene"
"ENSG00000138834",4964.32236521321,6.82628738587126,0.318978481879518,6.44564176943146e-103,1.79336170144924e-99,"MAPK8IP3","16:1706183-1770317","+","protein_coding"
"ENSG00000205560",1630.97046108464,6.82045098866608,0.322891576444961,1.18973876384178e-100,2.89641902057281e-97,"CPT1B","22:50568861-50578465","-","protein_coding"
"ENSG00000233237",1027.45382024991,6.73971042567013,0.325296050557845,5.42087116480697e-97,1.17307652006423e-93,"LINC00472","6:71343427-71420745","-","lncRNA"
"ENSG00000128159",1866.67661997197,6.21986536079205,0.301857932504694,1.12969155775246e-95,2.2001872778787e-92,"TUBGCP6","22:50217689-50245023","-","protein_coding"
"ENSG00000213903",2133.57846259663,7.44874821326277,0.362909227930921,2.20333261775064e-95,3.90110055121014e-92,"LTB4R","14:24311450-24318036","+","protein_coding"
"ENSG00000142102",911.030619446004,7.21564501476447,0.3516598393584,3.57013260919181e-95,5.79432522471831e-92,"PGGHG","11:289135-296107","+","protein_coding"
"ENSG00000167524",917.513486889278,7.31214598100574,0.358659687840115,3.68716291100301e-94,5.52393729651497e-91,"RSKR","17:28607964-28614200","-","protein_coding"
"ENSG00000186166",1263.745893263,7.24158390290335,0.35625212011762,9.78607933535809e-94,1.36138343668167e-90,"CCDC84","11:118998138-119015793","+","protein_coding"
"ENSG00000232931",644.937438913204,7.57805578857819,0.372175874699663,1.52242027438552e-93,1.97671048426216e-90,"LINC00342","2:95807052-95835003","-","lncRNA"
"ENSG00000196689",1129.14964941149,5.70572634344826,0.281118310429448,8.50493352521017e-93,1.03526303335621e-89,"TRPV1","17:3565444-3609411","-","protein_coding"
"ENSG00000203896",1151.40812818809,6.52161102124814,0.322122696218037,9.83817435752291e-93,1.12710755168892e-89,"LIME1","20:63736283-63739103","+","protein_coding"
"ENSG00000169203",970.872530562558,5.79867952650638,0.287615272662626,1.41525279236991e-91,1.53130352134424e-88,"NPIPB12","16:29483642-29505999","-","protein_coding"
"ENSG00000167702",1626.88041748611,5.74172243122609,0.285926479664884,5.65893912552442e-91,5.80071044256387e-88,"KIFC2","8:144466043-144474202","+","protein_coding"
"ENSG00000214021",872.696594351718,6.58867939712379,0.329055032226805,8.57882534740814e-91,8.35406012330605e-88,"TTLL3","3:9808086-9855138","+","protein_coding"
