Accession	Description	Symbol	Coverage	Num.Peptides	Num_PSMs	UniqPeptides	Aas	MW	pI	DMSO.CHR_1	DMSO.CHR_2	DMSO.CHR_3	DMSO.HYPO_1	DMSO.HYPO_2	DMSO.HYPO_3	DMSO.NUC_1	DMSO.NUC_2	DMSO.NUC_3	GSK.15.CHR_1	GSK.15.CHR_2	GSK.15.CHR_3	GSK.15.CYTO_1	GSK.15.CYTO_2	GSK.15.CYTO_3	GSK.15.NUC_1	GSK.15.NUC_2	GSK.15.NUC_3	GSK.48H.CHR_1	GSK.48H.CHR_2	GSK.48H.CHR_3	GSK.48H.CYTO_1	GSK.48H.CYTO_2	GSK.48H.CYTO_3	GSK.48H.NUC_1	GSK.48H.NUC_2	GSK.48H.NUC_3	GSK.90.CHR_1	GSK.90.CHR_2	GSK.90.CHR_3	GSK.90.CYTO_1	GSK.90.CYTO_2	GSK.90.CYTO_3	GSK.90.NUC_1	GSK.90.NUC_2	GSK.90.NUC_3	GSK.180.CHR_1	GSK.180.CHR_2	GSK.180.CHR_3	GSK.180.CYTO_1	GSK.180.CYTO_2	GSK.180.CYTO_3	GSK.180.NUC_1	GSK.180.NUC_2	GSK.180.NUC_3	MS023.15.CHR_1	MS023.15.CHR_2	MS023.15.CYTO_1	MS023.15.CYTO_2	MS023.15.CYTO_3	MS023.15.NUC_1	MS023.15.NUC_2	MS023.15.NUC_3	MS023.48H.CHR_1	MS023.48H.CHR_2	MS023.48H.CHR_3	MS023.48H.CYTO_1	MS023.48H.CYTO_2	MS023.48H.CYTO_3	MS023.48H.NUC_1	MS023.48H.NUC_2	MS023.48H.NUC_3	MS023.90.CHR_1	MS023.90.CHR_2	MS023.90.CHR_3	MS023.90.CYTO_1	MS023.90.CYTO_2	MS023.90.CYTO_3	MS023.90.NUC_1	MS023.90.NUC_2	MS023.90.NUC_3	MS023.180.CHR_1	MS023.180.CHR_2	MS023.180.CHR_3	MS023.180.CYTO_1	MS023.180.CYTO_2	MS023.180.CYTO_3	MS023.180.NUC_1	MS023.180.NUC_2	MS023.180.NUC_3
Q15149	Plectin OS=Homo sapiens OX=9606 GN=PLEC PE=1 SV=3	PLEC	75	467	11041	456	4684	531.5	5.96	1550001754	799867360	1101999864	198515757.7	75076269.4	100499887.3	328469420.8	265359879.3	104398983.1	2871968610	3792258036	1409736640	185695873.8	203927231	443819460.4	371397786.1	699878813.9	1081811553	2416707042	4694961528	934491459.5	250002365.8	371014431.6	288203664.2	849711288.2	595981330.7	479450417.9	4467312072	3792558463	1138506648	353391504.9	483068975.8	509276551.6	1125851213	933403234.1	1162659272	3444282778	4980943886	1037905760	87538808.04	288770160	345586137	766893185.7	682482277.4	866203191.3	3009260707	2331914395	65852110.28	432207270.9	441294885.4	419842016	854909139.2	1176779143	1665552579	2513341941	889530823.9	232678584.2	310591470.1	182908952.8	527940148	538303577.6	461864269.8	5804007848	5141967772	1600858381	52473679.25	532997775.1	435309444.4	696462707.7	539184869.9	1577404208	3801611005	4874423342	1416920772	186637373.7	186246431.5	397319670.2	658989125.1	810913122.9	939910300.8
Q09666	Neuroblast differentiation-associated protein AHNAK OS=Homo sapiens OX=9606 GN=AHNAK PE=1 SV=2	AHNAK	78	370	12181	370	5890	628.7	6.15	570314382.9	361805865.9	643261254.8	307539544.1	103425633.8	135936541.6	1551070133	1321918404	422604794.4	600850949.3	696804775.5	754754514.6	314879903.6	232127130.1	591000647.2	2245890367	2665047542	4051715228	646979729.4	1327719424	507845014	381549873.6	443137062.1	400116356.5	2300195643	2978836210	2019613018	1157248883	879382753.7	446381294.3	656238121.8	542346366.5	757854887.2	2987619276	4568917964	4703810898	745625430.9	1044251390	462562556.5	174247088.7	379923748.8	469048913.2	3211939769	1550156818	2806628251	888295515.3	856515767.1	145502838.6	623961824.5	686365774.8	3152656244	3647037074	3537224050	486326091.8	792926605.2	417369646.4	443393671.9	452649734.1	305938498.2	2339822116	2868726448	1749895539	1071797675	827977950.3	528854534.5	106337585.6	804825641.3	681014686.7	3915260431	1309196475	4516888372	828302234.4	955745951.8	557359990.9	342748932.3	190913592.6	628082986.4	2086501790	3388922254	3298104123
O75369	Filamin-B OS=Homo sapiens OX=9606 GN=FLNB PE=1 SV=2	FLNB	56	150	4239	142	2602	278	5.73	51325521.53	35158617.1	52294801.07	1138539563	417543390.2	575885593.5	183065841.1	121739119.8	41437719.27	83973369.28	103455311.8	57460837.48	1377087377	866952009.1	1795446931	244447368.9	199010487.2	282414786.5	82987538.68	135037223.8	49076498.03	1142306832	1275390513	1220108636	263531314.9	230291834	126162729.1	160742069.9	136502939.4	52818147.58	1856234984	1543600201	1875811666	370649660.3	428385906.9	319271146.8	119950129.3	262874462.7	49837306.36	565234117.1	1196092843	1425239868	460935454.5	223669269	231087412.2	92634643.97	77199963.93	452557511.9	1736522387	2006967148	246445976.7	265835858.5	281250377.9	73183092.38	113897727.3	59576938.06	1193851465	1451948621	839939085.5	227674396	225242419.8	148906987.5	220873613.2	235214650.9	75482251.99	213405132.6	2112412771	1663111272	598700802.7	228610377.9	403786422.6	145604027.5	154425120.6	70145106.63	1149673173	630117970.9	1715801207	264761231.1	263928170.9	304408521
P21333	Filamin-A OS=Homo sapiens OX=9606 GN=FLNA PE=1 SV=4	FLNA	53	140	4500	133	2647	280.6	6.06	140506882.3	81994753.39	94216240.95	796630739	342806538.9	497927015.9	268577924.6	164095330.1	62608803.5	178690658.3	114637559.3	95720781.77	1026356215	645296444.4	1565629797	356262290.5	354713279.8	387120448	150216611.9	260408022.2	82692814.54	875888981	1056060346	1056154510	437677912	360512439.5	196276707.4	257154486.6	148270095.2	84603471.27	1542580035	1223093184	1821746990	609885362.8	645786578.8	453212298.2	191012995.4	301553376.6	85567459.42	383959835.6	930838947.6	1266145926	665523870.6	365573660.1	334903176.4	123260949.3	90202963.21	359887069.3	1410770934	1791005082	350239971.4	394843167.4	409420471.7	102935269.3	192368797.5	99655668.81	942903755.9	1249776606	783579453.5	338900022.9	350217597.9	214144179.5	341388622.5	344784988.7	102454409.5	147650903.8	1678569943	1592481588	856767994.3	420397655.2	622514876.9	253815900.1	268204066.6	110040621	941073129.1	487830187.5	1476131930	343471462.8	467350113.4	490758645.8
P08670	Vimentin OS=Homo sapiens OX=9606 GN=VIM PE=1 SV=4	VIM	92	86	4106	82	466	53.6	5.12	2888498705	1954552588	3950022558	211751552.8	81853512.72	52007415.26	152098963.3	92770807.96	53634092.71	4973656877	7180989743	3897794863	46553940.85	94943334.47	100262262.7	91008812.48	130268608.2	141176754.3	4761484970	8058321400	3106254102	68092332.96	97387005.98	147118359.8	132747847.5	129729444.7	137824919.5	7344491259	7482882093	3019260194	68663194.9	193304117.6	207770089	116377837.8	161624660.4	180343520.5	5440401964	9119372990	2905310495	74098110.05	121774953.9	190667376.9	125839175.5	116934318.8	188396401.7	5658887063	6237701883	48586082.1	119369899.4	112065299.2	76841001.63	111867127.7	139456392	5136193087	5985017499	3494377591	57822001.34	105793526.2	124593294.9	120057187.7	136604872.4	155220191.2	8547888938	9325310542	3762872422	83997714.52	158376078.6	174329882.5	96048148.87	105329353.7	203266567.2	6121911339	8184913618	3754779526	63921416.94	279168711.2	142770429.1	86866575.86	149405952	121490909.5
P02545	Prelamin-A/C OS=Homo sapiens OX=9606 GN=LMNA PE=1 SV=1	LMNA	80	88	3101	86	664	74.1	7.02	563142632.4	416936428.2	563326756.6	31318082.05	8474071.295	9272470.404	278645914.9	247334579.2	72513795.61	894518082.7	1372617131	664917819.5	27973696.91	18744061.48	44093221.05	384460254.2	383516035.9	614969847.9	903980255.4	1614740656	495383721.7	29126997.58	25354917.98	33299985.23	523477533.3	443974226.5	343687748.6	1371654639	1242769149	560099016.5	29603909.7	32262603.2	41386413.18	432909186.9	689982905.5	613313563.8	1191496437	1688915372	523706557.5	10785601.97	22158905.47	29623059.48	457683433.9	438736050.3	471614359.9	1053478864	935183811.9	6986475.457	34480313.86	30658369.95	438044294.1	511840211.8	497057017	877052346	1384848019	675949976	27423166.74	26457411.61	15786820.64	322108362	350142684	375971689.9	1754574120	1587573733	706427267.5	4934684.548	38979677.59	44002560.7	552988213.4	345171520.4	694916957.3	1332174995	1703940613	693328686.3	18978339.67	18574438.74	39292291.49	350358648.1	437690031.3	396795684.3
P05787	"Keratin, type II cytoskeletal 8 OS=Homo sapiens OX=9606 GN=KRT8 PE=1 SV=7"	KRT8	75	69	4658	57	483	53.7	5.59	805067260.9	490412034.1	685111238.7	380238388	144579988.1	141177636.2	837598850.6	782437729.4	167246221.8	1948186441	2433479548	797200528.1	445326959.7	313531842	630918148	1287814952	1642379542	1509290119	1658234442	3037398413	496536238	414497331.9	586192022	415048892.4	2337054336	1603120454	618893064.7	2653610912	2183857583	504355586.2	697245158.4	727402935.5	783666262.8	3045180718	2535200772	1766760301	2167743190	3152664028	511017734.4	164476343.1	508073428.3	531741973.3	3108113704	2146691936	1395294535	2076465101	1453117119	161820544.4	770605393.6	840032434.8	1356792065	1992236323	1676010825	1488087389	1957779089	621535470.7	410123147.1	535892516.7	290566521.2	1478515482	1566847156	887273211.8	3375335787	3079686101	720935430.9	97226896.01	972708397.9	709698401	2364014556	1725380103	2456076875	2293947426	2919926995	738083322.8	351372522.4	235302124.3	785790516.1	2227346081	1283609255	2008387569
Q9NR30	Nucleolar RNA helicase 2 OS=Homo sapiens OX=9606 GN=DDX21 PE=1 SV=5	DDX21	63	73	2011	68	783	87.3	9.28	310267563.8	166920526.1	211656827.8	7348067.906	4868518.898	5984185.502	31569975.45	26860089.11	7261515.359	403603414.3	555429596.4	264190245.9	5746399.219	35505420.25	35537139.31	48783723.27	48901426.72	59963496.03	381504852.7	712339731.1	202304488.1	5906496.615	46800325.06	28418923.63	71103280.27	59386555.66	33602260.16	710522735.5	691562197.5	190610071.1	9752162.523	45761862.2	60326111.52	65971233.33	86426813.74	72928845.59	413042629	731999961.2	200947847.3	5396381.638	46441007.46	28800400.48	54694465.53	30729935.27	40797636.54	527546155	528687798.4	3393629.547	52126039.23	44741460.56	60822951.66	64715275.65	50364477.76	353234939.2	512879479.7	201976314.8	4284107.617	24548006.34	12107929.82	50201173.37	49762004.39	33961207	700132153.8	704574849.5	250814055.3	1281390.92	57159059.27	42012621.7	69782765.14	28813805.86	71778143.52	541279970.1	711887525.7	240320233.3	6355573.164	27258077.58	52929333.87	39309170.44	46972144.38	60003989.68
P60709	"Actin, cytoplasmic 1 OS=Homo sapiens OX=9606 GN=ACTB PE=1 SV=1"	ACTB	89	45	7702	17	375	41.7	5.48	1470641277	824146134.4	1352055321	4760193558	2363826106	2864697415	1039655102	822201154.1	330464268.3	2103043613	2376441491	1260253445	5646489207	4222967496	8432572271	1334672950	1327559876	1528334571	2098854153	3672931973	1023751919	4833406033	6658603565	5995377579	2200115198	1607588183	850778034.8	3250817430	3549693556	1073462027	7985335317	7151326400	9978249604	2447032804	3488496992	1755003270	2852664510	4280029375	989787488.7	2771624461	5606779027	7261453679	2444591890	1437301452	1257742918	2029274688	1984287567	2089703359	8460031102	10213450861	1527640238	1479520551	1531212806	2023333119	2855809586	1132683564	4422276448	6704824502	3513896890	1540200232	1534459738	926150789.8	4759629427	5392455116	1374146434	1179937581	9687399650	8570333381	3158878885	1704750541	2281666036	3193120075	4095399996	1368864865	4853370304	3456266520	8501194744	1850798466	1506552773	2060620340
P63261	"Actin, cytoplasmic 2 OS=Homo sapiens OX=9606 GN=ACTG1 PE=1 SV=1"	ACTG1	89	45	7702	17	375	41.8	5.48	1470641277	824146134.4	1352055321	4760193558	2363826106	2864697415	1039655102	822201154.1	330464268.3	2103043613	2376441491	1260253445	5646489207	4222967496	8432572271	1334672950	1327559876	1528334571	2098854153	3672931973	1023751919	4833406033	6658603565	5995377579	2200115198	1607588183	850778034.8	3250817430	3549693556	1073462027	7985335317	7151326400	9978249604	2447032804	3488496992	1755003270	2852664510	4280029375	989787488.7	2771624461	5606779027	7261453679	2444591890	1437301452	1257742918	2029274688	1984287567	2089703359	8460031102	10213450861	1527640238	1479520551	1531212806	2023333119	2855809586	1132683564	4422276448	6704824502	3513896890	1540200232	1534459738	926150789.8	4759629427	5392455116	1374146434	1179937581	9687399650	8570333381	3158878885	1704750541	2281666036	3193120075	4095399996	1368864865	4853370304	3456266520	8501194744	1850798466	1506552773	2060620340
