"gene_id","baseMean","log2FoldChange","lfcSE","pvalue","padj","GeneSymbol","Chromosome","Strand","Class","qvalue"
"ENSG00000253797",176.537236087821,12.0733740363768,3.23886840936406,7.17790479456497e-13,8.00336384593994e-09,"UTP14C","13:52024691-52033600","+","protein_coding",1.60942507772519e-09
"ENSG00000158055",89.851659292279,2.70465983983661,0.43862801343812,3.59710546785957e-11,2.00538629833171e-07,"GRHL3","1:24319322-24364482","+","protein_coding",4.03270307484377e-08
"ENSG00000078018",85.544725721641,2.03112540171439,0.417946675941847,6.87162328365999e-08,0.000130665822599413,"MAP2","2:209424058-209734118","+","protein_coding",2.25223353302627e-05
"ENSG00000131080",404.674327785558,1.67241256209228,0.33260035548177,3.52217566641578e-08,0.000130665822599413,"EDA2R","X:66595637-66639298","-","protein_coding",2.25223353302627e-05
"ENSG00000185246",481.016087288343,1.73875467422821,0.351444186152604,5.08881122008471e-08,0.000130665822599413,"PRPF39","14:45084099-45116282","+","protein_coding",2.25223353302627e-05
"ENSG00000257315",169.69575274305,1.81480092339901,0.371717891485684,7.03134471386977e-08,0.000130665822599413,"ZBED6","1:203795714-203854999","+","protein_coding",2.25223353302627e-05
"ENSG00000235609",110.653689267243,2.03111844116316,0.430188874775507,1.33787530682206e-07,0.000213104423872371,"AF127577.4","21:14818843-15014430","-","lncRNA",3.74971898362858e-05
"ENSG00000253537",61.4388598614722,1.77991680007366,0.406016240202764,7.83375113923583e-07,0.00109182906503099,"PCDHGA7","5:141382739-141512975","+","protein_coding",0.000195164279162338
"ENSG00000117569",265.375846913754,1.73357911075799,0.398934391507108,8.99032465734131e-07,0.0011138013325484,"PTBP2","1:96721665-96823738","+","protein_coding",0.00020158046636913
"ENSG00000105835",8817.53478032642,1.44314477428889,0.34803467882057,2.41190353916577e-06,0.00211648475903052,"NAMPT","7:106248298-106286326","-","protein_coding",0.000395210673500149
"ENSG00000145833",3473.32413619244,1.42527206070739,0.339892565041296,2.10803582327638e-06,0.00211648475903052,"DDX46","5:134758771-134855133","+","protein_coding",0.000393885334674658
"ENSG00000168079",519.058758675787,1.41343229402713,0.339139266535547,2.46765039169477e-06,0.00211648475903052,"SCARA5","8:27869883-27992673","-","protein_coding",0.000395210673500149
"ENSG00000261578",281.249092634649,1.5256770765277,0.363769739176442,1.99684071661106e-06,0.00211648475903052,"AP003119.3","11:76800364-76804555","+","lncRNA",0.000393885334674658
"ENSG00000026103",472.066145972692,1.54701106410637,0.37512716781003,2.67895002219381e-06,0.00213359233910436,"FAS","10:88990531-89017059","+","protein_coding",0.000400448271103275
"ENSG00000134186",952.585340021439,1.42243899563231,0.344359962921902,2.88308456609009e-06,0.00214309286079363,"PRPF38B","1:108692310-108702928","+","protein_coding",0.000404027074636501
"ENSG00000005108",709.888023718354,1.31590481500805,0.318390838097971,3.14272127839412e-06,0.00219008389088091,"THSD7A","7:11370365-11832198","-","protein_coding",0.000414505230451249
"ENSG00000196208",113.069065944923,1.55527089821183,0.394683951325902,5.64507843342815e-06,0.00370250732545435,"GREB1","2:11482341-11642788","+","protein_coding",0.000666176716972092
"ENSG00000145390",303.880007046803,1.23724230995867,0.316844345218182,8.84671222560891e-06,0.00548004673975218,"USP53","4:119212587-119295517","+","protein_coding",0.000991801989495177
"ENSG00000164220",836.039941946662,1.36142540795959,0.352933083860482,9.40250225633808e-06,0.00551778421885103,"F2RL2","5:76615482-76623413","-","protein_coding",0.0010039156442962
"ENSG00000008086",464.845979842883,1.28820708545393,0.335491952382296,1.08127116761742e-05,0.00574103500901631,"CDKL5","X:18425583-18653629","+","protein_coding",0.00105409525165783
"ENSG00000049130",446.938952493482,1.25082509545843,0.324184323319252,1.04642295310709e-05,0.00574103500901631,"KITLG","12:88492793-88580851","-","protein_coding",0.00105409525165783
"ENSG00000060656",635.122950966089,1.32919889635755,0.351297672706395,1.28620478971429e-05,0.00601908814490086,"PTPRU","1:29236516-29326813","+","protein_coding",0.00111729228535356
"ENSG00000067715",949.864937956803,1.29171723371119,0.340400197942483,1.29558847961992e-05,0.00601908814490086,"SYT1","12:78863993-79452008","+","protein_coding",0.00111729228535356
"ENSG00000196562",611.477165162438,1.32122758694139,0.348668400104966,1.27381108204018e-05,0.00601908814490086,"SULF2","20:47656348-47786616","-","protein_coding",0.00111729228535356
"ENSG00000177103",62.4898399496396,1.64319661866143,0.443933439800501,1.40032076557761e-05,0.00624543061447614,"DSCAML1","11:117427773-117817525","-","protein_coding",0.00116288517872876
"ENSG00000112972",2941.14287726595,1.27409972719635,0.340302420323668,1.59782320722138e-05,0.00685220336943015,"HMGCS1","5:43287470-43313512","-","protein_coding",0.001279510233673
"ENSG00000160201",433.846670819482,1.64916283777274,0.453554178522081,1.71890038340434e-05,0.00709842195368828,"U2AF1","21:43092956-43107587","-","protein_coding",0.00132900244826467
"ENSG00000117360",1598.1561405821,1.4013699822572,0.38262555418673,1.82573274006028e-05,0.00727032858988292,"PRPF3","1:150321479-150353233","+","protein_coding",0.00136454863509375
"ENSG00000251664",228.542631876027,1.18915881553294,0.320081733169317,1.98126900378661e-05,0.00761763772145541,"PCDHA12","5:140875302-141012347","+","protein_coding",0.00143302848055651
"ENSG00000163728",555.744695464736,1.35928737234504,0.373012726707765,2.14614346839848e-05,0.00797649989088103,"TTC14","3:180602163-180617828","+","protein_coding",0.00150377147705937
"ENSG00000135679",1687.36244007297,1.273315019767,0.348618683354962,2.27499006113327e-05,0.00818262554246323,"MDM2","12:68808177-68850686","+","protein_coding",0.00154574778994251
"ENSG00000170390",243.604196156133,1.25924281352729,0.348869683902122,2.70538181806847e-05,0.00942656477233233,"DCLK2","4:150078445-150257438","+","protein_coding",0.00178411448967263
"ENSG00000076685",3377.0661400322,1.21872321088388,0.336881169673285,2.81194468640814e-05,0.00950096462225781,"NT5C2","10:103088017-103193306","-","protein_coding",0.00180140680722164
"ENSG00000150627",65.0126441629812,1.44407712938318,0.408545183621245,3.00317636595189e-05,0.0098486519059893,"WDR17","4:176065834-176182818","+","protein_coding",0.00187047284321679
"ENSG00000107104",439.694277792365,1.14744635698883,0.320066247068493,3.39736335462222e-05,0.0108230289725822,"KANK1","9:470291-746106","+","protein_coding",0.00205879613543214
"ENSG00000182752",2857.05920092625,1.11377697417873,0.311432454573296,3.68859614664704e-05,0.0111873130835574,"PAPPA","9:116153791-116402321","+","protein_coding",0.00213432775651899
"ENSG00000196236",633.094414323949,1.2255084363037,0.346702506345789,3.71238192010425e-05,0.0111873130835574,"XPNPEP3","22:40857077-40932815","+","protein_coding",0.00213432775651899
"ENSG00000100767",191.270205256663,-1.51133535179664,0.441065843215663,3.90891973859082e-05,0.0114695934434967,"PAPLN","14:73237497-73274640","+","protein_coding",0.00219113851261535
"ENSG00000198074",81074.5868160081,1.35237636724521,0.392158810856225,4.51134735129628e-05,0.0128978264017829,"AKR1B10","7:134527567-134541412","+","protein_coding",0.00246714957790585
"ENSG00000091436",2332.97693097568,1.09131994056979,0.310780250118686,4.83837012166842e-05,0.0129433916909288,"MAP3K20","2:173075435-173268015","+","protein_coding",0.00249659487629862
"ENSG00000107796",215.732898120601,1.38602835416394,0.408758450067218,5.18549328336476e-05,0.0129433916909288,"ACTA2","10:88935074-88991339","-","protein_coding",0.00249659487629862
"ENSG00000130477",202.329817893672,1.27817393079647,0.373472466197824,5.21713600230623e-05,0.0129433916909288,"UNC13A","19:17601328-17688365","-","protein_coding",0.00249659487629862
"ENSG00000132326",230.167895489312,1.146000834084,0.329913957199444,5.10521671948766e-05,0.0129433916909288,"PER2","2:238244044-238290102","-","protein_coding",0.00249659487629862
"ENSG00000132718",143.802684814537,1.22205758263058,0.355911539640993,5.35156645043526e-05,0.0129433916909288,"SYT11","1:155859567-155885199","+","protein_coding",0.00249659487629862
"ENSG00000134815",893.462848305757,1.19797864753836,0.348389568158285,5.45595882936014e-05,0.0129433916909288,"DHX34","19:47349315-47382704","+","protein_coding",0.00249659487629862
"ENSG00000148798",1370.92481899594,1.24580388098898,0.360158560358126,4.80414027398502e-05,0.0129433916909288,"INA","10:103277138-103290346","+","protein_coding",0.00249659487629862
"ENSG00000159388",183.07413714011,1.31631194820256,0.387183235300964,5.38770396256407e-05,0.0129433916909288,"BTG2","1:203305491-203309602","+","protein_coding",0.00249659487629862
"ENSG00000023041",820.864861604076,1.19839425250727,0.349340568378115,5.61005356457587e-05,0.013031686926046,"ZDHHC6","10:112424428-112446917","-","protein_coding",0.00251576501851811
"ENSG00000100439",1535.88916781649,1.17041069272192,0.341175079029791,5.81216532767798e-05,0.0132256415109407,"ABHD4","14:22598237-22613215","+","protein_coding",0.00255529387342612
"ENSG00000134762",156.221460140793,1.36160355168888,0.40898512621314,6.57242336017008e-05,0.0140927923972878,"DSC3","18:30989365-31042815","-","protein_coding",0.0027290082036025
"ENSG00000137491",256.064981369738,1.34007577924966,0.40097124050343,6.47751247527004e-05,0.0140927923972878,"SLCO2B1","11:75100563-75206549","+","protein_coding",0.0027290082036025
"ENSG00000143512",857.275261459846,1.39432823101379,0.418614876006373,6.33750013491645e-05,0.0140927923972878,"HHIPL2","1:222522258-222548104","-","protein_coding",0.0027290082036025
"ENSG00000023909",4346.82640011455,1.13840859580863,0.336864143988657,7.31198918548343e-05,0.0145010660758821,"GCLM","1:93885199-93909456","-","protein_coding",0.00282046237853287
"ENSG00000071794",1419.14512063688,1.13263289919982,0.336282027995294,7.61621699563539e-05,0.0145010660758821,"HLTF","3:149030127-149086554","-","protein_coding",0.00282046237853287
"ENSG00000119946",1257.17637639455,1.12828084276537,0.332726256110873,7.08973664783882e-05,0.0145010660758821,"CNNM1","10:99329356-99394330","+","protein_coding",0.00282046237853287
"ENSG00000124762",1888.7853751556,1.21301813525154,0.363043368836879,7.58291212764309e-05,0.0145010660758821,"CDKN1A","6:36676460-36687339","+","protein_coding",0.00282046237853287
"ENSG00000156515",1597.02841543706,1.20277649591975,0.358282834367406,7.05152573185702e-05,0.0145010660758821,"HK1","10:69269984-69401884","+","protein_coding",0.00282046237853287
"ENSG00000174231",7355.49881581,1.14440710995264,0.338003260858609,7.20637910015315e-05,0.0145010660758821,"PRPF8","17:1650629-1684867","-","protein_coding",0.00282046237853287
"ENSG00000183098",432.411771014484,1.17580125241255,0.351266707534999,7.67320985181207e-05,0.0145010660758821,"GPC6","13:93226807-94408020","+","protein_coding",0.00282046237853287
"ENSG00000167131",87.8999922899166,1.5149076354963,0.473481206978314,8.79287840320943e-05,0.0163400990326308,"CCDC103","17:44899142-44905390","+","protein_coding",0.00316953360866361
"ENSG00000198718",230.121211846973,1.13306017543063,0.34201772911214,9.17457271504741e-05,0.0167699157004555,"TOGARAM1","14:44962190-45074431","+","protein_coding",0.00318085351008207
"ENSG00000125966",1649.72120451115,1.11201122137124,0.337927543097968,0.000102831702468295,0.0184931206858305,"MMP24","20:35226690-35276998","+","protein_coding",0.00349346310434454
"ENSG00000158555",410.752616685716,1.27465185240599,0.396103798097467,0.000105775382962922,0.0187205638101044,"GDPD5","11:75434640-75525941","-","protein_coding",0.00353983381898706
"ENSG00000134324",804.648410712455,1.10409384198025,0.336775176217714,0.000107708543897912,0.0187648478822144,"LPIN1","2:11677595-11827409","+","protein_coding",0.00354736346683291
"ENSG00000055163",632.553383522448,1.0945526695876,0.334049506287031,0.00010978970614694,0.0188331572852058,"CYFIP2","5:157266079-157395595","+","protein_coding",0.00354736346683291
"ENSG00000105778",1058.85544615328,1.0773801586453,0.329060628091114,0.0001139108558958,0.0189568066154951,"AVL9","7:32495426-32588726","+","protein_coding",0.00354736346683291
