"gene_id","baseMean","log2FoldChange","lfcSE","pvalue","padj","GeneSymbol","Chromosome","Strand","Class"
"ENSG00000264112",1575.66432604929,5.18661912602447,0.281411224422196,4.81671055633317e-77,8.71487440957361e-73,"AC015813.1","17:57989039-57994850","-","lncRNA"
"ENSG00000245532",29760.4741049222,4.70112799109045,0.260685340942434,8.97647986675632e-74,7.33148870942636e-70,"NEAT1","11:65422774-65445540","+","lncRNA"
"ENSG00000251562",16105.9435539488,5.460208981354,0.303025239133612,1.21563400919024e-73,7.33148870942636e-70,"MALAT1","11:65497688-65506516","+","lncRNA"
"ENSG00000261786",1289.01595363885,5.22507662924769,0.299057125348473,1.67213225211076e-69,7.56347220935999e-66,"AC006058.1","3:44117299-44122365","+","lncRNA"
"ENSG00000267519",1127.55900281089,4.44434815150968,0.278458813750629,1.76023470367397e-58,6.36958529871463e-55,"AC020916.1","19:13823880-13842928","-","lncRNA"
"ENSG00000167996",208481.128073735,-3.87011473067706,0.245460497310067,4.45818284306202e-57,1.34436503632535e-53,"FTH1","11:61959718-61967634","-","protein_coding"
"ENSG00000087086",313171.790935974,-3.77794800701946,0.244901504383799,9.40994920817081e-55,2.43220301462049e-51,"FTL","19:48965309-48966879","+","protein_coding"
"ENSG00000215252",2276.1672258432,4.36754384210626,0.285161011945491,5.03338948723116e-54,1.13836394990592e-50,"GOLGA8B","15:34525207-34588503","-","protein_coding"
"ENSG00000091136",5109.7539166436,3.60185626220381,0.244015241232061,2.60378300287268e-50,5.23447176344171e-47,"LAMB1","7:107923799-108003187","-","protein_coding"
"ENSG00000166598",14231.1041791409,3.31085515754052,0.226567807292815,2.90510047310216e-49,5.25619828598374e-46,"HSP90B1","12:103930107-103953645","+","protein_coding"
"ENSG00000173209",3009.20956213687,4.5996907463038,0.315842196463614,3.69884243512141e-49,5.57692968155431e-46,"AHSA2P","2:61177418-61191203","+","transcribed_unitary_pseudogene"
"ENSG00000232931",506.971775157409,5.79896294549026,0.397421659278005,3.65511409382611e-49,5.57692968155431e-46,"LINC00342","2:95807052-95835003","-","lncRNA"
"ENSG00000198695",3671.98040044955,3.66118824417622,0.255161696962167,1.09185299299534e-47,1.51960740017421e-44,"MT-ND6","MT:14149-14673","-","protein_coding"
"ENSG00000090863",2640.37394086406,3.48103910556982,0.243804752992173,2.97469409423414e-47,3.84436716049846e-44,"GLG1","16:74447427-74607144","-","protein_coding"
"ENSG00000235162",2164.69188398145,-3.41324408108758,0.239261057570751,3.25509162986956e-47,3.92629152394866e-44,"C12orf75","12:105235290-105396097","+","protein_coding"
"ENSG00000213903",734.24363758924,4.5667181876041,0.322729086436506,1.33824535903539e-46,1.51330458006421e-43,"LTB4R","14:24311450-24318036","+","protein_coding"
"ENSG00000277701",293.510834027044,5.26529390792854,0.375028129245758,1.61770967639649e-45,1.72171889264951e-42,"AC159540.2","2:97281356-97291849","+","lncRNA"
"ENSG00000204149",463.520541950653,4.97259888841791,0.35734002893691,3.35491299052309e-45,3.37224670764079e-42,"AGAP6","10:49988318-50010499","+","protein_coding"
"ENSG00000062716",10545.0848473776,3.55035709542108,0.255440812257612,6.26500353005994e-45,5.96593204575655e-42,"VMP1","17:59707192-59842255","+","protein_coding"
"ENSG00000114270",4417.39607719827,4.0883905105479,0.296580741370194,1.80064802483131e-44,1.62895623566365e-41,"COL7A1","3:48564073-48595267","-","protein_coding"
"ENSG00000138829",1057.30383452865,3.59950621571142,0.260644244921073,2.06730531143171e-44,1.78113119046352e-41,"FBN2","5:128257909-128659185","-","protein_coding"
"ENSG00000269929",245.94436776352,4.72493636089439,0.343002908848998,4.41463640278341e-44,3.63063711070729e-41,"AL158152.1","9:94166258-94200902","+","lncRNA"
"ENSG00000228526",429.34301689465,5.50335483701544,0.401876962312366,8.89994533835156e-44,7.00116134812151e-41,"MIR34AHG","1:9148011-9198906","-","lncRNA"
"ENSG00000083857",3406.22886135513,3.47261912640573,0.253303066463964,9.43093158103555e-44,7.10974354565318e-41,"FAT1","4:186587794-186726722","-","protein_coding"
"ENSG00000187498",461.478181653479,3.61043563060476,0.266553770190273,7.92752486738592e-43,5.73730829702454e-40,"COL4A1","13:110148963-110307157","-","protein_coding"
"ENSG00000134871",1576.65526982278,3.86525839784921,0.285548967097607,8.39110323114867e-43,5.8392396446605e-40,"COL4A2","13:110305812-110513209","+","protein_coding"
"ENSG00000167468",6474.83084403813,-3.49998296420194,0.258747587255758,9.99456175217545e-43,6.6974668808189e-40,"GPX4","19:1103926-1106791","+","protein_coding"
"ENSG00000172037",2101.40787512706,3.72446948449827,0.275753926090098,1.30580453324396e-42,8.43782907856536e-40,"LAMB2","3:49121114-49133118","-","protein_coding"
"ENSG00000188157",6539.48837772938,3.68401615505335,0.273202706331739,1.83118126777036e-42,1.14246767854376e-39,"AGRN","1:1020120-1056118","+","protein_coding"
"ENSG00000188933",1005.74585537957,4.5441206362752,0.338928437982826,4.04645644414672e-42,2.36169472399828e-39,"USP32P1","17:16786489-16804455","+","transcribed_unprocessed_pseudogene"
"ENSG00000214548",1191.99319609097,4.44440995855179,0.33164195388255,4.01600746996225e-42,2.36169472399828e-39,"MEG3","14:100779410-100861031","+","lncRNA"
"ENSG00000244879",2189.53732260929,3.38987349470264,0.253288519992309,7.72173399789046e-42,4.36591666324475e-39,"GABPB1-AS1","15:50354959-50372202","+","lncRNA"
