gene_id	GeneSymbol	Chromosome	Strand	Class
srRNA	srRNA	dm6_chrM:14131-14916	-	
trnV	trnV	dm6_chrM:14058-14130	-	
lrRNA	lrRNA	dm6_chrM:12735-14058	-	
trnL2	trnL2	dm6_chrM:12670-12734	-	
ND1	ND1	dm6_chrM:11721-12659	-	
trnS1	trnS1	dm6_chrM:11638-11703	+	
CYTB	CYTB	dm6_chrM:10499-11635	+	
ND6	ND6	dm6_chrM:9971-10495	+	
trnP	trnP	dm6_chrM:9904-9964	-	
trnT	trnT	dm6_chrM:9838-9903	+	
ND4L	ND4L	dm6_chrM:9545-9835	-	
ND4	ND4	dm6_chrM:8207-9545	-	
trnH	trnH	dm6_chrM:8141-8206	-	
ND5	ND5	dm6_chrM:6409-8125	-	
trnF	trnF	dm6_chrM:6344-6408	-	
trnE	trnE	dm6_chrM:6259-6325	+	
trnS2	trnS2	dm6_chrM:6191-6258	+	
trnN	trnN	dm6_chrM:6126-6190	+	
trnR	trnR	dm6_chrM:6062-6125	+	
trnA	trnA	dm6_chrM:5983-6047	+	
ND3	ND3	dm6_chrM:5608-5961	+	
trnG	trnG	dm6_chrM:5543-5607	+	
COX3	COX3	dm6_chrM:4736-5524	+	
ATP6	ATP6	dm6_chrM:4062-4736	+	
ATP8	ATP8	dm6_chrM:3907-4068	+	
trnD	trnD	dm6_chrM:3840-3906	+	
trnK	trnK	dm6_chrM:3768-3838	+	
COX2	COX2	dm6_chrM:3083-3767	+	
trnL1	trnL1	dm6_chrM:3012-3077	+	
COX1	COX1	dm6_chrM:1474-3009	+	
trnY	trnY	dm6_chrM:1403-1468	-	
trnC	trnC	dm6_chrM:1322-1383	-	
trnW	trnW	dm6_chrM:1264-1329	+	
ND2	ND2	dm6_chrM:240-1263	+	
trnM	trnM	dm6_chrM:171-239	+	
trnQ	trnQ	dm6_chrM:97-165	-	
trnI	trnI	dm6_chrM:1-65	+	
28SrRNA:CR45844	28SrRNA:CR45844	dm6_chrUn_CP007120v1:70955-74924	+	
2SrRNA:CR45843	2SrRNA:CR45843	dm6_chrUn_CP007120v1:70540-70569	+	
5.8SrRNA:CR45842	5.8SrRNA:CR45842	dm6_chrUn_CP007120v1:70389-70511	+	
mir-10404-2	mir-10404-2	dm6_chrUn_CP007120v1:70290-70358	+	
18SrRNA:CR45841	18SrRNA:CR45841	dm6_chrUn_CP007120v1:67668-69662	+	
pre-rRNA:CR45847	pre-rRNA:CR45847	dm6_chrUn_CP007120v1:66807-74924	+	
2SrRNA:CR45840	2SrRNA:CR45840	dm6_chrUn_CP007120v1:58805-58834	+	
5.8SrRNA:CR45839	5.8SrRNA:CR45839	dm6_chrUn_CP007120v1:58654-58776	+	
18SrRNA:CR45838	18SrRNA:CR45838	dm6_chrUn_CP007120v1:55965-57959	+	
pre-rRNA:CR45846	pre-rRNA:CR45846	dm6_chrUn_CP007120v1:55104-59294	+	
28SrRNA:CR45837	28SrRNA:CR45837	dm6_chrUn_CP007120v1:46771-49485	+	
2SrRNA:CR45836	2SrRNA:CR45836	dm6_chrUn_CP007120v1:46356-46385	+	
5.8SrRNA:CR45852	5.8SrRNA:CR45852	dm6_chrUn_CP007120v1:46205-46327	+	
mir-10404-1	mir-10404-1	dm6_chrUn_CP007120v1:46106-46174	+	
18SrRNA:CR41548	18SrRNA:CR41548	dm6_chrUn_CP007120v1:43484-45478	+	
pre-rRNA:CR45845	pre-rRNA:CR45845	dm6_chrUn_CP007120v1:42623-49485	+	
28SrRNA-Psi:CR45851	28SrRNA-Psi:CR45851	dm6_chrUn_CP007120v1:35941-38740	+	
28SrRNA-Psi:CR40596	28SrRNA-Psi:CR40596	dm6_chrUn_CP007120v1:16936-22940	+	
2SrRNA-Psi:CR45850	2SrRNA-Psi:CR45850	dm6_chrUn_CP007120v1:16526-16555	+	
5.8SrRNA-Psi:CR45849	5.8SrRNA-Psi:CR45849	dm6_chrUn_CP007120v1:16375-16497	+	
28SrRNA-Psi:CR45848	28SrRNA-Psi:CR45848	dm6_chrUn_CP007120v1:4492-5312	-	
klhl10	klhl10	dm6_chrUn_CP007081v1:56702-85431	+	
klhl10	klhl10	dm6_chrUn_CP007081v1:53442-85529	+	
Gpa2	Gpa2	dm6_chrUn_CP007081v1:3093-3557	-	
CR45934	CR45934	dm6_chrUn_DS483910v1:699-1770	+	
lncRNA:CR40947	lncRNA:CR40947	dm6_chrUn_DS484581v1:7-354	-	
CR45933	CR45933	dm6_chrUn_DS484898v1:1-740	-	
CG41561	CG41561	dm6_chrUn_DS483646v1:7386-9527	-	
CR45932	CR45932	dm6_chrUn_CP007102v1:11634-12709	-	
Su(Ste):CR42409	Su(Ste):CR42409	dm6_chrY_DS483875v1_random:2048-3374	-	
Su(Ste):CR42408	Su(Ste):CR42408	dm6_chrY_DS483875v1_random:1-1443	-	
Su(Ste):CR42411	Su(Ste):CR42411	dm6_chrY_DS483931v1_random:1230-2419	+	
Su(Ste):CR42406	Su(Ste):CR42406	dm6_chrY_DS483742v1_random:401-1054	+	
Su(Ste):CR42433	Su(Ste):CR42433	dm6_chrY_DS484909v1_random:1-1356	-	
lncRNA:CR40719	lncRNA:CR40719	dm6_chrY_DS485938v1_random:180-614	-	
Su(Ste):CR42439	Su(Ste):CR42439	dm6_chrY_DS485523v1_random:14-1118	-	
CG40635	CG40635	dm6_chrY_DS485423v1_random:562-879	-	
Mst77Y-16Psi	Mst77Y-16Psi	dm6_chrY_DS484530v1_random:528-1635	-	
Su(Ste):CR42418	Su(Ste):CR42418	dm6_chrY_DS484142v1_random:1551-2815	-	
CCY	CCY	dm6_chrY:3649996-3666928	+	
ORY	ORY	dm6_chrY:3561745-3618339	+	
Pp1-Y2	Pp1-Y2	dm6_chrY:3539437-3540722	-	
CR45780	CR45780	dm6_chrY:3376224-3376984	+	
CR45779	CR45779	dm6_chrY:3370887-3371602	+	
CR43176	CR43176	dm6_chrY:3364463-3365197	+	
CR45777	CR45777	dm6_chrY:3358571-3359286	+	
Mst77Y-13	Mst77Y-13	dm6_chrY:3354105-3354870	+	
CG45770	CG45770	dm6_chrY:3349651-3350374	+	
CR45776	CR45776	dm6_chrY:3345247-3345950	+	
CR45775	CR45775	dm6_chrY:3340824-3341546	+	
Mst77Y-9	Mst77Y-9	dm6_chrY:3336400-3337123	+	
Mst77Y-8Psi	Mst77Y-8Psi	dm6_chrY:3331980-3332699	+	
Mst77Y-7	Mst77Y-7	dm6_chrY:3327556-3328279	+	
CR45773	CR45773	dm6_chrY:3323143-3323855	+	
CR45772	CR45772	dm6_chrY:3318599-3319442	+	
CG45766	CG45766	dm6_chrY:3301827-3302701	+	
CR45771	CR45771	dm6_chrY:3297271-3298126	+	
CG45765	CG45765	dm6_chrY:3293606-3294480	+	
CG45764	CG45764	dm6_chrY:3289209-3290215	+	
Mst77Y-4	Mst77Y-4	dm6_chrY:3284939-3285868	+	
CR46152	CR46152	dm6_chrY:3272835-3273532	+	
CR40801	CR40801	dm6_chrY:3267088-3268196	-	
CR41423	CR41423	dm6_chrY:3265434-3266598	+	
CR46151	CR46151	dm6_chrY:3264145-3264418	+	
CG46193	CG46193	dm6_chrY:3263180-3263488	+	
CR46150	CR46150	dm6_chrY:3258406-3259223	+	
CG46192	CG46192	dm6_chrY:3252956-3253357	-	
CR46279	CR46279	dm6_chrY:3250355-3251252	-	
CR46190	CR46190	dm6_chrY:3242065-3242646	-	
CR46189	CR46189	dm6_chrY:3241623-3242076	+	
CR46188	CR46188	dm6_chrY:3236012-3237041	-	
CR46186	CR46186	dm6_chrY:3231310-3231723	+	
CR46185	CR46185	dm6_chrY:3229424-3230181	-	
CR46184	CR46184	dm6_chrY:3228674-3229392	+	
CR46183	CR46183	dm6_chrY:3218291-3218817	-	
CG46191	CG46191	dm6_chrY:3215547-3215855	-	
CR46182	CR46182	dm6_chrY:3212762-3213536	-	
CR40601	CR40601	dm6_chrY:3212119-3212805	+	
CR46181	CR46181	dm6_chrY:3205803-3205967	+	
CR46180	CR46180	dm6_chrY:3203881-3204640	-	
CR46179	CR46179	dm6_chrY:3203123-3203840	+	
CR46178	CR46178	dm6_chrY:3191215-3191491	-	
CR46177	CR46177	dm6_chrY:3188367-3188632	-	
CR46176	CR46176	dm6_chrY:3185709-3186398	-	
CR46175	CR46175	dm6_chrY:3185268-3185720	+	
CR46174	CR46174	dm6_chrY:3167772-3168037	-	
CR46173	CR46173	dm6_chrY:3165390-3166079	-	
CR46172	CR46172	dm6_chrY:3164949-3165401	+	
CR46171	CR46171	dm6_chrY:3137617-3138026	-	
CR46170	CR46170	dm6_chrY:3136899-3137576	+	
CR46169	CR46169	dm6_chrY:3134941-3135206	+	
CR46168	CR46168	dm6_chrY:3113685-3114094	-	
CR46167	CR46167	dm6_chrY:3113044-3113644	+	
CR46166	CR46166	dm6_chrY:3110839-3111104	+	
CR46165	CR46165	dm6_chrY:3093855-3094575	-	
CR46164	CR46164	dm6_chrY:3093052-3093817	+	
CR46163	CR46163	dm6_chrY:3091730-3091891	-	
CR46162	CR46162	dm6_chrY:3085424-3085676	-	
CR46160	CR46160	dm6_chrY:3084618-3085392	+	
CR46161	CR46161	dm6_chrY:3074924-3075180	+	
CR46159	CR46159	dm6_chrY:3071943-3072466	+	
CR46158	CR46158	dm6_chrY:3061391-3062109	-	
CR46187	CR46187	dm6_chrY:3060612-3061377	+	
CR46157	CR46157	dm6_chrY:3059061-3059480	-	
CR41504	CR41504	dm6_chrY:3050502-3051290	+	
CR41506	CR41506	dm6_chrY:3047606-3048886	+	
CR41509	CR41509	dm6_chrY:3041350-3042787	-	
CR41508	CR41508	dm6_chrY:3034052-3035310	-	
CR41507	CR41507	dm6_chrY:3026761-3028019	-	
CR42201	CR42201	dm6_chrY:3024149-3024385	-	
FDY	FDY	dm6_chrY:3022289-3024026	+	
FDY	FDY	dm6_chrY:3022289-3024026	+	
Su(Ste):CR42424	Su(Ste):CR42424	dm6_chrY:2593622-2595311	+	
Su(Ste):CR42431	Su(Ste):CR42431	dm6_chrY:2562678-2563924	+	
Su(Ste):CR42429	Su(Ste):CR42429	dm6_chrY:2559809-2561503	+	
CR45948	CR45948	dm6_chrY:2482594-2483518	+	
WDY	WDY	dm6_chrY:2273422-2487777	+	
CR45931	CR45931	dm6_chrY:2266650-2267259	-	
CR40441	CR40441	dm6_chrY:1883796-1883972	-	
Ppr-Y	Ppr-Y	dm6_chrY:1636574-1884846	+	
lncRNA:CR40629	lncRNA:CR40629	dm6_chrY:1122988-1123872	+	
Su(Ste):CR45796	Su(Ste):CR45796	dm6_chrY:1039234-1040412	-	
Su(Ste):CR42417	Su(Ste):CR42417	dm6_chrY:1037852-1038828	+	
Su(Ste):CR42416	Su(Ste):CR42416	dm6_chrY:1035827-1036823	+	
Su(Ste):CR42425	Su(Ste):CR42425	dm6_chrY:1033831-1035493	+	
Su(Ste):CR42415	Su(Ste):CR42415	dm6_chrY:1032220-1032946	-	
Su(Ste):CR42414	Su(Ste):CR42414	dm6_chrY:1029772-1031619	-	
Su(Ste):CR42410	Su(Ste):CR42410	dm6_chrY:1016352-1017835	-	
Su(Ste):CR42444	Su(Ste):CR42444	dm6_chrY:1007917-1009359	+	
Su(Ste):CR45794	Su(Ste):CR45794	dm6_chrY:1005991-1007312	+	
Su(Ste):CR45795	Su(Ste):CR45795	dm6_chrY:1003209-1004639	-	
Su(Ste):CR42438	Su(Ste):CR42438	dm6_chrY:1000076-1001264	-	
Su(Ste):CR42412	Su(Ste):CR42412	dm6_chrY:984514-985930	+	
Su(Ste):CR42432	Su(Ste):CR42432	dm6_chrY:979530-980284	-	
Su(Ste):CR40820	Su(Ste):CR40820	dm6_chrY:953256-954313	-	
Su(Ste):CR42428	Su(Ste):CR42428	dm6_chrY:941169-942020	+	
Su(Ste):CR42427	Su(Ste):CR42427	dm6_chrY:939936-940435	+	
Su(Ste):CR42426	Su(Ste):CR42426	dm6_chrY:934058-935745	-	
Su(Ste):CR42430	Su(Ste):CR42430	dm6_chrY:916438-917820	-	
Su(Ste):CR42421	Su(Ste):CR42421	dm6_chrY:906805-907496	-	
Su(Ste):CR42420	Su(Ste):CR42420	dm6_chrY:904859-905678	-	
Su(Ste):CR42419	Su(Ste):CR42419	dm6_chrY:903088-904499	-	
Su(Ste):CR41533	Su(Ste):CR41533	dm6_chrY:896183-897725	-	
Su(Ste):CR42407	Su(Ste):CR42407	dm6_chrY:892743-894201	-	
Su(Ste):CR42422	Su(Ste):CR42422	dm6_chrY:869892-871230	-	
ARY	ARY	dm6_chrY:702430-704048	+	
ARY	ARY	dm6_chrY:702430-704048	+	
kl-2	kl-2	dm6_chrY:573088-664173	+	
CR45947	CR45947	dm6_chrY:346620-347145	-	
kl-3	kl-3	dm6_chrY:336381-563165	+	
CR45946	CR45946	dm6_chrY:335386-335911	-	
PRY	PRY	dm6_chrY:146092-192020	-	
kl-5	kl-5	dm6_chrY:22250-137486	-	
Pp1-Y1	Pp1-Y1	dm6_chrY:9833-10786	+	
Cadps	Cadps	dm6_chr4:1231883-1271759	+	
Cadps	Cadps	dm6_chr4:1231883-1271759	+	
Cadps	Cadps	dm6_chr4:1231883-1271759	+	
Cadps	Cadps	dm6_chr4:1231883-1271759	+	
Cadps	Cadps	dm6_chr4:1230837-1271759	+	
Dyrk3	Dyrk3	dm6_chr4:1225737-1230713	-	
Dyrk3	Dyrk3	dm6_chr4:1225737-1230713	-	
Dyrk3	Dyrk3	dm6_chr4:1225089-1230713	-	
Mitf	Mitf	dm6_chr4:1219040-1223450	+	
Mitf	Mitf	dm6_chr4:1198858-1223450	+	
Mitf	Mitf	dm6_chr4:1198858-1224467	+	
Mitf	Mitf	dm6_chr4:1198852-1224467	+	
PIP4K	PIP4K	dm6_chr4:1192419-1196848	-	
PIP4K	PIP4K	dm6_chr4:1192419-1196848	-	
CG33521	CG33521	dm6_chr4:1186115-1192985	+	
CG33521	CG33521	dm6_chr4:1185768-1192537	+	
CG33521	CG33521	dm6_chr4:1185768-1192537	+	
CG33521	CG33521	dm6_chr4:1185768-1192694	+	
pho	pho	dm6_chr4:1172469-1181628	-	
pho	pho	dm6_chr4:1172469-1181628	-	
Kif3C	Kif3C	dm6_chr4:1147466-1169239	+	
CG32017	CG32017	dm6_chr4:1137830-1146121	-	
CG32017	CG32017	dm6_chr4:1137830-1146529	-	
CG32017	CG32017	dm6_chr4:1137830-1162158	-	
CG11155	CG11155	dm6_chr4:1126602-1135094	+	
CG11155	CG11155	dm6_chr4:1126602-1135914	+	
CG11155	CG11155	dm6_chr4:1126602-1137919	+	
Arf102F	Arf102F	dm6_chr4:1124167-1125113	+	
Arf102F	Arf102F	dm6_chr4:1124167-1125325	+	
Cals	Cals	dm6_chr4:1115255-1123357	-	
Cals	Cals	dm6_chr4:1115255-1123357	-	
Cals	Cals	dm6_chr4:1115079-1122965	-	
Cals	Cals	dm6_chr4:1112874-1122965	-	
sv	sv	dm6_chr4:1098525-1113317	+	
sv	sv	dm6_chr4:1088798-1110974	+	
sv	sv	dm6_chr4:1088798-1110974	+	
sv	sv	dm6_chr4:1088798-1113317	+	
sv	sv	dm6_chr4:1088798-1113317	+	
sv	sv	dm6_chr4:1088798-1113317	+	
sv	sv	dm6_chr4:1088798-1113317	+	
Actbeta	Actbeta	dm6_chr4:1077331-1084796	-	
apolpp	apolpp	dm6_chr4:1064906-1076204	+	
apolpp	apolpp	dm6_chr4:1064906-1077273	+	
apolpp	apolpp	dm6_chr4:1062678-1076204	+	
apolpp	apolpp	dm6_chr4:1060969-1076204	+	
Zyx	Zyx	dm6_chr4:1057365-1060918	-	
Zyx	Zyx	dm6_chr4:1057365-1060918	-	
Zyx	Zyx	dm6_chr4:1057365-1060918	-	
Zyx	Zyx	dm6_chr4:1057365-1065001	-	
Zyx	Zyx	dm6_chr4:1057365-1065001	-	
CaMKII	CaMKII	dm6_chr4:1037155-1051378	-	
CaMKII	CaMKII	dm6_chr4:1037155-1051378	-	
CaMKII	CaMKII	dm6_chr4:1035288-1051378	-	
CaMKII	CaMKII	dm6_chr4:1035288-1051378	-	
CaMKII	CaMKII	dm6_chr4:1035288-1051378	-	
CaMKII	CaMKII	dm6_chr4:1035288-1053703	-	
CaMKII	CaMKII	dm6_chr4:1035288-1053703	-	
CaMKII	CaMKII	dm6_chr4:1035288-1053703	-	
CaMKII	CaMKII	dm6_chr4:1035288-1053703	-	
CaMKII	CaMKII	dm6_chr4:1035288-1053703	-	
CaMKII	CaMKII	dm6_chr4:1035288-1053703	-	
CaMKII	CaMKII	dm6_chr4:1035288-1053703	-	
ATPsynbeta	ATPsynbeta	dm6_chr4:1031864-1034557	+	
ATPsynbeta	ATPsynbeta	dm6_chr4:1031864-1034917	+	
ATPsynbeta	ATPsynbeta	dm6_chr4:1031484-1034557	+	
CG11076	CG11076	dm6_chr4:1029711-1030975	-	
CG11076	CG11076	dm6_chr4:1029711-1031676	-	
CG11076	CG11076	dm6_chr4:1029711-1031757	-	
CG11077	CG11077	dm6_chr4:1028675-1029361	-	
asRNA:CR44031	asRNA:CR44031	dm6_chr4:1028281-1029359	+	
asRNA:CR44031	asRNA:CR44031	dm6_chr4:1027863-1029359	+	
PlexA	PlexA	dm6_chr4:1013633-1027101	-	
PlexA	PlexA	dm6_chr4:1013404-1027101	-	
PlexA	PlexA	dm6_chr4:1013404-1027101	-	
PlexA	PlexA	dm6_chr4:1009895-1027101	-	
toy	toy	dm6_chr4:989725-1006288	+	
toy	toy	dm6_chr4:989725-1007922	+	
toy	toy	dm6_chr4:989725-1007922	+	
lncRNA:sphinx	lncRNA:sphinx	dm6_chr4:976795-977261	+	
lncRNA:sphinx	lncRNA:sphinx	dm6_chr4:975168-975810	+	
lncRNA:sphinx	lncRNA:sphinx	dm6_chr4:975168-977261	+	
lncRNA:sphinx	lncRNA:sphinx	dm6_chr4:975168-977261	+	
fuss	fuss	dm6_chr4:962341-969374	-	
fuss	fuss	dm6_chr4:962341-976035	-	
fuss	fuss	dm6_chr4:962341-978489	-	
asRNA:CR44030	asRNA:CR44030	dm6_chr4:959675-962692	+	
asRNA:CR44030	asRNA:CR44030	dm6_chr4:959675-962692	+	
asRNA:CR44030	asRNA:CR44030	dm6_chr4:959675-962692	+	
lncRNA:CR45201	lncRNA:CR45201	dm6_chr4:959224-959434	-	
4E-T	4E-T	dm6_chr4:951542-958170	-	
4E-T	4E-T	dm6_chr4:951542-958392	-	
4E-T	4E-T	dm6_chr4:951542-958392	-	
4E-T	4E-T	dm6_chr4:951542-958392	-	
mGluR	mGluR	dm6_chr4:936819-944486	+	
mGluR	mGluR	dm6_chr4:936819-946825	+	
mGluR	mGluR	dm6_chr4:936819-946825	+	
mGluR	mGluR	dm6_chr4:936819-949441	+	
eIF4G1	eIF4G1	dm6_chr4:915297-930715	-	
eIF4G1	eIF4G1	dm6_chr4:915297-930715	-	
eIF4G1	eIF4G1	dm6_chr4:915297-930715	-	
CR43361	CR43361	dm6_chr4:905179-907924	+	
asRNA:CR44029	asRNA:CR44029	dm6_chr4:881471-883402	+	
asRNA:CR44029	asRNA:CR44029	dm6_chr4:879374-884752	+	
asRNA:CR43425	asRNA:CR43425	dm6_chr4:867824-871426	+	
unc-13	unc-13	dm6_chr4:870930-893565	-	
unc-13	unc-13	dm6_chr4:870930-893565	-	
unc-13	unc-13	dm6_chr4:870930-904821	-	
unc-13	unc-13	dm6_chr4:870930-904821	-	
unc-13	unc-13	dm6_chr4:870930-904821	-	
unc-13	unc-13	dm6_chr4:870930-912331	-	
unc-13	unc-13	dm6_chr4:867824-904026	-	
Gyf	Gyf	dm6_chr4:855400-867025	-	
Gyf	Gyf	dm6_chr4:855400-867025	-	
Gyf	Gyf	dm6_chr4:855400-867025	-	
Gyf	Gyf	dm6_chr4:853557-867025	-	
lncRNA:CR45123	lncRNA:CR45123	dm6_chr4:851174-851624	+	
CR33797	CR33797	dm6_chr4:843274-843973	+	
fd102C	fd102C	dm6_chr4:836986-844529	-	
Sox102F	Sox102F	dm6_chr4:800436-804080	-	
Sox102F	Sox102F	dm6_chr4:800436-807347	-	
Sox102F	Sox102F	dm6_chr4:800436-807347	-	
Sox102F	Sox102F	dm6_chr4:800436-834393	-	
MED26	MED26	dm6_chr4:778516-787614	-	
MED26	MED26	dm6_chr4:778516-788978	-	
lncRNA:CR45200	lncRNA:CR45200	dm6_chr4:776475-777146	-	
bt	bt	dm6_chr4:725658-776081	+	
bt	bt	dm6_chr4:725356-776081	+	
bt	bt	dm6_chr4:724400-776081	+	
bt	bt	dm6_chr4:724400-776081	+	
bt	bt	dm6_chr4:724400-776474	+	
ey	ey	dm6_chr4:707429-721173	+	
ey	ey	dm6_chr4:704651-721173	+	
ey	ey	dm6_chr4:704651-721173	+	
ey	ey	dm6_chr4:697689-721173	+	
myo	myo	dm6_chr4:691601-696055	-	
myo	myo	dm6_chr4:691278-696055	-	
myo	myo	dm6_chr4:690686-696055	-	
CG11360	CG11360	dm6_chr4:680593-689595	+	
CG11360	CG11360	dm6_chr4:680270-687565	+	
CG11360	CG11360	dm6_chr4:671142-687565	+	
CG11360	CG11360	dm6_chr4:671142-690650	+	
Slip1	Slip1	dm6_chr4:663621-669884	+	
Slip1	Slip1	dm6_chr4:663621-669884	+	
Slip1	Slip1	dm6_chr4:663621-669884	+	
CG46466	CG46466	dm6_chr4:661009-662831	-	
CG46466	CG46466	dm6_chr4:661009-663124	-	
CG46466	CG46466	dm6_chr4:661009-663124	-	
gw	gw	dm6_chr4:649971-659983	-	
gw	gw	dm6_chr4:649971-659983	-	
gw	gw	dm6_chr4:649971-659983	-	
gw	gw	dm6_chr4:649971-660608	-	
gw	gw	dm6_chr4:649041-660608	-	
CR44028	CR44028	dm6_chr4:637333-637787	+	
Ekar	Ekar	dm6_chr4:636131-646556	-	
Ekar	Ekar	dm6_chr4:636131-646556	-	
Ekar	Ekar	dm6_chr4:636131-646556	-	
Gat	Gat	dm6_chr4:629693-635350	+	
Gat	Gat	dm6_chr4:629691-635350	+	
mir-954	mir-954	dm6_chr4:626126-626212	+	
mav	mav	dm6_chr4:623219-626031	-	
Eph	Eph	dm6_chr4:610684-620351	+	
Eph	Eph	dm6_chr4:610684-620734	+	
Eph	Eph	dm6_chr4:610684-620926	+	
Eph	Eph	dm6_chr4:610684-620926	+	
Eph	Eph	dm6_chr4:610684-620926	+	
Eph	Eph	dm6_chr4:610684-622470	+	
onecut	onecut	dm6_chr4:598555-607649	-	
onecut	onecut	dm6_chr4:598555-607649	-	
lncRNA:CR45199	lncRNA:CR45199	dm6_chr4:597624-598274	-	
CG1909	CG1909	dm6_chr4:583108-589348	+	
CG1909	CG1909	dm6_chr4:583108-589348	+	
Ephrin	Ephrin	dm6_chr4:571755-578143	+	
Ephrin	Ephrin	dm6_chr4:571755-578143	+	
Ephrin	Ephrin	dm6_chr4:571755-580122	+	
ND-49	ND-49	dm6_chr4:568296-570790	-	
ND-49	ND-49	dm6_chr4:568296-571554	-	
Pur-alpha	Pur-alpha	dm6_chr4:559664-567257	+	
Pur-alpha	Pur-alpha	dm6_chr4:558223-565931	+	
Pur-alpha	Pur-alpha	dm6_chr4:558223-565931	+	
Pur-alpha	Pur-alpha	dm6_chr4:558223-567257	+	
Pur-alpha	Pur-alpha	dm6_chr4:558223-567257	+	
Pur-alpha	Pur-alpha	dm6_chr4:558016-565931	+	
Pur-alpha	Pur-alpha	dm6_chr4:558016-565931	+	
lncRNA:CR43958	lncRNA:CR43958	dm6_chr4:557025-557854	-	
Thd1	Thd1	dm6_chr4:545268-557854	-	
Thd1	Thd1	dm6_chr4:540560-557854	-	
Thd1	Thd1	dm6_chr4:538332-557854	-	
zfh2	zfh2	dm6_chr4:501810-538373	+	
zfh2	zfh2	dm6_chr4:501810-539792	+	
zfh2	zfh2	dm6_chr4:501810-540874	+	
Asator	Asator	dm6_chr4:472895-481970	-	
Asator	Asator	dm6_chr4:472895-481970	-	
Asator	Asator	dm6_chr4:472895-483803	-	
Asator	Asator	dm6_chr4:472895-486033	-	
Asator	Asator	dm6_chr4:472895-488994	-	
Asator	Asator	dm6_chr4:471286-481970	-	
Asator	Asator	dm6_chr4:471286-482720	-	
Asator	Asator	dm6_chr4:471286-483803	-	
Asator	Asator	dm6_chr4:469409-486033	-	
CG33941	CG33941	dm6_chr4:467497-471476	+	
bip2	bip2	dm6_chr4:459887-466828	-	
asRNA:CR45126	asRNA:CR45126	dm6_chr4:459768-461413	+	
CaMKI	CaMKI	dm6_chr4:446578-453947	+	
CaMKI	CaMKI	dm6_chr4:446093-453947	+	
CaMKI	CaMKI	dm6_chr4:446093-453947	+	
CaMKI	CaMKI	dm6_chr4:445504-453947	+	
CaMKI	CaMKI	dm6_chr4:445504-453947	+	
lgs	lgs	dm6_chr4:436957-443911	-	
lncRNA:CR44024	lncRNA:CR44024	dm6_chr4:427331-431769	+	
lncRNA:CR43437	lncRNA:CR43437	dm6_chr4:426067-426601	+	
mir-9385	mir-9385	dm6_chr4:400703-400765	-	
asRNA:CR44027	asRNA:CR44027	dm6_chr4:395396-395954	+	
lncRNA:CR45125	lncRNA:CR45125	dm6_chr4:380724-381275	+	
dati	dati	dm6_chr4:375640-388322	-	
dati	dati	dm6_chr4:375640-393410	-	
dati	dati	dm6_chr4:375640-393410	-	
dati	dati	dm6_chr4:375640-395605	-	
Hcf	Hcf	dm6_chr4:359938-372784	+	
Hcf	Hcf	dm6_chr4:359938-372784	+	
Hcf	Hcf	dm6_chr4:359938-372784	+	
Hcf	Hcf	dm6_chr4:359938-374973	+	
Hcf	Hcf	dm6_chr4:359938-375554	+	
PMCA	PMCA	dm6_chr4:334670-358657	-	
PMCA	PMCA	dm6_chr4:330856-358657	-	
PMCA	PMCA	dm6_chr4:329517-358657	-	
PMCA	PMCA	dm6_chr4:328816-358657	-	
PMCA	PMCA	dm6_chr4:328816-358657	-	
PMCA	PMCA	dm6_chr4:328816-358657	-	
PMCA	PMCA	dm6_chr4:328816-358657	-	
PMCA	PMCA	dm6_chr4:328816-358657	-	
PMCA	PMCA	dm6_chr4:328816-358657	-	
PMCA	PMCA	dm6_chr4:328816-358917	-	
PMCA	PMCA	dm6_chr4:328193-358657	-	
CG32850	CG32850	dm6_chr4:314923-321385	+	
CG32850	CG32850	dm6_chr4:314923-331387	+	
Zip102B	Zip102B	dm6_chr4:310930-313913	-	
Zip102B	Zip102B	dm6_chr4:310930-313913	-	
Zip102B	Zip102B	dm6_chr4:310930-314087	-	
Zip102B	Zip102B	dm6_chr4:310930-314087	-	
Rad23	Rad23	dm6_chr4:308093-310302	+	
Rad23	Rad23	dm6_chr4:308093-310302	+	
Rad23	Rad23	dm6_chr4:308093-310822	+	
Syt7	Syt7	dm6_chr4:278685-305818	-	
Syt7	Syt7	dm6_chr4:278685-305818	-	
Syt7	Syt7	dm6_chr4:278685-305818	-	
Syt7	Syt7	dm6_chr4:278685-306161	-	
Syt7	Syt7	dm6_chr4:278685-306481	-	
lncRNA:CR44023	lncRNA:CR44023	dm6_chr4:276523-278174	+	
NfI	NfI	dm6_chr4:268314-276369	-	
NfI	NfI	dm6_chr4:268175-276369	-	
RhoGAP102A	RhoGAP102A	dm6_chr4:254997-262519	+	
RhoGAP102A	RhoGAP102A	dm6_chr4:254997-262667	+	
RhoGAP102A	RhoGAP102A	dm6_chr4:254997-265075	+	
RhoGAP102A	RhoGAP102A	dm6_chr4:254997-265574	+	
dpr7	dpr7	dm6_chr4:247124-253329	-	
dpr7	dpr7	dm6_chr4:247124-253329	-	
