"gene_id","baseMean","log2FoldChange","lfcSE","pvalue","padj","GeneSymbol","Chromosome","Strand","Class"
"ENSG00000264112",1575.66432604929,5.18670661588977,0.281192710043648,3.67753199970998e-77,7.27562930822623e-73,"AC015813.1","17:57989039-57994850","-","lncRNA"
"ENSG00000245532",29760.4741049222,4.7011640318705,0.260381734278878,6.08570672705694e-74,5.81497518650828e-70,"NEAT1","11:65422774-65445540","+","lncRNA"
"ENSG00000251562",16105.9435539488,5.46086360678911,0.30271865760573,8.81769387359727e-74,5.81497518650828e-70,"MALAT1","11:65497688-65506516","+","lncRNA"
"ENSG00000261786",1289.01595363885,5.22495454459378,0.298859512943051,1.37270999739613e-69,6.78942364712124e-66,"AC006058.1","3:44117299-44122365","+","lncRNA"
"ENSG00000267519",1127.55900281089,4.44457815717717,0.278258581645523,1.46002540528431e-58,5.77702852362896e-55,"AC020916.1","19:13823880-13842928","-","lncRNA"
"ENSG00000167996",208481.128073735,-3.87018832595856,0.245142647708118,3.20992233436593e-57,1.05841839105159e-53,"FTH1","11:61959718-61967634","-","protein_coding"
"ENSG00000087086",313171.790935974,-3.77802331063678,0.244583072760883,6.8613059163168e-55,1.93920108926302e-51,"FTL","19:48965309-48966879","+","protein_coding"
"ENSG00000215252",2276.1672258432,4.36761087135189,0.28491910537514,4.10971510023698e-54,1.01633254428861e-50,"GOLGA8B","15:34525207-34588503","-","protein_coding"
"ENSG00000091136",5109.7539166436,3.60192705141294,0.243722633710879,1.99414847323517e-50,4.38358148827607e-47,"LAMB1","7:107923799-108003187","-","protein_coding"
"ENSG00000166598",14231.1041791409,3.3111410823632,0.226539558848148,2.12977361587955e-49,4.2135441216561e-46,"HSP90B1","12:103930107-103953645","+","protein_coding"
"ENSG00000173209",3009.20956213687,4.59793763403223,0.315447568883882,3.11048573557654e-49,5.59434998114967e-46,"AHSA2P","2:61177418-61191203","+","transcribed_unitary_pseudogene"
"ENSG00000232931",506.971775157409,5.79897203159619,0.397379693499145,3.57297267757421e-49,5.89064095442735e-46,"LINC00342","2:95807052-95835003","-","lncRNA"
