"gene_id","baseMean","log2FoldChange","lfcSE","pvalue","padj","GeneSymbol","Chromosome","Strand","Class"
"ENSG00000103154",286.291326254132,2.01085186145383,0.311057327526271,6.8363561252339e-12,1.03276831983909e-07,"NECAB2","16:83968632-84002776","+","protein_coding"
"ENSG00000105605",1139.63975178705,1.78106683578856,0.279414685797185,1.37899145377838e-11,1.0416211946115e-07,"CACNG7","19:53909335-53943941","+","protein_coding"
"ENSG00000161509",100.226354011828,2.54866820479279,0.41183685595917,3.43588153353191e-11,1.73019541090222e-07,"GRIN2C","17:74842023-74861504","-","protein_coding"
"ENSG00000011275",2357.22160705513,1.6470750974025,0.26825458478965,5.94912372820025e-11,2.24683530404803e-07,"RNF216","7:5620047-5781739","-","protein_coding"
"ENSG00000244165",341.816044671235,1.9207371967615,0.318867076936881,1.18420326827e-10,3.57795175475097e-07,"P2RY11","19:10111693-10115372","+","protein_coding"
"ENSG00000126562",293.932052780126,2.10748663429798,0.353099954074651,1.50952117675065e-10,3.80072273619534e-07,"WNK4","17:42780610-42797066","+","protein_coding"
"ENSG00000078018",164.505644260075,2.20387884114445,0.375659713016923,2.6796559127448e-10,5.49365564618628e-07,"MAP2","2:209424058-209734118","+","protein_coding"
"ENSG00000096968",449.832532876982,1.69583746532085,0.287780333418676,2.90919740315683e-10,5.49365564618628e-07,"JAK2","9:4984390-5128183","+","protein_coding"
"ENSG00000111641",5569.71182969652,1.53646335132962,0.26163256325109,3.9146321969777e-10,6.57092762219357e-07,"NOP2","12:6556863-6568691","-","protein_coding"
"ENSG00000253741",132.797543781129,1.95657585566443,0.339820264013879,5.65615000936806e-10,8.54474581915234e-07,"LNCOC1","8:142701857-142727016","-","lncRNA"
"ENSG00000135679",4078.39363858272,1.52903384303974,0.265390047403046,7.24723889679237e-10,9.95309436489476e-07,"MDM2","12:68808177-68850686","+","protein_coding"
"ENSG00000163320",2857.37976810578,1.76821182028781,0.315891690605552,1.66326049758993e-09,2.07860630234194e-06,"CGGBP1","3:88051944-88149885","-","protein_coding"
"ENSG00000169087",389.212765694177,1.55506178388586,0.278360283756612,1.92629166828537e-09,2.07860630234194e-06,"HSPBAP1","3:122739999-122793831","-","protein_coding"
"ENSG00000285589",657.198429523666,1.477793177948,0.263871756187868,1.88609592086916e-09,2.07860630234194e-06,"AC010422.8","19:12668071-12681834","-","protein_coding"
"ENSG00000182208",772.873849230653,1.46093391280274,0.270317351636403,5.39138404532928e-09,5.42984258485262e-06,"MOB2","11:1469457-1501247","-","protein_coding"
"ENSG00000164329",1466.48540428511,1.47111294307436,0.280598390411451,1.38509679945374e-08,1.30779108433423e-05,"TENT2","5:79612120-79686648","+","protein_coding"
"ENSG00000116138",986.703959751545,1.44193843410053,0.277570420650217,1.82858438060053e-08,1.6249661316313e-05,"DNAJC16","1:15526813-15592379","+","protein_coding"
"ENSG00000223546",132.294946824584,1.66558648583439,0.323328077921374,1.95188682058377e-08,1.63817523325328e-05,"LINC00630","X:102769158-102885406","+","lncRNA"
"ENSG00000134574",2324.46672196558,1.3942223542666,0.270429216181028,2.23147352034226e-08,1.68554352359052e-05,"DDB2","11:47214465-47239240","+","protein_coding"
"ENSG00000278233",142.836439573651,11.5845565901926,3.49100568962433,2.21620131347779e-08,1.68554352359052e-05,"RNA5-8SN2","21:8212572-8212724","+","rRNA"
