"gene_id","baseMean","log2FoldChange","lfcSE","pvalue","padj","GeneSymbol","Chromosome","Strand","Class","qvalue"
"ENSG00000223764",64.1904124971858,-3.30538453800854,0.447014963191708,6.64729246414111e-15,9.14468024291893e-11,"LINC02593","1:916865-921016","-","lncRNA",9.01506582556954e-11
"ENSG00000185246",709.308408741082,1.67882995919327,0.302185810337343,1.25746879225009e-09,5.76633272499481e-06,"PRPF39","14:45084099-45116282","+","protein_coding",5.68460216290417e-06
"ENSG00000270882",214.466016092803,-1.86452192643385,0.332377994566495,8.66312301943679e-10,5.76633272499481e-06,"HIST2H4A","1:149832659-149839767","+","protein_coding",5.68460216290417e-06
"ENSG00000259495",95.2912438707942,-1.7764251039753,0.36434632344581,4.62417503019491e-08,0.000159036939725978,"AC016705.2","15:80344853-80404214","-","lncRNA",0.000156782789801428
"ENSG00000078018",142.567816310605,1.66765896670494,0.349783162563949,8.30878668260506e-08,0.000228607956785196,"MAP2","2:209424058-209734118","+","protein_coding",0.000225367724613809
"ENSG00000144134",116.586372616989,-1.65997002360893,0.355995347416067,1.31403413446051e-07,0.000301286126462887,"RABL2A","2:113627229-113643396","+","protein_coding",0.000297015772038282
"ENSG00000142102",134.934240511002,-1.84355432193333,0.411995987796165,3.00762580302881e-07,0.000591084402460963,"PGGHG","11:289135-296107","+","protein_coding",0.000582706519539511
"ENSG00000185189",251.103154628255,-1.30529068735516,0.299552292495906,5.52406941655234e-07,0.000759946229635105,"NRBP2","8:143833583-143840973","-","protein_coding",0.00074917494128445
"ENSG00000235609",347.495059921024,1.731294764266,0.396679961979197,5.31435890033715e-07,0.000759946229635105,"AF127577.4","21:14818843-15014430","-","lncRNA",0.00074917494128445
"ENSG00000244414",33.0407483597556,2.22364692466333,0.502985937905425,4.69167782905351e-07,0.000759946229635105,"CFHR1","1:196819757-196832189","+","protein_coding",0.00074917494128445
"ENSG00000039650",602.031999752712,-1.35463778933523,0.321672332155232,1.02868245529764e-06,0.00107797895471995,"PNKP","19:49859882-49878351","-","protein_coding",0.00106269994983193
"ENSG00000160201",891.577299629393,1.41055885599214,0.335235400495271,1.06814673655941e-06,0.00107797895471995,"U2AF1","21:43092956-43107587","-","protein_coding",0.00106269994983193
"ENSG00000177731",4843.1404869228,-1.42568313014681,0.33653971072239,9.23332206180701e-07,0.00107797895471995,"FLII","17:18244815-18258738","-","protein_coding",0.00106269994983193
"ENSG00000230487",112.711245038419,-1.42263169300093,0.338618540162688,1.09702008912403e-06,0.00107797895471995,"PSMG3-AS1","7:1570073-1589626","+","lncRNA",0.00106269994983193
"ENSG00000160796",800.42482782215,-1.21715813747052,0.297251431412832,1.73706087114001e-06,0.00159311642695154,"NBEAL2","3:46979683-47009704","+","protein_coding",0.00157053599199221
"ENSG00000188549",198.799314040463,-1.50737795764104,0.374256856809935,2.16901871296795e-06,0.00186494940214376,"CCDC9B","15:40331452-40340967","-","protein_coding",0.00183851607438119
"ENSG00000156398",90.3762578853936,-1.73124709745709,0.437684060710332,2.87707281235194e-06,0.0023282288635015,"SFXN2","10:102714538-102743492","+","protein_coding",0.0022952291281819
"ENSG00000158055",141.495895565277,1.32454227143212,0.338619020412269,3.78972390579043e-06,0.00289640176510883,"GRHL3","1:24319322-24364482","+","protein_coding",0.00285534888876741
"ENSG00000100767",86.134517665328,-1.70568794965234,0.442833883898833,4.32829199629131e-06,0.00313391121015682,"PAPLN","14:73237497-73274640","+","protein_coding",0.00308949193416915
"ENSG00000135596",151.213471223343,-1.41765426366375,0.380135765321419,7.20092843533679e-06,0.00465980381476915,"MICAL1","6:109444062-109465968","-","protein_coding",0.00459375691751635
"ENSG00000138587",247.469053317982,1.3810443531771,0.370122044252856,7.54926002088897e-06,0.00465980381476915,"MNS1","15:56421544-56465137","-","protein_coding",0.00459375691751635
"ENSG00000158286",117.032582594055,-1.44606234853209,0.389838409612989,7.79061479535439e-06,0.00465980381476915,"RNF207","1:6205475-6221299","+","protein_coding",0.00459375691751635
"ENSG00000275765",44.8289103880609,-1.79837146742773,0.481148799406761,7.54690963555205e-06,0.00465980381476915,"AC091982.3","5:151770242-151771508","-","lncRNA",0.00459375691751635
"ENSG00000158106",172.242243763303,-1.36665928895807,0.370846487929985,8.60213174570208e-06,0.00493081360106765,"RHPN1","8:143368876-143384221","+","protein_coding",0.00486092547868571
"ENSG00000198556",94.2176303305789,-1.52736986664506,0.418292392877371,9.52068465038123e-06,0.00523904234941178,"ZNF789","7:99472890-99503650","+","protein_coding",0.00516478546961398
"ENSG00000270647",4356.94496162537,-1.21773592952017,0.335793024384827,1.11627800658018e-05,0.00590639866789365,"TAF15","17:35713791-35864615","+","protein_coding",0.00582268284605668
"ENSG00000120915",228.439878863043,-1.19578563350283,0.335449191747694,1.39466998946375e-05,0.00710610186853808,"EPHX2","8:27490779-27545564","+","protein_coding",0.0070053817527058
"ENSG00000134986",118.670585211546,-1.21359769864197,0.343550042059635,1.60514034078736e-05,0.00788639845293277,"NREP","5:111662621-111997464","-","protein_coding",0.00777461860789625
"ENSG00000089048",575.003892679351,1.10232329529272,0.312732713279771,1.70731845397069e-05,0.00795618438469178,"ESF1","20:13714322-13784886","-","protein_coding",0.00784341541126106
"ENSG00000166888",1772.29255161059,-1.01164007422229,0.287491039051691,1.73501149626193e-05,0.00795618438469178,"STAT6","12:57095408-57132139","-","protein_coding",0.00784341541126106
"ENSG00000198707",301.778777811215,1.13635941472532,0.327078825025102,2.04066161191624e-05,0.00905592961133279,"CEP290","12:88049014-88142088","-","protein_coding",0.00892757312330372
"ENSG00000115816",1921.26314876233,1.04469546842802,0.306563798307813,2.62909181007375e-05,0.0113026300097452,"CEBPZ","2:37201612-37231596","-","protein_coding",0.0111424293505299
"ENSG00000145833",4041.82468814267,1.06083979909187,0.312892042422533,2.78260243321403e-05,0.0113791630123867,"DDX46","5:134758771-134855133","+","protein_coding",0.011217877593477
"ENSG00000180354",139.275904696287,-1.1328118030396,0.335601142720374,2.81232494309186e-05,0.0113791630123867,"MTURN","7:30134986-30162762","+","protein_coding",0.011217877593477
"ENSG00000103319",486.048519170924,-1.03356002416737,0.308447095132801,3.11144791728932e-05,0.01220603237112,"EEF2K","16:22206278-22288738","+","protein_coding",0.0120330271121165
"ENSG00000213983",518.221130899905,-1.03089649772447,0.308375780901243,3.19413509747996e-05,0.01220603237112,"AP1G2","14:23559565-23568070","-","protein_coding",0.0120330271121165
"ENSG00000105821",1092.95781647559,1.05769629700513,0.319168292724212,3.61635245739253e-05,0.012219977366234,"DNAJC2","7:103312289-103344830","-","protein_coding",0.0120467744543472
"ENSG00000115073",1203.09777635123,-1.06545323455483,0.320508538135915,3.38468867669648e-05,0.012219977366234,"ACTR1B","2:97655963-97664107","-","protein_coding",0.0120467744543472
"ENSG00000188878",303.465010388841,-1.05152873789245,0.318213856314498,3.64192100033143e-05,0.012219977366234,"FBF1","17:75909574-75941140","-","protein_coding",0.0120467744543472
"ENSG00000198848",444.25578579755,1.07471416181873,0.323180848474661,3.46389945054505e-05,0.012219977366234,"CES1","16:55802851-55833337","-","protein_coding",0.0120467744543472
"ENSG00000276564",21.6176927244614,2.20668953988477,0.666666738992115,3.60683734323798e-05,0.012219977366234,"AC130650.2","16:14150833-14153235","+","lncRNA",0.0120467744543472
"ENSG00000155961",97.9048733956233,1.34458443247532,0.410325757446048,3.83762804127091e-05,0.0125700592770866,"RAB39B","X:155258235-155264491","-","protein_coding",0.0123918943914955
"ENSG00000172824",15.586850292641,-2.49550222610646,0.756871441852466,4.33432592735143e-05,0.0138668190192032,"CES4A","16:66988589-67009758","+","protein_coding",0.013670274184401
"ENSG00000174327",94.012864076016,-1.23152098179854,0.381778728116484,4.54867574792926e-05,0.0140841100458148,"SLC16A13","17:7036075-7040121","+","protein_coding",0.0138844853821874
"ENSG00000203668",837.773017283816,1.07990752650429,0.333316100664251,4.60699972422524e-05,0.0140841100458148,"CHML","1:241628853-241640254","-","protein_coding",0.0138844853821874
"ENSG00000163482",190.672296982973,-1.06671030249355,0.334133958273054,5.28186059265684e-05,0.0157962078637348,"STK36","2:218672069-218702716","+","protein_coding",0.0155723163525829
