"gene_id","baseMean","log2FoldChange","lfcSE","pvalue","padj","GeneSymbol","Chromosome","Class","Strand"
"ENSG00000118705",8664.4553526342,-1.04282953645899,0.0312753106622131,1.67258261372985e-245,3.58852599775739e-241,"RPN2","20:37178410-37241619","protein_coding","+"
"ENSG00000124762",7822.54039518997,1.74193110316201,0.0572550565395451,2.43411014294972e-204,2.61119165584931e-200,"CDKN1A","6:36676460-36687339","protein_coding","+"
"ENSG00000270647",6094.50932113373,-1.78905415426042,0.0644725366436072,4.53350307000583e-171,3.24221027889917e-167,"TAF15","17:35713791-35864615","protein_coding","+"
"ENSG00000268621",1300.66324217463,2.40935757933545,0.0884719273791857,1.3409049124123e-164,7.19227872395147e-161,"IGFL2-AS1","19:46189029-46203160","lncRNA","-"
"ENSG00000173530",2042.30359901895,1.39756991462655,0.0525616200495663,7.28494090208733e-156,3.12596814108567e-152,"TNFRSF10D","8:23135588-23164027","protein_coding","-"
"ENSG00000146918",3612.91726537976,-1.27183235826704,0.0489924489193505,3.92584056020327e-149,1.40381515365269e-145,"NCAPG2","7:158631311-158704829","protein_coding","-"
"ENSG00000055163",2708.74810676663,1.72105359293392,0.0711738884552493,1.42786475132731e-130,4.37640546281819e-127,"CYFIP2","5:157266079-157395595","protein_coding","+"
"ENSG00000115419",12784.1487867263,1.60691561545849,0.0695887366619407,3.4422580605305e-119,9.23170583608524e-116,"GLS","2:190880827-190965552","protein_coding","+"
"ENSG00000141503",10004.157523023,1.50936605267362,0.0661286773980746,8.95920077947624e-117,2.13577391915181e-113,"MINK1","17:4833340-4898061","protein_coding","+"
"ENSG00000134575",662.483356000266,-2.37718290392706,0.104242362521961,1.15031286093775e-116,2.46799624314194e-113,"ACP2","11:47239305-47248906","protein_coding","-"
"ENSG00000228716",5896.23825774266,-1.15873790024052,0.0519365985570722,2.88536436669405e-111,5.62777204431098e-108,"DHFR","5:80626226-80654983","protein_coding","-"
"ENSG00000148677",1857.89996827189,1.83599008152695,0.0823691621292396,5.58605021959482e-111,9.98739228845057e-108,"ANKRD1","10:90912096-90921276","protein_coding","-"
"ENSG00000177646",1196.13882994934,-1.63461914505341,0.0743386819641789,3.10387716001444e-108,5.12259111293153e-105,"ACAD9","3:128879596-128916067","protein_coding","+"
"ENSG00000111602",6106.13675568739,-1.23456865600414,0.0575438356537497,3.09772009335431e-103,4.74725604306547e-100,"TIMELESS","12:56416363-56449426","protein_coding","-"
"ENSG00000137807",5073.71371390406,-1.06423708074422,0.0499607125158487,1.220942120347e-101,1.74635421280299e-98,"AC027237.1","15:69414246-69448427","protein_coding","+"
"ENSG00000214717",2049.77449868864,-1.22641826691594,0.0580084278101595,2.48415039929671e-100,3.33109042605693e-97,"ZBED1","X:2486414-2500976","protein_coding","-"
"ENSG00000107796",408.097961632488,2.39023271995988,0.113119730375181,3.61827071864646e-100,4.56647048638587e-97,"ACTA2","10:88935074-88991339","protein_coding","-"
"ENSG00000196230",54608.8002895471,-0.631527230764715,0.0301407922707597,9.16427476277e-98,1.09233063908461e-94,"TUBB","6:30720352-30725426","protein_coding","+"
"ENSG00000273038",2129.59617458203,1.54435722117792,0.0741892961833217,2.3800148624877e-97,2.68753783550913e-94,"AL365203.2","10:32887255-32889311","lncRNA","-"
"ENSG00000117360",4273.81886083401,1.28467132024269,0.0622722637213151,5.83501633800371e-96,6.25951377659348e-93,"PRPF3","1:150321479-150353233","protein_coding","+"
"ENSG00000111445",2167.16109705748,-1.07274114414235,0.0520635415672699,7.79778453610397e-96,7.96673653438622e-93,"RFC5","12:118013588-118033130","protein_coding","+"
"ENSG00000144354",2445.19137742447,-1.03320709452788,0.0504799425329631,1.5108438647408e-94,1.47341614172791e-91,"CDCA7","2:173354820-173368997","protein_coding","+"
"ENSG00000076003",6224.64568850538,-0.975159457827434,0.0477846076290745,1.74963603204624e-93,1.63210613337183e-90,"MCM6","2:135839626-135876443","protein_coding","-"
"ENSG00000085840",1073.72796931753,-1.59452768267644,0.0787334561760799,3.0386987245558e-92,2.71647004730603e-89,"ORC1","1:52372829-52404423","protein_coding","-"
"ENSG00000196878",1363.78420581502,1.37852147728646,0.0692713647017611,2.60924518129875e-89,2.23925421459059e-86,"LAMB3","1:209614870-209652425","protein_coding","-"
"ENSG00000157168",7740.79196007744,0.861710881485601,0.0434776345459387,5.40875837048304e-88,4.46326580148899e-85,"NRG1","8:31639222-32855666","protein_coding","+"
"ENSG00000026103",742.542765733746,1.64979445044548,0.0835481288470778,7.31581379657172e-88,5.81336240760912e-85,"FAS","10:88990531-89017059","protein_coding","+"
"ENSG00000124207",8668.42142978042,-0.881379813616195,0.0445331783018755,1.31104530827772e-87,1.0045884674678e-84,"CSE1L","20:49046246-49096960","protein_coding","+"
"ENSG00000173540",1324.0383966375,-1.24817532584559,0.0637556601076286,2.33047663554594e-86,1.72415090398752e-83,"GMPPB","3:49716844-49723951","protein_coding","-"
"ENSG00000113583",1940.04154750575,-1.58524607793849,0.0812499417302586,5.95271638915093e-86,4.25718433764111e-83,"C5orf15","5:133955510-133968674","protein_coding","-"
"ENSG00000234771",1014.86957639758,1.50927417019651,0.0775189658190159,1.8612428007917e-85,1.2881601384189e-82,"SLC25A25-AS1","9:128108581-128118693","lncRNA","-"
"ENSG00000140525",5389.15863192278,-1.44041720534942,0.0741545082129306,3.04528140534178e-85,2.04176601723775e-82,"FANCI","15:89243949-89317261","protein_coding","+"
"ENSG00000072786",2074.37088563889,1.90698796057042,0.0982061244461717,4.3384224710049e-85,2.79634412867655e-82,"STK10","5:172042079-172188224","protein_coding","-"
"ENSG00000100297",6935.58227681118,-0.962355384086019,0.0495755861479376,4.43140062339794e-85,2.79634412867655e-82,"MCM5","22:35400134-35425431","protein_coding","+"
"ENSG00000162063",1943.03077344877,-0.903705848807188,0.0468458077676078,3.85248350692861e-84,2.36157238974724e-81,"CCNF","16:2429394-2458854","protein_coding","+"
"ENSG00000174243",12669.6016433565,0.755808746118784,0.0393585605563087,5.71370739091527e-83,3.40521089089131e-80,"DDX23","12:48829756-48852842","protein_coding","-"
"ENSG00000107104",2335.6437622602,1.13948104038361,0.0597952404411649,4.06553611413325e-82,2.3574615494251e-79,"KANK1","9:470291-746106","protein_coding","+"
"ENSG00000123485",6223.78058460545,-1.06498422203713,0.0564889952991564,2.82445903465358e-80,1.59470443653928e-77,"HJURP","2:233833416-233854566","protein_coding","-"
"ENSG00000006062",9689.0185989206,1.15913363930076,0.0616264290202406,5.09056057991575e-80,2.80046095492545e-77,"MAP3K14","17:45263119-45317029","protein_coding","-"
"ENSG00000033627",4428.15893027125,1.03420277202059,0.0561360937477908,1.04354440268185e-76,5.59731128988478e-74,"ATP6V0A1","17:42458844-42522611","protein_coding","+"
"ENSG00000111206",6414.14481556128,-1.10289802967194,0.0600056567628523,1.93539183367653e-76,1.01277638515927e-73,"FOXM1","12:2857681-2877155","protein_coding","-"
"ENSG00000135148",2110.68144025301,1.20921635766836,0.0665513823702293,1.16510438006643e-74,5.95174154150604e-72,"TRAFD1","12:112125538-112153604","protein_coding","+"
"ENSG00000091127",1698.65711667766,-1.31461434243482,0.0724576517396148,2.70056315779319e-74,1.34745540815007e-71,"PUS7","7:105439661-105522271","protein_coding","-"
"ENSG00000186871",1409.9053170919,-1.34596479800251,0.0744018752820597,4.15767903774708e-74,2.02734099442872e-71,"ERCC6L","X:72204657-72239027","protein_coding","-"
"ENSG00000182326",3818.95727882507,1.02280980789468,0.0569403222907929,4.77549998595082e-73,2.27685227107944e-70,"C1S","12:6988259-7071032","protein_coding","+"
"ENSG00000108861",4639.13200408187,-0.776812553143179,0.0436096755701918,2.38876513688156e-72,1.11415121764769e-69,"DUSP3","17:43766125-43778977","protein_coding","-"
"ENSG00000123364",1075.26716299885,1.20055431053937,0.0672941917829162,5.46255164578299e-72,2.49359671404838e-69,"HOXC13","12:53938831-53946544","protein_coding","+"
"ENSG00000164251",3452.54010830247,-0.909032814231002,0.0512597157787446,4.41380465823932e-71,1.97287872796926e-68,"F2RL1","5:76818933-76835315","protein_coding","+"
"ENSG00000189057",813.44235458375,-1.61572099831316,0.0916061821717706,6.34402982429459e-71,2.77777877306613e-68,"FAM111B","11:59107185-59127412","protein_coding","+"
"ENSG00000134070",1216.64678751272,1.27154132013263,0.0721030396373271,1.49420241058021e-70,6.41162254379967e-68,"IRAK2","3:10164919-10243745","protein_coding","+"
"ENSG00000276043",4237.43015264796,-1.09441252097188,0.0620730669066668,2.3671400547384e-70,9.9582333087083e-68,"UHRF1","19:4903080-4962154","protein_coding","+"
"ENSG00000183048",2337.10986925672,-1.48662942341629,0.0846536830588054,4.66516188702547e-70,1.92482785165638e-67,"SLC25A10","17:81712236-81721016","protein_coding","+"
"ENSG00000101224",13917.4563821635,-0.80049449135511,0.0454102891994959,5.07718842503618e-70,2.05530335205946e-67,"CDC25B","20:3786772-3806121","protein_coding","+"
"ENSG00000102384",715.863518666998,-1.79805803633341,0.102491839861098,6.58105980304228e-70,2.61475255693097e-67,"CENPI","X:101098218-101163681","protein_coding","+"
"ENSG00000101057",4686.66815724647,-1.48516094397553,0.0848644701772658,1.10420225494751e-69,4.30739261452707e-67,"MYBL2","20:43667019-43716495","protein_coding","+"
