"gene_id","baseMean","log2FoldChange","lfcSE","pvalue","padj","GeneSymbol","Chromosome","Strand","Class","qvalue"
"ENSG00000264112",1575.66432604929,5.18716259026824,0.279591002936582,5.00985065463985e-78,7.22821252451437e-74,"AC015813.1","17:57989039-57994850","-","lncRNA",1.33295390418322e-74
"ENSG00000245532",29760.4741049222,4.70103646461289,0.258047251600529,2.84751387253451e-75,2.0541965076464e-71,"NEAT1","11:65422774-65445540","+","lncRNA",3.78814159868766e-72
"ENSG00000251562",16105.9435539488,5.46465320071671,0.300391303727236,7.20990436761068e-75,3.46748334052956e-71,"MALAT1","11:65497688-65506516","+","lncRNA",6.39438234663649e-72
"ENSG00000261786",1289.01595363885,5.22543599482407,0.297509957349599,3.29350163858677e-70,1.18796604103825e-66,"AC006058.1","3:44117299-44122365","+","lncRNA",2.19072691494417e-67
"ENSG00000267519",1127.55900281089,4.44515299863722,0.276849960905416,3.85532798143968e-59,1.11249344232424e-55,"AC020916.1","19:13823880-13842928","-","lncRNA",2.05154797578942e-56
"ENSG00000215252",2276.1672258432,4.36812993640053,0.283118282209816,8.89223038410071e-55,1.60371374977256e-51,"GOLGA8B","15:34525207-34588503","-","protein_coding",2.95740682319696e-52
"ENSG00000091136",5109.7539166436,3.60249372036571,0.241530945151452,2.61484645500379e-51,4.19188940586608e-48,"LAMB1","7:107923799-108003187","-","protein_coding",7.7302588025784e-49
"ENSG00000166598",14231.1041791409,3.31055460488419,0.223853919771922,1.86932169044767e-50,2.6970573349779e-47,"HSP90B1","12:103930107-103953645","+","protein_coding",4.97364056780597e-48
"ENSG00000173209",3009.20956213687,4.59832564375135,0.313548467222082,8.30462063695458e-50,1.08926424136346e-46,"AHSA2P","2:61177418-61191203","+","transcribed_unitary_pseudogene",2.00871103096149e-47
"ENSG00000232931",506.971775157409,5.79892418788546,0.397296537420398,3.40501906587253e-49,4.09396792353407e-46,"LINC00342","2:95807052-95835003","-","lncRNA",7.54968190097902e-47
"ENSG00000198695",3671.98040044955,3.66171324415024,0.252801422872112,1.52623734122514e-48,1.69388864301511e-45,"MT-ND6","MT:14149-14673","-","protein_coding",3.12369824808146e-46
"ENSG00000090863",2640.37394086406,3.48171161489217,0.241508958299849,4.09958548154755e-48,4.22491566626915e-45,"GLG1","16:74447427-74607144","-","protein_coding",7.79116249432175e-46
"ENSG00000213903",734.24363758924,4.56667355836311,0.321871637583571,7.7671345690903e-47,7.00401359767718e-44,"LTB4R","14:24311450-24318036","+","protein_coding",1.29160940388971e-44
"ENSG00000062716",10545.0848473776,3.55259945852533,0.252734817682921,8.04786822923745e-46,6.83027310655517e-43,"VMP1","17:59707192-59842255","+","protein_coding",1.25956993836897e-43
"ENSG00000204149",463.520541950653,4.97249668957742,0.357418762198461,3.4905459124688e-45,2.65061033816315e-42,"AGAP6","10:49988318-50010499","+","protein_coding",4.88798771029543e-43
"ENSG00000277701",293.510834027044,5.2647282948043,0.376429172810133,3.35599122128918e-45,2.65061033816315e-42,"AC159540.2","2:97281356-97291849","+","lncRNA",4.88798771029543e-43
"ENSG00000114270",4417.39607719827,4.08829822127273,0.294269853086388,3.70590628200875e-45,2.67344079184111e-42,"COL7A1","3:48564073-48595267","-","protein_coding",4.93008932568251e-43
"ENSG00000138829",1057.30383452865,3.59949542065924,0.259152437640163,6.62461926369323e-45,4.55142889221742e-42,"FBN2","5:128257909-128659185","-","protein_coding",8.39328518761438e-43
"ENSG00000083857",3406.22886135513,3.47335496783294,0.251018473907686,1.54490101931262e-44,1.01317417757466e-41,"FAT1","4:186587794-186726722","-","protein_coding",1.86839342511792e-42
"ENSG00000228526",429.34301689465,5.50318695541831,0.402147482030136,1.00903344259866e-43,6.32971065644065e-41,"MIR34AHG","1:9148011-9198906","-","lncRNA",1.16726127009105e-41
"ENSG00000269929",245.94436776352,4.72453431870053,0.345006906189828,1.33639057972231e-43,8.03393470176397e-41,"AL158152.1","9:94166258-94200902","+","lncRNA",1.48153704534148e-41
"ENSG00000134871",1576.65526982278,3.86597884038711,0.283709148557756,2.38196398029652e-43,1.32180678106608e-40,"COL4A2","13:110305812-110513209","+","protein_coding",2.4375424815228e-41
"ENSG00000172037",2101.40787512706,3.72488956234805,0.273714152499745,3.20545290148751e-43,1.67424632633531e-40,"LAMB2","3:49121114-49133118","-","protein_coding",3.08747587274767e-41
"ENSG00000188157",6539.48837772938,3.68456419522977,0.270711424300182,3.2491611545182e-43,1.67424632633531e-40,"AGRN","1:1020120-1056118","+","protein_coding",3.08747587274767e-41
"ENSG00000187498",461.478181653479,3.6101195074725,0.266645100395695,8.44318408720206e-43,4.20062965552246e-40,"COL4A1","13:110148963-110307157","-","protein_coding",7.74637668768969e-41
"ENSG00000214548",1191.99319609097,4.44208085470961,0.330247937520413,1.62610802776815e-42,7.60843761063245e-40,"MEG3","14:100779410-100861031","+","lncRNA",1.40307117194349e-40
"ENSG00000244879",2189.53732260929,3.39069249652964,0.251159652788804,1.63474886283342e-42,7.60843761063245e-40,"GABPB1-AS1","15:50354959-50372202","+","lncRNA",1.40307117194349e-40
"ENSG00000125844",3077.30018524665,3.41255757497236,0.252969592498727,1.82083610455644e-42,8.20969478641885e-40,"RRBP1","20:17613678-17682295","-","protein_coding",1.51394894389119e-40
"ENSG00000188933",1005.74585537957,4.54634564096156,0.337496529416389,1.96428029236305e-42,8.58807153279215e-40,"USP32P1","17:16786489-16804455","+","transcribed_unprocessed_pseudogene",1.58372535951538e-40
"ENSG00000137801",1556.09041566684,3.47170708125031,0.258033598103532,2.75790827293003e-42,1.17032648711278e-39,"THBS1","15:39581079-39599466","+","protein_coding",2.15819783227917e-40
"ENSG00000101104",898.750029649971,4.30143637080371,0.323421832508884,1.92633804804512e-41,7.94091581634143e-39,"PABPC1L","20:44910062-44959035","+","protein_coding",1.46438344255708e-39
"ENSG00000163728",453.517666190998,4.2449274271723,0.319848261767616,3.25485916118816e-41,1.30447522160063e-38,"TTC14","3:180602163-180617828","+","protein_coding",2.4055813711145e-39
"ENSG00000197081",1952.2900537767,3.59898923706529,0.272393699799784,6.93000462286694e-41,2.70232720807363e-38,"IGF2R","6:159969099-160113507","+","protein_coding",4.98335873518645e-39
"ENSG00000273038",409.290370663428,3.7481684111779,0.284063307594058,8.60817279588229e-41,3.26838729207868e-38,"AL365203.2","10:32887255-32889311","-","lncRNA",6.02722953508038e-39
"ENSG00000266086",936.206480542084,4.30313108327732,0.330220659681737,6.32268386382131e-40,2.33906878941574e-37,"AC015813.2","17:57989038-58007246","-","protein_coding",4.31347427103259e-38
"ENSG00000197694",4859.64758961672,3.29035225823987,0.254138586040848,2.56385812977745e-39,9.24783627410726e-37,"SPTAN1","9:128552558-128633662","+","protein_coding",1.70539250541013e-37
"ENSG00000198804",274165.929079486,3.39999288514206,0.264626610493795,9.40277935383438e-39,3.3088609882225e-36,"MT-CO1","MT:5904-7445","+","protein_coding",6.10186703516586e-37
"ENSG00000130635",1007.57954397115,3.66125848768053,0.285368288478962,9.63397419857194e-39,3.30949951754752e-36,"COL5A1","9:134641774-134844843","+","protein_coding",6.10304454641618e-37
"ENSG00000134294",7372.87317389611,2.89993059585531,0.225599329791268,1.41166071398235e-38,4.73661413519474e-36,"SLC38A2","12:46358188-46372773","-","protein_coding",8.73478509756662e-37
"ENSG00000117335",3379.79892988855,3.25566255255062,0.255896376000518,5.18910017613698e-38,1.70155312139328e-35,"CD46","1:207752057-207795513","+","protein_coding",3.13783230452082e-36
"ENSG00000188153",730.931561768354,3.95894955759032,0.316982700019088,7.71741714355329e-37,2.27238560300381e-34,"COL4A5","X:108439844-108697545","+","protein_coding",4.19050387777188e-35
"ENSG00000198727",61497.5495314467,3.35917280826769,0.270042380357188,1.70177009853507e-36,4.9106277963328e-34,"MT-CYB","MT:14747-15887","+","protein_coding",9.05568350531063e-35
"ENSG00000108582",2124.44924570252,3.17365254816112,0.256622332027374,4.51434663432354e-36,1.2771175145102e-33,"CPD","17:30378927-30469989","+","protein_coding",2.35513105251635e-34
"ENSG00000146648",3354.13264181567,2.89951891786173,0.235281657391278,8.61926269177589e-36,2.39151388686428e-33,"EGFR","7:55019017-55211628","+","protein_coding",4.41018821955335e-34
