"gene_id","baseMean","log2FoldChange","lfcSE","pvalue","padj","GeneSymbol","Chromosome","Strand","Class"
"ENSG00000173209",3205.63657330524,4.94782430833183,0.279598347933696,3.1270515383937e-71,6.2525395510182e-67,"AHSA2P","2:61177418-61191203","+","transcribed_unitary_pseudogene"
"ENSG00000228526",558.211673276615,6.58082468975993,0.383029924654578,2.40262720476054e-67,2.40202654795935e-63,"MIR34AHG","1:9148011-9198906","-","lncRNA"
"ENSG00000245532",19366.2275638439,4.98072222725594,0.295240582039556,9.43000312258134e-65,6.28509708120046e-61,"NEAT1","11:65422774-65445540","+","lncRNA"
"ENSG00000213903",1116.68695309866,4.80108932486504,0.295326053702528,1.32336417572079e-60,6.61516667338429e-57,"LTB4R","14:24311450-24318036","+","protein_coding"
"ENSG00000261786",1126.53577565534,5.8714104799637,0.36397014863411,7.31747575075434e-60,2.92625855272666e-56,"AC006058.1","3:44117299-44122365","+","lncRNA"
"ENSG00000250067",382.074317318415,5.28418806514313,0.343984695640585,2.75237872355597e-54,9.17230209625026e-51,"YJEFN3","19:19528861-19537581","+","protein_coding"
"ENSG00000251562",24174.5373501173,5.78869646953126,0.393840790111453,4.66456081084799e-50,1.33239847732722e-46,"MALAT1","11:65497688-65506516","+","lncRNA"
"ENSG00000232931",330.819017761068,5.77069244813877,0.391794576004886,8.2747004306906e-50,2.06815793889573e-46,"LINC00342","2:95807052-95835003","-","lncRNA"
"ENSG00000262580",324.908160723646,5.53946465748459,0.380638578470801,5.09928771951979e-49,1.01960257951798e-45,"AC087741.1","17:80200673-80205949","-","lncRNA"
"ENSG00000264112",2362.42675018835,5.29369038255945,0.364394570579472,4.84816646588148e-49,1.01960257951798e-45,"AC015813.1","17:57989039-57994850","-","lncRNA"
"ENSG00000115414",2901.71043892868,3.85588134650984,0.265209304665481,6.51578487815887e-49,1.18439198762533e-45,"FN1","2:215360440-215436073","-","protein_coding"
"ENSG00000172037",2488.34181065109,4.46943056952714,0.309089753961398,1.58472924445034e-48,2.64055510356537e-45,"LAMB2","3:49121114-49133118","-","protein_coding"
"ENSG00000073605",407.204839335636,4.54494705310329,0.314882760237415,3.24386190875725e-48,4.98930914350779e-45,"GSDMB","17:39904595-39919854","-","protein_coding"
"ENSG00000005206",901.877737739572,4.26829835145893,0.297881419311907,1.09528308393129e-47,1.56429894737187e-44,"SPPL2B","19:2328615-2355095","+","protein_coding"
"ENSG00000088340",313.445166175259,4.96963421852109,0.347798680688145,2.67233063803798e-47,3.56221674050463e-44,"FER1L4","20:35558737-35607562","-","transcribed_unitary_pseudogene"
"ENSG00000158286",650.96300767158,4.57347682254783,0.323507801750645,1.4356591363364e-46,1.7941252769404e-43,"RNF207","1:6205475-6221299","+","protein_coding"
"ENSG00000121716",2333.87345732047,4.0141951788054,0.284413210336151,2.58217390016589e-46,3.03709218434218e-43,"PILRB","7:100352176-100367733","+","protein_coding"
"ENSG00000114270",3166.47355472091,4.5941868728284,0.326248086584027,3.45330762006269e-46,3.83604921461963e-43,"COL7A1","3:48564073-48595267","-","protein_coding"
"ENSG00000101104",756.682522482007,4.52656844668191,0.32436845157477,1.82035348660387e-45,1.84548663882092e-42,"PABPC1L","20:44910062-44959035","+","protein_coding"
"ENSG00000188933",852.911875288569,4.16501056855412,0.298065437111561,1.84594812585238e-45,1.84548663882092e-42,"USP32P1","17:16786489-16804455","+","transcribed_unprocessed_pseudogene"
"ENSG00000198804",272848.189997742,3.96323314687584,0.285128455837349,5.97001866695086e-45,5.68431063074678e-42,"MT-CO1","MT:5904-7445","+","protein_coding"
"ENSG00000188153",838.791679768491,4.4438966629453,0.320758809727971,9.56704256863028e-45,8.69513709817102e-42,"COL4A5","X:108439844-108697545","+","protein_coding"
"ENSG00000160781",251.339444332131,5.91556564337632,0.427687524400332,1.48097040268836e-44,1.28747840007625e-41,"PAQR6","1:156243320-156248117","-","protein_coding"
"ENSG00000215252",2346.85406867154,4.15015407189531,0.301485425736656,3.29263946389667e-44,2.74318025335891e-41,"GOLGA8B","15:34525207-34588503","-","protein_coding"
"ENSG00000198786",22386.2718007045,4.02075528238096,0.295373354295696,9.37945532421111e-44,7.50168836830404e-41,"MT-ND5","MT:12337-14148","+","protein_coding"
"ENSG00000167524",483.218876287918,4.43601085509409,0.324788986292738,1.61032872847769e-43,1.23840472791967e-40,"RSKR","17:28607964-28614200","-","protein_coding"
"ENSG00000110719",2333.65592507265,4.08865953730628,0.300639955135566,3.3052985371988e-43,2.44775719449222e-40,"TCIRG1","11:68039025-68050895","+","protein_coding"
"ENSG00000167615",7360.21724546318,3.65614354862901,0.269151088881468,5.35845253018712e-43,3.82650922646755e-40,"LENG8","19:54448887-54462037","+","protein_coding"
"ENSG00000230590",1368.31647618392,4.82658081619997,0.357503522145267,9.78397921973689e-43,6.7458849827117e-40,"FTX","X:73940435-74293574","-","lncRNA"
"ENSG00000198695",4431.55511781642,4.38400186094617,0.324992710441931,1.12703061757808e-42,7.51165906615792e-40,"MT-ND6","MT:14149-14673","-","protein_coding"
"ENSG00000214021",457.872832850888,4.38666829627017,0.335618908762056,3.05913849885107e-40,1.97314433175894e-37,"TTLL3","3:9808086-9855138","+","protein_coding"
"ENSG00000108846",12229.8786787409,3.78161280058649,0.289265208178727,4.0647050599353e-40,2.53980555229394e-37,"ABCC3","17:50634777-50692253","+","protein_coding"
"ENSG00000213599",1048.15097914483,4.3361860151327,0.331803324202403,4.49732272605819e-40,2.72496872447071e-37,"SLX1A-SULT1A3","16:30193892-30204310","+","lncRNA"
"ENSG00000108797",359.27268942764,4.16928356672071,0.323984432358315,5.01971015076495e-39,2.95203248425133e-36,"CNTNAP1","17:42682531-42699993","+","protein_coding"
"ENSG00000230606",233.58678004583,5.77719234677763,0.450263927367951,5.48610511795015e-39,3.13413348095466e-36,"AC092683.1","2:97416165-97433527","-","lncRNA"
"ENSG00000138834",2640.081113455,4.03644828523265,0.313932715361127,6.44742817443804e-39,3.58100906521913e-36,"MAPK8IP3","16:1706183-1770317","+","protein_coding"
"ENSG00000277701",253.774889548023,5.39164790184598,0.420545560822691,6.85888461168041e-39,3.70657831920405e-36,"AC159540.2","2:97281356-97291849","+","lncRNA"
"ENSG00000102287",729.149554702583,4.54118092245797,0.356629868473053,2.2390652035858e-38,1.17816075646574e-35,"GABRE","X:151953124-151974680","-","protein_coding"
"ENSG00000101115",361.769673083982,4.35593626470219,0.344254559412311,6.47553440634733e-38,3.31995667833115e-35,"SALL4","20:51782331-51802521","-","protein_coding"
"ENSG00000175265",690.541364337556,5.00345363589063,0.395461347081226,7.95155964916266e-38,3.97478587962518e-35,"GOLGA8A","15:34379068-34437466","-","protein_coding"
"ENSG00000023839",18611.3855465752,3.69473905228885,0.292651079233039,8.75031496028365e-38,4.26737921050906e-35,"ABCC2","10:99782640-99852594","+","protein_coding"
"ENSG00000244257",518.875147652609,5.13195401772619,0.408111245967517,1.44409579161144e-37,6.87492746506447e-35,"PKD1P1","16:16310341-16334190","+","unprocessed_pseudogene"
"ENSG00000135473",1176.45620270141,3.69378626683199,0.293400991241852,2.18955243513872e-37,1.0181418823395e-34,"PAN2","12:56316223-56334053","-","protein_coding"
"ENSG00000154529",2576.63594108849,3.57575041280845,0.285352783723861,4.96145507871406e-37,2.25464305224745e-34,"CNTNAP3B","9:41890314-42129510","-","protein_coding"
"ENSG00000266086",1026.01698904209,4.43483841385729,0.356969302389496,1.32188470203144e-36,5.87357435935968e-34,"AC015813.2","17:57989038-58007246","-","protein_coding"
"ENSG00000179532",565.935422596136,4.30209797285536,0.346723356116561,1.70228488256482e-36,7.39938831019208e-34,"DNHD1","11:6497260-6593758","+","protein_coding"
"ENSG00000117335",3439.74727887424,3.66282212920983,0.295110137612664,2.49952100544259e-36,1.06336005327286e-33,"CD46","1:207752057-207795513","+","protein_coding"
"ENSG00000225138",191.746465338468,5.03796728637579,0.406997169314932,2.91728014278666e-36,1.21522950947957e-33,"SLC9A3-AS1","5:473236-480884","+","lncRNA"
"ENSG00000143630",294.874018202565,4.19572449930728,0.34034143569369,3.30057957412544e-36,1.34683854254364e-33,"HCN3","1:155277463-155289848","+","protein_coding"
"ENSG00000214548",900.542647563628,4.76993115194859,0.387437609444017,4.79569357074165e-36,1.91779785893959e-33,"MEG3","14:100779410-100861031","+","lncRNA"
"ENSG00000246922",178.20044345634,4.9254096266701,0.401023899911818,9.1780394102364e-36,3.59833133348386e-33,"UBAP1L","15:65092770-65115197","-","protein_coding"
"ENSG00000163346",676.92052181833,3.55736735458634,0.289626909642507,1.08111206194486e-35,4.07864824124293e-33,"PBXIP1","1:154944076-154956123","-","protein_coding"
"ENSG00000261326",172.166777062689,6.17251622391978,0.498958587840345,1.07890928117386e-35,4.07864824124293e-33,"LINC01355","1:23281307-23287488","-","lncRNA"
"ENSG00000139631",322.277350536461,4.14384704194489,0.339417441525163,2.13959234967666e-35,7.92243500588607e-33,"CSAD","12:53157663-53180909","-","protein_coding"
"ENSG00000102878",240.198404463293,4.24506777970581,0.347418295389089,2.45409326183617e-35,8.92174450371168e-33,"HSF4","16:67164681-67169945","+","protein_coding"
"ENSG00000168970",203.90441676658,4.98007915995528,0.408173662427604,2.83759475129008e-35,1.01317334021509e-32,"JMJD7-PLA2G4B","15:41828095-41848155","+","protein_coding"
"ENSG00000267519",1081.19081430296,4.76169349925653,0.392146351717561,3.77887820908958e-35,1.32559069808327e-32,"AC020916.1","19:13823880-13842928","-","lncRNA"
"ENSG00000011028",2228.26820774032,3.64414389111921,0.300660232625237,7.57028144647795e-35,2.60978926762632e-32,"AC080038.1","17:62627670-62693597","+","protein_coding"
"ENSG00000197774",517.926688441667,4.32536073092466,0.35857246938612,1.04304415193406e-34,3.5348589521901e-32,"EME2","16:1773207-1781708","+","protein_coding"
"ENSG00000062716",9219.63621717223,3.75324581374026,0.31034177372703,1.1365498524531e-34,3.78755238329996e-32,"VMP1","17:59707192-59842255","+","protein_coding"
"ENSG00000196689",606.962731946746,3.59671481673578,0.297481602830969,1.1714953421841e-34,3.84000809294608e-32,"TRPV1","17:3565444-3609411","-","protein_coding"
"ENSG00000283486",767.256590110531,4.13905111708576,0.343769634747713,1.53422394262322e-34,4.94787221495988e-32,"FAM95C","9:38540569-38577207","-","protein_coding"
"ENSG00000234771",825.533966882299,4.08612132492107,0.339550889866318,1.67802783626568e-34,5.32574072795751e-32,"SLC25A25-AS1","9:128108581-128118693","-","lncRNA"
"ENSG00000197081",1612.8720207437,3.79632443149652,0.31697817759773,4.0940384587369e-34,1.27906717160069e-31,"IGF2R","6:159969099-160113507","+","protein_coding"
"ENSG00000258727",182.184211216944,4.91971378899739,0.412357257894221,6.96709226408496e-34,2.14318476646737e-31,"AL135999.1","14:23561097-23568073","+","lncRNA"
"ENSG00000003436",2587.87082009396,3.13813849206422,0.2634681117802,1.2363598873434e-33,3.74560847688353e-31,"TFPI","2:187464230-187565760","-","protein_coding"
"ENSG00000139182",1552.16453137716,3.39360733505897,0.285615122283672,1.50326315318205e-33,4.4862308578918e-31,"CLSTN3","12:7129698-7158945","+","protein_coding"
"ENSG00000188157",4674.5439356098,3.89719997163964,0.328256614036499,1.7266044705927e-33,5.07697888080898e-31,"AGRN","1:1020120-1056118","+","protein_coding"
"ENSG00000274471",367.288783320515,4.08445370708027,0.34488728774334,1.80989626434631e-33,5.2447646095079e-31,"AC242376.2","15:23309607-23314566","+","transcribed_unprocessed_pseudogene"
"ENSG00000198727",64413.6781942545,3.80354341915552,0.319038887735784,1.83694465325434e-33,5.24710119168865e-31,"MT-CYB","MT:14747-15887","+","protein_coding"
"ENSG00000166436",519.238409511546,3.62672467929939,0.306640570093576,2.69563826559821e-33,7.59144889023044e-31,"TRIM66","11:8612037-8682694","-","protein_coding"
"ENSG00000075826",158.058430736157,5.74526697469772,0.486991814264364,3.56206347669936e-33,9.89214711341719e-31,"SEC31B","10:100486646-100519864","-","protein_coding"
"ENSG00000243970",221.718541270944,4.1297007178518,0.351418250525267,6.27333211162148e-33,1.71829144619002e-30,"PPIEL","1:39522280-39559671","-","transcribed_unprocessed_pseudogene"
"ENSG00000284946",671.680586443728,3.43020774032414,0.291727201231821,6.38729581736905e-33,1.72586459281479e-30,"AC068831.7","15:90966190-91022566","-","protein_coding"
"ENSG00000225783",179.321542614768,5.45810808833279,0.465165329005274,6.94896653087094e-33,1.85259447713019e-30,"MIAT","22:26646411-26676475","+","lncRNA"
"ENSG00000237973",701.517521637733,3.9071968478103,0.334114683054132,1.15212279992431e-32,3.03114412953772e-30,"MTCO1P12","1:631074-632616","+","unprocessed_pseudogene"
"ENSG00000099725",439.71738653399,3.47423959029643,0.296992139867741,1.33361888513895e-32,3.46307916991601e-30,"PRKY","Y:7273972-7381548","+","protein_coding"
"ENSG00000106714",1820.88182841905,3.39561330487942,0.290511472546683,1.48659740664397e-32,3.81083527510848e-30,"CNTNAP3","9:39072767-39288315","-","protein_coding"
"ENSG00000197978",715.549219388191,3.37879604951434,0.28975992111511,1.96385981590648e-32,4.97055405304432e-30,"GOLGA6L9","15:82430018-82439153","+","protein_coding"
"ENSG00000100288",520.134895755501,3.52006670976607,0.302265384074102,2.16562139907814e-32,5.41269998432092e-30,"CHKB","22:50578949-50601455","-","protein_coding"
"ENSG00000257354",187.704732082585,4.70330238043848,0.404774376911258,2.59295605965756e-32,6.4007600509695e-30,"AC048341.1","12:62602752-62622213","+","lncRNA"
"ENSG00000177943",290.807415908397,3.83183794287913,0.330118854972206,3.43279038936482e-32,8.3705663213841e-30,"MAMDC4","9:136850943-136860799","+","protein_coding"
"ENSG00000131067",293.621579943591,3.86018007801175,0.333576764056206,4.79731017961794e-32,1.15568936194531e-29,"GGT7","20:34844720-34872856","-","protein_coding"
"ENSG00000128159",1001.53650124144,3.71668362858342,0.321466298225353,5.51172104172926e-32,1.31198645511162e-29,"TUBGCP6","22:50217689-50245023","-","protein_coding"
"ENSG00000129003",1497.91651239593,3.71145631068555,0.320915285550476,5.7854661547331e-32,1.36094583251633e-29,"VPS13C","15:61852389-62060473","-","protein_coding"
"ENSG00000270069",175.484141209523,6.63732391068284,0.569098924526671,6.74021989623042e-32,1.56710112587357e-29,"MIR222HG","X:45745211-45770274","-","lncRNA"
"ENSG00000223705",1135.97226477109,3.82853776245711,0.331995298669585,7.56036306930004e-32,1.73757999506499e-29,"NSUN5P1","7:75410322-75416787","+","transcribed_unprocessed_pseudogene"
"ENSG00000166340",1084.76057548911,3.422751703683,0.296568644599512,7.82913300469402e-32,1.77890357305519e-29,"TPP1","11:6612768-6619448","-","protein_coding"
"ENSG00000169174",629.074141895556,3.39965378512838,0.294750800155875,8.55616648037365e-32,1.92225335702327e-29,"PCSK9","1:55039548-55064852","+","protein_coding"
"ENSG00000184445",1962.44769753654,3.21233436707495,0.278901689143491,1.16874507859641e-31,2.59656198294836e-29,"KNTC1","12:122527246-122626396","+","protein_coding"
"ENSG00000204410",520.948743217114,3.42465906026369,0.297939107577324,1.43943474757039e-31,3.16280195359011e-29,"MSH5","6:31739677-31762678","+","protein_coding"
"ENSG00000213199",274.627968562131,4.17555177596684,0.364955689379565,1.66445023328452e-31,3.61746547983956e-29,"ASIC3","7:151048292-151052756","+","protein_coding"
"ENSG00000221978",4427.62202669178,3.65970072067579,0.319909133841904,2.42093436339564e-31,5.20500888130063e-29,"CCNL2","1:1385711-1399335","-","protein_coding"
"ENSG00000230373",389.872240982721,3.57381946756459,0.313779336804493,4.17894851962997e-31,8.88915698404268e-29,"GOLGA6L5P","15:84507885-84516814","-","transcribed_unprocessed_pseudogene"
"ENSG00000182796",270.392922585426,4.00171385058361,0.352362507776704,6.15674529946376e-31,1.29583286592398e-28,"TMEM198B","12:55829608-55836246","+","transcribed_unitary_pseudogene"
"ENSG00000133624",295.917882296981,3.96595619479254,0.350109749296406,6.80894661274833e-31,1.41817591168649e-28,"ZNF767P","7:149547154-149624752","-","transcribed_unprocessed_pseudogene"
"ENSG00000134871",1177.50693801822,4.07553978442123,0.361334505172735,1.29455312754464e-30,2.66851441085103e-28,"COL4A2","13:110305812-110513209","+","protein_coding"
"ENSG00000141756",3169.92995956565,3.51031439269019,0.311176095173924,1.60044129790007e-30,3.2653901787257e-28,"FKBP10","17:41812680-41823217","+","protein_coding"
"ENSG00000251432",315.100919085687,3.5560501004057,0.315523612354486,1.65801526024467e-30,3.3486883968275e-28,"LINC02615","4:128292751-128519398","+","lncRNA"
"ENSG00000142303",1185.75768198846,3.4137205019031,0.303756492259914,2.532504229546e-30,5.06374220697722e-28,"ADAMTS10","19:8580240-8610735","-","protein_coding"
"ENSG00000114857",1864.06964063531,3.29372753699633,0.292896884791215,2.5772258140618e-30,5.10214159922432e-28,"NKTR","3:42600655-42648735","+","protein_coding"
"ENSG00000233237",551.660459021357,3.83134667168276,0.34161268837046,2.69546297308449e-30,5.28390021047298e-28,"LINC00472","6:71343427-71420745","-","lncRNA"
"ENSG00000198848",3441.78949075434,3.45856363588327,0.307992136113802,2.95252425811704e-30,5.73162354767478e-28,"CES1","16:55802851-55833337","-","protein_coding"
"ENSG00000125844",3183.87547388924,3.52238790871464,0.314408623742337,3.81980886702845e-30,7.34394983617634e-28,"RRBP1","20:17613678-17682295","-","protein_coding"
"ENSG00000253352",3172.72158278602,3.46081078765676,0.308945931543754,3.91325980201095e-30,7.45196473725799e-28,"TUG1","22:30969245-30979395","+","lncRNA"
