"gene_id","baseMean","log2FoldChange","lfcSE","pvalue","padj","GeneSymbol","Chromosome","Class","Strand"
"ENSG00000166923",2392.11453768315,2.57633402978947,0.0645857080467913,0,0,"GREM1","15:32718004-32745106","protein_coding","+"
"ENSG00000176153",14812.2854473409,1.47407683131429,0.0432912782985382,7.71949233860034e-254,8.28108540623352e-250,"GPX2","14:64939152-64942905","protein_coding","-"
"ENSG00000122861",2661.61952565196,-2.00740805903782,0.0627062253838907,3.41946820146754e-226,2.4454896754162e-222,"PLAU","10:73909177-73917496","protein_coding","+"
"ENSG00000035862",11793.0500651903,-1.1313860309778,0.0358251180353449,6.94583900447334e-220,3.72557439602439e-216,"TIMP2","17:78852977-78925387","protein_coding","-"
"ENSG00000103018",21322.8569213004,1.04037091688317,0.0343609831184369,9.01121732249789e-204,3.86671335308384e-200,"CYB5B","16:69424525-69466266","protein_coding","+"
"ENSG00000170477",4028.15070732445,2.53231168681439,0.0887566694684227,1.39222406554228e-180,4.97836122103493e-177,"KRT4","12:52806549-52814116","protein_coding","-"
"ENSG00000177469",25252.240787944,-1.12820764126956,0.0401099329727367,8.26096884579804e-176,2.5319869512371e-172,"CAVIN1","17:42402449-42423256","protein_coding","-"
"ENSG00000186529",3446.86603962311,1.54195131620324,0.05648153459069,2.28332292478987e-165,6.12358666892084e-162,"CYP4F3","19:15640897-15662825","protein_coding","+"
"ENSG00000095739",3458.47159531206,2.14295030825405,0.0786491324323371,1.29357081216306e-164,3.0837290861065e-161,"BAMBI","10:28677510-28682932","protein_coding","+"
"ENSG00000179242",502.10902137375,-5.82553630851779,0.215458191575277,2.35286450497255e-161,5.04807079541861e-158,"CDH4","20:61252261-61940617","protein_coding","+"
"ENSG00000099994",1126.09384988369,-1.42711325526942,0.0548145356780976,3.15572268167471e-150,6.15509364866645e-147,"SUSD2","22:24181487-24189106","protein_coding","+"
"ENSG00000163735",3542.11981999468,-2.04430386108416,0.0801614418685786,1.5123366913855e-144,2.70393197613966e-141,"CXCL5","4:73995642-73998677","protein_coding","-"
"ENSG00000067057",15993.925327359,-1.11134469539409,0.0449985909191104,1.99103457529595e-135,3.28597283176727e-132,"PFKP","10:3066333-3137718","protein_coding","+"
"ENSG00000159176",9121.5929927454,-1.13004808560799,0.0460721404275706,5.76344130269874e-134,8.83247379638582e-131,"CSRP1","1:201483530-201509456","protein_coding","-"
"ENSG00000171560",4232.2263838867,1.24126395376418,0.050934631979037,4.4657595667652e-132,6.38752476699648e-129,"FGA","4:154583128-154590745","protein_coding","-"
"ENSG00000132639",762.167074098074,-2.18726414568311,0.0902393528376827,2.91628840429682e-131,3.91056048213677e-128,"SNAP25","20:10218830-10307418","protein_coding","+"
"ENSG00000169174",1306.14545449737,1.88546433712702,0.0807692717127918,1.17949193155983e-121,1.48858819950683e-118,"PCSK9","1:55039548-55064852","protein_coding","+"
"ENSG00000064787",744.424397353513,1.7833342088131,0.0768818377346073,3.98180746656726e-120,4.74609328862225e-117,"BCAS1","20:53936777-54070594","protein_coding","-"
"ENSG00000196924",85281.5266820901,-1.0114623398559,0.0451210138138738,3.85381179579304e-113,4.35176484624946e-110,"FLNA","X:154348524-154374638","protein_coding","-"
"ENSG00000143641",9278.9059106585,-0.729764469614618,0.0334178213560391,1.71139515178195e-106,1.83589914907408e-103,"GALNT2","1:230057990-230282122","protein_coding","+"
"ENSG00000169604",7707.24990001124,-1.62719328470745,0.0751738557890499,1.91665502648486e-105,1.95818255205869e-102,"ANTXR1","2:69013178-69249327","protein_coding","+"
"ENSG00000238266",400.141713324572,-4.21894994190311,0.196321516648052,2.83502118855953e-103,2.76478998184295e-100,"LINC00707","10:6779549-6879450","lncRNA","+"
"ENSG00000076864",4186.21437226096,1.32389719547339,0.0622795398546566,2.48431735157707e-101,2.31743603382982e-98,"RAP1GAP","1:21596215-21669363","protein_coding","-"
"ENSG00000163083",3988.73763783338,1.16183261393128,0.054931010581829,2.72978103301299e-100,2.44031050263724e-97,"INHBB","2:120346136-120351803","protein_coding","+"
"ENSG00000261578",1554.20275546706,2.43536295868445,0.116358875397886,8.81587231967283e-99,7.56578162474322e-96,"AP003119.3","11:76800364-76804555","lncRNA","+"
"ENSG00000120708",20810.4464939992,-1.30765676092527,0.0631992012614925,2.86600394663504e-97,2.36500441057903e-94,"TGFBI","5:136028988-136063818","protein_coding","+"
"ENSG00000092969",2928.62619920592,-1.25833105134757,0.0615821452090808,8.6917202200198e-94,6.90669841927869e-91,"TGFB2","1:218345336-218444619","protein_coding","+"
"ENSG00000171246",1092.84641591595,-3.21398749961608,0.158476017536961,7.09087633626184e-93,5.43338399266063e-90,"NPTX1","17:80466834-80477843","protein_coding","-"
"ENSG00000142627",7584.72528468611,-1.17607676691083,0.0580117747465374,2.5784495782845e-92,1.90760812765841e-89,"EPHA2","1:16124337-16156069","protein_coding","-"
"ENSG00000074527",6077.54157909411,-1.15376884848371,0.0574465265967215,9.43400361899111e-91,6.74688492151514e-88,"NTN4","12:95657807-95791152","protein_coding","-"
"ENSG00000133030",22803.1566158688,-0.710135153038404,0.0350287669497581,1.47938814674181e-90,1.02387976414018e-87,"MPRIP","17:17042545-17217679","protein_coding","+"
"ENSG00000159840",4872.41027502886,-0.92052682955657,0.046564475416059,9.6156675008886e-89,6.44700456973641e-86,"ZYX","7:143381295-143391111","protein_coding","+"
"ENSG00000113645",5025.89629151693,-1.09479238516904,0.0550250431713367,1.02238147235076e-88,6.45152779096635e-86,"WWC1","5:168291651-168472303","protein_coding","+"
"ENSG00000186297",2925.29734483925,-1.20620564738266,0.0608760534662744,9.94138008290955e-89,6.45152779096635e-86,"GABRA5","15:26866911-26949208","protein_coding","+"
"ENSG00000058085",703.49464636743,-2.27901188371306,0.11562901512709,2.08092347840474e-87,1.2756060922621e-84,"LAMC2","1:183186238-183244900","protein_coding","+"
"ENSG00000214717",2049.77449868864,-1.12664979211608,0.0574716986043293,1.32548144487525e-86,7.89950122216624e-84,"ZBED1","X:2486414-2500976","protein_coding","-"
"ENSG00000147592",1400.49574595733,-1.16150234500992,0.0594427858134853,4.47214258193919e-86,2.59323835393258e-83,"LACTB2","8:70635318-70669185","protein_coding","-"
"ENSG00000079112",729.634862378158,1.66807732643454,0.0854515259103827,5.21937498739679e-86,2.9468865882789e-83,"CDH17","8:94127162-94217303","protein_coding","-"
"ENSG00000120129",4928.61164927094,-1.21878835042845,0.0626302065221211,5.24814053106535e-85,2.88715013061557e-82,"DUSP1","5:172768096-172771195","protein_coding","-"
"ENSG00000006327",4323.08055110417,-1.48062469289172,0.0769602875330924,1.03039542505105e-83,5.52678346111756e-81,"TNFRSF12A","16:3018445-3022383","protein_coding","+"
"ENSG00000005884",14324.7798006943,-1.23734800773984,0.0649453395996015,6.17674525444283e-82,3.23224559595295e-79,"ITGA3","17:50055968-50090481","protein_coding","+"
"ENSG00000144824",1744.26390479511,-1.61600410091391,0.0858335059421719,2.35027060769721e-80,1.20059656876532e-77,"PHLDB2","3:111732497-111976517","protein_coding","+"
"ENSG00000140416",11806.1959729848,-0.996462970543071,0.0544061766272743,7.40120548436186e-76,3.69285729458102e-73,"TPM1","15:63042632-63071915","protein_coding","+"
"ENSG00000198959",6446.05794450984,-2.02271217469616,0.111970653564274,2.8735066889309e-74,1.40116104570483e-71,"TGM2","20:38127385-38166578","protein_coding","-"
"ENSG00000106366",12622.1791652797,-1.00207883030747,0.0553312997109683,6.2632928706072e-74,2.9861988564195e-71,"SERPINE1","7:101127089-101139266","protein_coding","+"
"ENSG00000184454",172.27398187853,2.72083217153744,0.151931494406948,6.66176953681516e-73,3.10713620461672e-70,"NCMAP","1:24556087-24609328","protein_coding","+"
"ENSG00000172602",832.360004237185,1.32027026902732,0.0744396291582633,1.70895884439412e-71,7.80121532052679e-69,"RND1","12:48857145-48865870","protein_coding","-"
"ENSG00000144583",431.862079529307,-2.84974171846741,0.161600065975175,1.0759054626151e-70,4.80907327091811e-68,"MARCH4","2:216257865-216372483","protein_coding","-"
"ENSG00000167964",966.123358568688,1.7858857344556,0.101598625975163,2.56528084625767e-70,1.12322654196853e-67,"RAB26","16:2140803-2154165","protein_coding","+"
"ENSG00000075461",449.957735539721,-1.75057427669779,0.0999494726014398,6.37322630976069e-69,2.73475140951831e-66,"CACNG4","17:66964707-67033398","protein_coding","+"
"ENSG00000273311",164.863364133413,3.0040038067535,0.173805515567092,2.34040791945073e-67,9.84577488466971e-65,"DGCR11","22:19046162-19048375","lncRNA","-"
"ENSG00000145920",52471.2365008461,1.28750816829231,0.0767186920880782,3.86582280059881e-64,1.59502361897784e-61,"CPLX2","5:175796310-175884021","protein_coding","+"
"ENSG00000120256",2142.98940697219,-1.60854620682987,0.0965194201266139,1.32501004098242e-63,5.36379064703354e-61,"LRP11","6:149818798-149864026","protein_coding","-"
"ENSG00000125462",511.555223094414,2.7598136956877,0.166493319198347,5.59751708943493e-63,2.2239764658116e-60,"C1orf61","1:156404250-156430701","protein_coding","-"
"ENSG00000163347",3601.82418245387,-1.15858293894739,0.0713833458751038,1.45226380383218e-60,5.66514907476718e-58,"CLDN1","3:190305707-190322446","protein_coding","-"
"ENSG00000130294",380.429900278066,2.77252382334157,0.17086463119855,1.95992263465706e-60,7.50895359402987e-58,"KIF1A","2:240713761-240821036","protein_coding","-"
"ENSG00000160460",674.288471151951,2.42736907126197,0.151422253852235,4.74042624023054e-59,1.7843130698973e-56,"SPTBN4","19:40466241-40576464","protein_coding","+"
"ENSG00000257594",1548.87488929429,1.38507104331185,0.0860418552750209,5.09632342289894e-59,1.88520032824649e-56,"GALNT4","12:89519412-89524796","protein_coding","-"
