"gene_id","baseMean","log2FoldChange","lfcSE","pvalue","padj","GeneSymbol","Chromosome","Strand","Class"
"ENSG00000214548",2372.36764826489,7.35249467478284,0.290262174880905,8.77041623950471e-143,1.53719085429799e-138,"MEG3","14:100779410-100861031","+","lncRNA"
"ENSG00000264112",3199.51911771435,6.84612535062636,0.276686369102482,3.09448847817025e-136,2.7118549778445e-132,"AC015813.1","17:57989039-57994850","-","lncRNA"
"ENSG00000215252",4526.41390112321,6.81899538401074,0.29560155601973,4.21172903868879e-119,2.46063249536995e-115,"GOLGA8B","15:34525207-34588503","-","protein_coding"
"ENSG00000267519",2275.72924664894,5.76188187721603,0.252923975434942,5.01109985541432e-116,2.19573867914617e-112,"AC020916.1","19:13823880-13842928","-","lncRNA"
"ENSG00000261786",2613.60614332247,7.02229125685393,0.317606871660388,1.78442858322275e-109,6.25513595562902e-106,"AC006058.1","3:44117299-44122365","+","lncRNA"
"ENSG00000121716",4007.1224473746,7.04712541450083,0.321289074894877,6.19304719761734e-108,1.80909230387732e-104,"PILRB","7:100352176-100367733","+","protein_coding"
"ENSG00000245532",60029.2829200751,6.24466007441668,0.285152639781292,1.63757442564254e-107,4.10025242260525e-104,"NEAT1","11:65422774-65445540","+","lncRNA"
"ENSG00000186594",1408.44078092476,5.63784196158063,0.25775908332749,5.67353786568849e-107,1.24300122714903e-103,"MIR22HG","17:1711493-1717174","-","lncRNA"
"ENSG00000188933",2010.09570624426,6.78323821061361,0.314228802220666,1.45936213613094e-104,2.84202668444077e-101,"USP32P1","17:16786489-16804455","+","transcribed_unprocessed_pseudogene"
"ENSG00000186166",1037.24947566491,5.99743792411958,0.28183952641279,7.63059290097605e-102,1.33741401775407e-98,"CCDC84","11:118998138-119015793","+","protein_coding"
"ENSG00000213903",1468.2835336915,6.86917343937179,0.323481446589887,1.56383251435639e-101,2.49175386173859e-98,"LTB4R","14:24311450-24318036","+","protein_coding"
"ENSG00000221978",5851.19743855737,5.95491878761644,0.280720162849204,3.39751044674652e-101,4.96234713334385e-98,"CCNL2","1:1385711-1399335","-","protein_coding"
