"gene_id","baseMean","log2FoldChange","lfcSE","pvalue","padj","GeneSymbol","Chromosome","Strand","Class","qvalue"
"ENSG00000215252",4412.52878512649,6.72924821550971,0.295602000733668,4.32518174308353e-116,6.08077301260113e-112,"GOLGA8B","15:34525207-34588503","-","protein_coding",1.18195965247024e-114
"ENSG00000121716",4378.14912794616,6.83434095246536,0.30148620031466,3.82806664835872e-115,2.69093945046376e-111,"PILRB","7:100352176-100367733","+","protein_coding",5.23055514668533e-114
"ENSG00000228526",1088.69589428391,8.28858753554289,0.366661954745185,3.21013045655563e-114,1.50437413629052e-110,"MIR34AHG","1:9148011-9198906","-","lncRNA",2.9241504782869e-113
"ENSG00000283486",1445.03615027973,6.98505222491842,0.310110242988859,5.14986274806369e-114,1.81004800937569e-110,"FAM95C","9:38540569-38577207","-","protein_coding",3.51830879344233e-113
"ENSG00000266086",1936.60387676792,7.33197697468482,0.33135410763807,4.21608022748035e-110,1.18547743836292e-106,"AC015813.2","17:57989038-58007246","-","protein_coding",2.30429009297845e-109
"ENSG00000173209",6174.17416095059,6.94987335818147,0.323136634760383,6.22857385603484e-104,1.45945866403323e-100,"AHSA2P","2:61177418-61191203","+","transcribed_unitary_pseudogene",2.83684533489517e-103
"ENSG00000138834",4964.32236521321,6.82507757772418,0.323424174664654,3.57922725908413e-100,7.18862229078055e-97,"MAPK8IP3","16:1706183-1770317","+","protein_coding",1.39729956815412e-99
"ENSG00000205560",1630.97046108464,6.82080809520437,0.325966231667936,8.48966621651875e-99,1.49195271672546e-95,"CPT1B","22:50568861-50578465","-","protein_coding",2.90000615202792e-98
"ENSG00000233237",1027.45382024991,6.73936817660677,0.327041256041379,5.63023171647166e-96,8.79504752243057e-93,"LINC00472","6:71343427-71420745","-","lncRNA",1.70955095536851e-95
"ENSG00000142102",911.030619446004,7.21510506122527,0.352956476706417,1.70643291096515e-94,2.3990740295259e-91,"PGGHG","11:289135-296107","+","protein_coding",4.66323722380791e-94
"ENSG00000128159",1866.67661997197,6.21911555798107,0.305130115350371,1.20605715302169e-93,1.41468944633817e-90,"TUBGCP6","22:50217689-50245023","-","protein_coding",2.74982447606923e-93
"ENSG00000232931",644.937438913204,7.57814363572949,0.371971545104575,1.20750219475482e-93,1.41468944633817e-90,"LINC00342","2:95807052-95835003","-","lncRNA",2.74982447606923e-93
"ENSG00000213903",2133.57846259663,7.44777412931889,0.366492784246218,1.48937817934297e-93,1.61070521718329e-90,"LTB4R","14:24311450-24318036","+","protein_coding",3.13083316017349e-93
"ENSG00000167524",917.513486889278,7.31182422595585,0.359926436794001,1.65673361461865e-93,1.66371556342312e-90,"RSKR","17:28607964-28614200","-","protein_coding",3.23387283997918e-93
"ENSG00000186166",1263.745893263,7.24017149290128,0.358615954843851,1.63864911055091e-92,1.53585118968235e-89,"CCDC84","11:118998138-119015793","+","protein_coding",2.98533448731123e-92
"ENSG00000203896",1151.40812818809,6.52112897511569,0.324248168074284,1.52302028065001e-91,1.33825888285366e-88,"LIME1","20:63736283-63739103","+","protein_coding",2.60126138702274e-91
"ENSG00000196689",1129.14964941149,5.70516372230999,0.283253724412923,1.97755015457848e-91,1.6354339778364e-88,"TRPV1","17:3565444-3609411","-","protein_coding",3.17890007088863e-91
"ENSG00000169203",970.872530562558,5.79841631848439,0.289206330942594,1.35465196853146e-90,1.05805844586576e-87,"NPIPB12","16:29483642-29505999","-","protein_coding",2.05661745698636e-90
"ENSG00000214021",872.696594351718,6.588351249169,0.330180999338216,3.47941546288011e-90,2.57458431540165e-87,"TTLL3","3:9808086-9855138","+","protein_coding",5.0043880545802e-90
"ENSG00000167702",1626.88041748611,5.74105161477273,0.289053412060408,4.63453843620149e-89,3.25784879372784e-86,"KIFC2","8:144466043-144474202","+","protein_coding",6.33249394452891e-89
