"gene_id","baseMean","log2FoldChange","lfcSE","pvalue","padj","GeneSymbol","Chromosome","Strand","Class"
"ENSG00000253797",176.537236087821,12.0732331423302,3.23878954485202,7.17790479456497e-13,8.18855378963971e-09,"UTP14C","13:52024691-52033600","+","protein_coding"
"ENSG00000158055",89.851659292279,2.69886142840294,0.44832539336537,8.93300408650922e-11,5.09538553094486e-07,"GRHL3","1:24319322-24364482","+","protein_coding"
"ENSG00000131080",404.674327785558,1.67247139648727,0.33129656022529,3.10792000577248e-08,0.000118183838086175,"EDA2R","X:66595637-66639298","-","protein_coding"
"ENSG00000185246",481.016087288343,1.74041538345526,0.349657003445217,4.33421852899574e-08,0.000123611912446959,"PRPF39","14:45084099-45116282","+","protein_coding"
"ENSG00000257315",169.69575274305,1.81202668020786,0.375398961173701,9.13635849930889e-08,0.000208455155520232,"ZBED6","1:203795714-203854999","+","protein_coding"
"ENSG00000078018",85.544725721641,2.02282644131099,0.428953319536973,1.38364352735152e-07,0.000225494362286087,"MAP2","2:209424058-209734118","+","protein_coding"
"ENSG00000155961",57.2966582826576,2.39325545079805,0.508320291154497,1.28336403655008e-07,0.000225494362286087,"RAB39B","X:155258235-155264491","-","protein_coding"
"ENSG00000235609",110.653689267243,2.02480882974289,0.438105417667336,2.14105094097358e-07,0.000305313864182832,"AF127577.4","21:14818843-15014430","-","lncRNA"
"ENSG00000117569",265.375846913754,1.73259613724496,0.399649012153612,9.2674039910891e-07,0.00117469494144827,"PTBP2","1:96721665-96823738","+","protein_coding"
"ENSG00000005108",709.888023718354,1.31778085329247,0.315438482330639,2.54246059997206e-06,0.00170614061908713,"THSD7A","7:11370365-11832198","-","protein_coding"
"ENSG00000026103",472.066145972692,1.54748732964132,0.373743568458648,2.44782081380688e-06,0.00170614061908713,"FAS","10:88990531-89017059","+","protein_coding"
"ENSG00000105835",8817.53478032642,1.43850025031879,0.343827067858763,1.75203851314192e-06,0.00170614061908713,"NAMPT","7:106248298-106286326","-","protein_coding"
"ENSG00000134186",952.585340021439,1.42470023858825,0.340920798565463,2.29796487059763e-06,0.00170614061908713,"PRPF38B","1:108692310-108702928","+","protein_coding"
"ENSG00000145833",3473.32413619244,1.43168013171677,0.33522768413598,1.53868143891481e-06,0.00170614061908713,"DDX46","5:134758771-134855133","+","protein_coding"
"ENSG00000168079",519.058758675787,1.41458153518694,0.337092413957603,2.13446090188365e-06,0.00170614061908713,"SCARA5","8:27869883-27992673","-","protein_coding"
"ENSG00000253537",61.4388598614722,1.7671985685846,0.422511249701478,1.87646940329929e-06,0.00170614061908713,"PCDHGA7","5:141382739-141512975","+","protein_coding"
"ENSG00000261578",281.249092634649,1.52481374045772,0.364209787300454,2.02403449785597e-06,0.00170614061908713,"AP003119.3","11:76800364-76804555","+","lncRNA"
"ENSG00000164220",836.039941946662,1.36337738749886,0.349801361269752,7.825432045744e-06,0.00487664707037721,"F2RL2","5:76615482-76623413","-","protein_coding"
"ENSG00000196208",113.069065944923,1.54846573312739,0.402549151493744,8.12204543628744e-06,0.00487664707037721,"GREB1","2:11482341-11642788","+","protein_coding"
"ENSG00000145390",303.880007046803,1.23653508037791,0.316923559607384,8.75221371616965e-06,0.00499226270370317,"USP53","4:119212587-119295517","+","protein_coding"
"ENSG00000008086",464.845979842883,1.28847544586931,0.333786654981244,9.69162485366148e-06,0.00502554801502592,"CDKL5","X:18425583-18653629","+","protein_coding"
"ENSG00000049130",446.938952493482,1.25152206930313,0.322620405530646,9.40393945256872e-06,0.00502554801502592,"KITLG","12:88492793-88580851","-","protein_coding"
"ENSG00000060656",635.122950966089,1.33055279052332,0.348712717977587,1.10690135692184e-05,0.00505101227190574,"PTPRU","1:29236516-29326813","+","protein_coding"
"ENSG00000067715",949.864937956803,1.29382178953026,0.336993349793552,1.0600107620267e-05,0.00505101227190574,"SYT1","12:78863993-79452008","+","protein_coding"
"ENSG00000196562",611.477165162438,1.3225367974529,0.346225716514991,1.10257883968204e-05,0.00505101227190574,"SULF2","20:47656348-47786616","-","protein_coding"
"ENSG00000112972",2941.14287726595,1.27757614939984,0.335713157970544,1.23149897594751e-05,0.00540343858369583,"HMGCS1","5:43287470-43313512","-","protein_coding"
"ENSG00000117360",1598.1561405821,1.40801227522594,0.378318421246832,1.4969543653491e-05,0.00632490940737133,"PRPF3","1:150321479-150353233","+","protein_coding"
"ENSG00000160201",433.846670819482,1.65015995225985,0.452168488025977,1.6131640256933e-05,0.00657249114468186,"U2AF1","21:43092956-43107587","-","protein_coding"
"ENSG00000135679",1687.36244007297,1.27648575665205,0.344533353792531,1.82053639288403e-05,0.00702013705081204,"MDM2","12:68808177-68850686","+","protein_coding"
"ENSG00000163728",555.744695464736,1.36106111412442,0.370095101449476,1.84610897198774e-05,0.00702013705081204,"TTC14","3:180602163-180617828","+","protein_coding"
"ENSG00000076685",3377.0661400322,1.2205010265574,0.332267124899229,2.18699009874349e-05,0.00779661970202054,"NT5C2","10:103088017-103193306","-","protein_coding"
"ENSG00000251664",228.542631876027,1.18700336800212,0.32190381272378,2.15362408415087e-05,0.00779661970202054,"PCDHA12","5:140875302-141012347","+","protein_coding"
"ENSG00000177103",62.4898399496396,1.62864597722341,0.460867063045558,2.59190914718327e-05,0.00896015137911115,"DSCAML1","11:117427773-117817525","-","protein_coding"
"ENSG00000170390",243.604196156133,1.2576746286209,0.350288169818435,2.8472404330428e-05,0.00928037681718637,"DCLK2","4:150078445-150257438","+","protein_coding"
"ENSG00000182752",2857.05920092625,1.11697265151363,0.306704234620789,2.8111085958585e-05,0.00928037681718637,"PAPPA","9:116153791-116402321","+","protein_coding"
"ENSG00000107104",439.694277792365,1.14793143706697,0.31860259560073,3.09210811672406e-05,0.00979854705433001,"KANK1","9:470291-746106","+","protein_coding"
"ENSG00000196236",633.094414323949,1.22686426164543,0.344187482211024,3.23983731449029e-05,0.00998920650910952,"XPNPEP3","22:40857077-40932815","+","protein_coding"
"ENSG00000198074",81074.5868160081,1.35591878598199,0.387214303962575,3.63146471893134e-05,0.010902039345676,"AKR1B10","7:134527567-134541412","+","protein_coding"
