"gene_id","baseMean","log2FoldChange","lfcSE","pvalue","padj","GeneSymbol","Chromosome","Strand","Class"
"ENSG00000011275",2163.02715193627,1.26040277840753,0.129921294499025,1.73288636758905e-23,2.54976900127053e-19,"RNF216","7:5620047-5781739","-","protein_coding"
"ENSG00000111641",5139.50084270339,1.14344639299993,0.122568363780177,6.62474308230488e-22,4.8738234856517e-18,"NOP2","12:6556863-6568691","-","protein_coding"
"ENSG00000105605",1043.73799077328,1.40146895588057,0.15855543706193,5.4053663058131e-20,2.65115199412446e-16,"CACNG7","19:53909335-53943941","+","protein_coding"
"ENSG00000103154",257.659266653729,1.60530404282582,0.195642982076404,1.30240745680618e-17,4.79090582986152e-14,"NECAB2","16:83968632-84002776","+","protein_coding"
"ENSG00000135679",3781.28344529802,1.15477116965359,0.14284684590585,3.8730106656141e-17,1.13974957867692e-13,"MDM2","12:68808177-68850686","+","protein_coding"
"ENSG00000134575",473.167680824917,-1.41792852970577,0.180743603688359,2.45897845735259e-16,6.03023483691433e-13,"ACP2","11:47239305-47248906","-","protein_coding"
"ENSG00000005884",14377.8946750131,-1.00134983119489,0.128756736201683,5.84824318135668e-16,1.07563812713103e-12,"ITGA3","17:50055968-50090481","+","protein_coding"
"ENSG00000164329",1352.82447952218,1.09396373112516,0.141033945856499,5.43386387210022e-16,1.07563812713103e-12,"TENT2","5:79612120-79686648","+","protein_coding"
"ENSG00000134574",2159.00662778678,1.02255181130087,0.135664200471175,3.07781707578516e-15,5.03188893923364e-12,"DDB2","11:47214465-47239240","+","protein_coding"
"ENSG00000285589",609.748661556215,1.08047030544459,0.144962593188538,5.65406572435811e-15,8.31939230682052e-12,"AC010422.8","19:12668071-12681834","-","protein_coding"
"ENSG00000182208",717.615003156005,1.07968414864915,0.149767095565065,3.4607400210847e-14,4.62921169729457e-11,"MOB2","11:1469457-1501247","-","protein_coding"
"ENSG00000117360",3770.09267221352,1.0560444262549,0.148757862861999,7.9574478910284e-14,9.21271955189589e-11,"PRPF3","1:150321479-150353233","+","protein_coding"
