"gene_id","baseMean","log2FoldChange","lfcSE","pvalue","padj","GeneSymbol","Chromosome","Strand","Class","qvalue"
"ENSG00000103154",286.291326254132,2.01116822673328,0.310592565448205,6.39094966033692e-12,9.26495972259044e-08,"NECAB2","16:83968632-84002776","+","protein_coding",1.34744531159302e-08
"ENSG00000105605",1139.63975178705,1.78050114230417,0.280473685606394,1.63980709273121e-11,1.14691012384213e-07,"CACNG7","19:53909335-53943941","+","protein_coding",1.66800365620754e-08
"ENSG00000161509",100.226354011828,2.55081629316541,0.408316696531451,2.37340854764874e-11,1.14691012384213e-07,"GRIN2C","17:74842023-74861504","-","protein_coding",1.66800365620754e-08
"ENSG00000011275",2357.22160705513,1.65038637693815,0.26942052022379,7.3779843669933e-11,2.67396598420755e-07,"RNF216","7:5620047-5781739","-","protein_coding",3.88887057975498e-08
"ENSG00000244165",341.816044671235,1.92091991479444,0.318717407782766,1.16369762639994e-10,3.37402489798397e-07,"P2RY11","19:10111693-10115372","+","protein_coding",4.90699815877397e-08
"ENSG00000126562",293.932052780126,2.10781232996081,0.352674515132607,1.4407519782651e-10,3.4810969048182e-07,"WNK4","17:42780610-42797066","+","protein_coding",5.06271785743586e-08
"ENSG00000078018",164.505644260075,2.20504846474438,0.373785625178902,2.2075397990026e-10,4.57181492373439e-07,"MAP2","2:209424058-209734118","+","protein_coding",6.64899877485332e-08
"ENSG00000096968",449.832532876982,1.69577504079616,0.288031858536225,3.01732054303692e-10,5.46776198905078e-07,"JAK2","9:4984390-5128183","+","protein_coding",7.95201541900831e-08
"ENSG00000253741",132.797543781129,1.95817829772063,0.337283436210443,4.26871711432864e-10,6.87595466738026e-07,"LNCOC1","8:142701857-142727016","-","lncRNA",1.00000142004905e-07
"ENSG00000111641",5569.71182969652,1.53526863458181,0.263193480972039,4.90681706761946e-10,7.11341270292793e-07,"NOP2","12:6556863-6568691","-","protein_coding",1.03453602422209e-07
"ENSG00000135679",4078.39363858272,1.52907156120603,0.266818109112301,8.94124387570146e-10,1.17837465878222e-06,"MDM2","12:68808177-68850686","+","protein_coding",1.71376396316614e-07
"ENSG00000163320",2857.37976810578,1.76649071401589,0.317336431144329,1.94037692324884e-09,2.14810423532948e-06,"CGGBP1","3:88051944-88149885","-","protein_coding",3.12408587557092e-07
"ENSG00000169087",389.212765694177,1.55511957941329,0.278403375896042,1.94236296103765e-09,2.14810423532948e-06,"HSPBAP1","3:122739999-122793831","-","protein_coding",3.12408587557092e-07
"ENSG00000285589",657.198429523666,1.47746949754334,0.264558258837137,2.07446087429211e-09,2.14810423532948e-06,"AC010422.8","19:12668071-12681834","-","protein_coding",3.12408587557092e-07
"ENSG00000182208",772.873849230653,1.46264578807015,0.270914554794073,5.98612994044679e-09,5.78539504977714e-06,"MOB2","11:1469457-1501247","-","protein_coding",8.41396365332078e-07
"ENSG00000164329",1466.48540428511,1.47046345077336,0.281786004575205,1.58740975095947e-08,1.35368700939174e-05,"TENT2","5:79612120-79686648","+","protein_coding",1.96872870339828e-06
"ENSG00000223546",132.294946824584,1.66731674037124,0.320751347584972,1.52774775982286e-08,1.35368700939174e-05,"LINC00630","X:102769158-102885406","+","lncRNA",1.96872870339828e-06
"ENSG00000116138",986.703959751545,1.4415531565104,0.278528071426827,2.04778076260519e-08,1.64925987308264e-05,"DNAJC16","1:15526813-15592379","+","protein_coding",2.39859378790949e-06
"ENSG00000278233",142.836439573651,11.5846074308261,3.49102181585349,2.21620131347779e-08,1.69096160218355e-05,"RNA5-8SN2","21:8212572-8212724","+","rRNA",2.45924251283092e-06
"ENSG00000134574",2324.46672196558,1.39312599301448,0.271836380385532,2.61784956191409e-08,1.89754825495343e-05,"DDB2","11:47214465-47239240","+","protein_coding",2.75969089582144e-06
"ENSG00000204344",485.667952294746,1.50634622302652,0.297350799939106,3.4374304892387e-08,2.37297284773778e-05,"STK19","6:31971091-31982821","+","protein_coding",3.45112254554716e-06
"ENSG00000168813",2911.53240784521,1.4709766802759,0.292173566910384,4.18049665326738e-08,2.75475727192806e-05,"ZNF507","19:32345594-32387667","+","protein_coding",4.00636903103387e-06
"ENSG00000159388",235.891186586171,1.60986147643075,0.32286405438289,4.75046252574417e-08,2.9515558957166e-05,"BTG2","1:203305491-203309602","+","protein_coding",4.29258223744993e-06
"ENSG00000186198",185.626196161233,1.60716755624248,0.322545456999787,4.88634486426146e-08,2.9515558957166e-05,"SLC51B","15:65045387-65053397","+","protein_coding",4.29258223744993e-06
"ENSG00000124181",3329.68733769154,1.47632228466111,0.300041764222818,7.4960229310363e-08,4.34679377724933e-05,"PLCG1","20:41136960-41196801","+","protein_coding",6.32174026761848e-06
"ENSG00000117360",4103.95077563296,1.43475439932334,0.2951390085573,1.0380031172248e-07,5.7876658424646e-05,"PRPF3","1:150321479-150353233","+","protein_coding",8.41726617060303e-06
"ENSG00000144589",1384.9109729393,1.40898599437034,0.292335304978765,1.30348025138671e-07,6.74876900155469e-05,"STK11IP","2:219597857-219616451","+","protein_coding",9.81504229100595e-06
"ENSG00000203879",5511.78679544505,1.41173363758226,0.29275012660807,1.29983904292607e-07,6.74876900155469e-05,"GDI1","X:154436913-154443467","+","protein_coding",9.81504229100595e-06
"ENSG00000143512",998.018139099775,1.40779972962307,0.293692748276041,1.48788092967e-07,7.25164394631596e-05,"HHIPL2","1:222522258-222548104","-","protein_coding",1.05463962384862e-05
"ENSG00000198799",921.283358055641,1.33224205426565,0.277156640385023,1.50065060625977e-07,7.25164394631596e-05,"LRIG2","1:113073198-113132260","+","protein_coding",1.05463962384862e-05
"ENSG00000163536",269.724748483885,1.58618247714752,0.334074394441524,1.59744514552696e-07,7.47037492732396e-05,"SERPINI1","3:167735243-167825568","+","protein_coding",1.08645066714336e-05
"ENSG00000067334",1965.77639079808,1.26786728223926,0.266373077097505,2.01667973144079e-07,7.81759439806568e-05,"DNTTIP2","1:93866284-93879918","-","protein_coding",1.13694837700431e-05
"ENSG00000099290",1723.92195593603,1.35180949852883,0.28366978787564,1.79594193908525e-07,7.81759439806568e-05,"WASHC2A","10:50067888-50133509","+","protein_coding",1.13694837700431e-05
"ENSG00000137491",427.479284803632,1.47430437939403,0.311898112908388,1.94681910515537e-07,7.81759439806568e-05,"SLCO2B1","11:75100563-75206549","+","protein_coding",1.13694837700431e-05
"ENSG00000168874",410.819840781575,1.62915394562085,0.344956658846493,1.78530497773148e-07,7.81759439806568e-05,"ATOH8","2:85751344-85791383","+","protein_coding",1.13694837700431e-05
"ENSG00000198848",5029.61368477529,1.39461647054313,0.294699466863711,2.04917284352967e-07,7.81759439806568e-05,"CES1","16:55802851-55833337","-","protein_coding",1.13694837700431e-05
"ENSG00000242485",1472.82805235546,1.36583406868224,0.288144042385359,2.00775539585434e-07,7.81759439806568e-05,"MRPL20","1:1401909-1407293","-","protein_coding",1.13694837700431e-05
"ENSG00000256294",308.627576043859,1.50476761312909,0.31873702739105,1.93000799099867e-07,7.81759439806568e-05,"ZNF225","19:44112181-44134822","+","protein_coding",1.13694837700431e-05
"ENSG00000265817",364.220998836352,1.34749792361492,0.285133434802753,2.17718316615912e-07,8.09298060507919e-05,"FSBP","8:94372170-94436952","-","protein_coding",1.17699904798704e-05
"ENSG00000135407",56.2597360662113,2.02813504306366,0.440658432465811,2.5383411451103e-07,9.19958289516602e-05,"AVIL","12:57797376-57818704","-","protein_coding",1.33793726166755e-05
"ENSG00000258790",195.400358516662,1.82199944528212,0.39427059709278,2.63419908217984e-07,9.3141424620393e-05,"AL121594.1","14:35122549-35317474","+","protein_coding",1.35459818150999e-05
"ENSG00000284820",475.713594820785,1.5324813371827,0.3301063380904,2.7644670310663e-07,9.54201870223052e-05,"AC068946.2","2:219209772-219222738","-","protein_coding",1.38773926152143e-05
"ENSG00000198791",1133.85487828795,1.23502597205979,0.263049098785188,2.85455668626657e-07,9.62383913507128e-05,"CNOT7","8:17224966-17246878","-","protein_coding",1.39963877991383e-05
"ENSG00000106610",377.079381791648,1.36921057756826,0.294505672470681,3.09112111749414e-07,0.000101845415546165,"STAG3L4","7:67302621-67362950","+","transcribed_unprocessed_pseudogene",1.48118428783146e-05
"ENSG00000169297",1803.59453237289,1.26165743361343,0.274045004586519,4.35018525664421e-07,0.00014014363481238,"NR0B1","X:30304206-30309598","-","protein_coding",2.03817274258748e-05
"ENSG00000196236",882.093650339907,1.25104970532938,0.273155542403201,4.85006666669931e-07,0.000152850905363348,"XPNPEP3","22:40857077-40932815","+","protein_coding",2.22298036873717e-05
"ENSG00000126226",1518.11495704043,1.23626983668487,0.270457947580355,5.16497660017236e-07,0.000159312054835529,"PCID2","13:113177539-113208715","-","protein_coding",2.31694780976733e-05
"ENSG00000055163",1017.08138758414,1.22637813768334,0.269993963387511,5.97052818947995e-07,0.000171148411191558,"CYFIP2","5:157266079-157395595","+","protein_coding",2.48908933391652e-05
"ENSG00000130544",288.121917134867,1.44228796453754,0.320327156324485,5.73175516874589e-07,0.000171148411191558,"ZNF557","19:7069703-7087968","+","protein_coding",2.48908933391652e-05
"ENSG00000158055",111.006232327674,1.80074871999901,0.405848919749736,6.02094845193451e-07,0.000171148411191558,"GRHL3","1:24319322-24364482","+","protein_coding",2.48908933391652e-05
"ENSG00000269044",182.369784822635,1.36544384280705,0.302642834364113,5.95639053837126e-07,0.000171148411191558,"AC024075.2","19:16633797-16635269","-","lncRNA",2.48908933391652e-05
"ENSG00000236255",157.746140105396,1.48671271352275,0.332668273734083,6.44236066314641e-07,0.000178296091147326,"AC009404.1","2:117833937-117841658","+","lncRNA",2.59304130061189e-05
"ENSG00000273154",755.571384887637,1.25806088224461,0.278604881141175,6.51837816845437e-07,0.000178296091147326,"AL121845.3","20:63708864-63739103","+","protein_coding",2.59304130061189e-05
"ENSG00000250021",548.541681065789,1.21385750051563,0.268999855423591,6.95865958820954e-07,0.000186814237130136,"ARPIN-AP3S2","15:89834308-89912882","-","protein_coding",2.7169245792409e-05
"ENSG00000243207",119.502554205448,1.63715836092158,0.369889659968577,7.17710627726401e-07,0.000189175472184539,"PPAN-P2RY11","19:10106223-10114780","+","protein_coding",2.75126509661915e-05
"ENSG00000198074",67749.6765183237,1.26856916723098,0.283655908517507,7.32059591029442e-07,0.000189511926627747,"AKR1B10","7:134527567-134541412","+","protein_coding",2.75615830690435e-05
"ENSG00000069696",57.8940243713548,1.85956800241947,0.42486867409831,8.03219133853281e-07,0.000196928715561245,"DRD4","11:637293-640706","+","protein_coding",2.86402404809207e-05
"ENSG00000188522",2286.23436151801,1.24635158930855,0.27845327632586,7.98620814709246e-07,0.000196928715561245,"FAM83G","17:18968789-19004764","-","protein_coding",2.86402404809207e-05
"ENSG00000205853",88.5873257506741,1.84533769654477,0.422710331641523,8.15046073923893e-07,0.000196928715561245,"RFPL3S","22:32359886-32382106","-","lncRNA",2.86402404809207e-05
"ENSG00000255031",276.638572279055,1.53848493007134,0.348162505357706,7.7887655918697e-07,0.000196928715561245,"AP002807.1","11:68050740-68053762","+","lncRNA",2.86402404809207e-05
"ENSG00000174243",6127.04239162998,1.2370638942746,0.277274711333219,8.63266367072814e-07,0.000201851169733139,"DDX23","12:48829756-48852842","-","protein_coding",2.93561354220803e-05
"ENSG00000196421",145.194659240736,1.5852837800947,0.361186449158376,8.59633714959068e-07,0.000201851169733139,"C20orf204","20:64034344-64039962","+","protein_coding",2.93561354220803e-05
"ENSG00000163071",137.258196377614,1.58870983979143,0.363782292492823,9.39509402826445e-07,0.000212813559574609,"SPATA18","4:52051304-52097299","+","protein_coding",3.09504457308157e-05
"ENSG00000249859",2398.39153535079,1.16812913283171,0.261773863321888,9.3364126037399e-07,0.000212813559574609,"PVT1","8:127794526-128187101","+","lncRNA",3.09504457308157e-05
