"gene_id","baseMean","log2FoldChange","lfcSE","pvalue","padj","GeneSymbol","Chromosome","Strand","Class","qvalue"
"ENSG00000173209",3205.63657330524,4.94701158737925,0.283079633104602,1.59233500875682e-69,2.30108332115448e-65,"AHSA2P","2:61177418-61191203","+","transcribed_unitary_pseudogene",6.10437127435879e-66
"ENSG00000228526",558.211673276615,6.5806775995867,0.383703866514018,4.06523042359801e-67,2.93733224257075e-63,"MIR34AHG","1:9148011-9198906","-","lncRNA",7.79222829523651e-64
"ENSG00000245532",19366.2275638439,4.97672571764115,0.299144465862475,3.80125176677388e-63,1.83106297605498e-59,"NEAT1","11:65422774-65445540","+","lncRNA",4.85748957015778e-60
"ENSG00000213903",1116.68695309866,4.80093112296681,0.297687739383531,1.12296776483615e-59,4.0570017924118e-56,"LTB4R","14:24311450-24318036","+","protein_coding",1.07625156264205e-56
"ENSG00000261786",1126.53577565534,5.87076662297812,0.366426889828293,4.32705054801382e-59,1.25060414938695e-55,"AC006058.1","3:44117299-44122365","+","lncRNA",3.31763390526923e-56
"ENSG00000250067",382.074317318415,5.28438182432247,0.34340005485728,1.83095179714369e-54,4.40984740342057e-51,"YJEFN3","19:19528861-19537581","+","protein_coding",1.16985532710917e-51
"ENSG00000232931",330.819017761068,5.77084378459199,0.390558739579207,4.16231950746929e-50,8.59281131463411e-47,"LINC00342","2:95807052-95835003","-","lncRNA",2.27952243505555e-47
"ENSG00000262580",324.908160723646,5.53937655476035,0.37938373480236,2.51384060348963e-49,4.54093882012858e-46,"AC087741.1","17:80200673-80205949","-","lncRNA",1.2046315853659e-46
"ENSG00000251562",24174.5373501173,5.79143051088444,0.397600746002221,3.4488338640067e-49,5.53767757430676e-46,"MALAT1","11:65497688-65506516","+","lncRNA",1.46904893014909e-46
"ENSG00000073605",407.204839335636,4.54230835536635,0.314547582773129,2.54406157808904e-48,3.67642338649648e-45,"GSDMB","17:39904595-39919854","-","protein_coding",9.75290773115092e-46
"ENSG00000264112",2362.42675018835,5.29291512374163,0.367477090186778,2.97302315033778e-48,3.9057415950483e-45,"AC015813.1","17:57989039-57994850","-","lncRNA",1.0361248799074e-45
"ENSG00000088340",313.445166175259,4.97001594410712,0.346344221922468,1.11148298141732e-47,1.25397192240531e-44,"FER1L4","20:35558737-35607562","-","transcribed_unitary_pseudogene",3.32656801759921e-45
"ENSG00000115414",2901.71043892868,3.85498601733761,0.268787608981436,1.1280627632184e-47,1.25397192240531e-44,"FN1","2:215360440-215436073","-","protein_coding",3.32656801759921e-45
"ENSG00000172037",2488.34181065109,4.46950359431429,0.312348570139758,1.4351173372522e-47,1.48134861718796e-44,"LAMB2","3:49121114-49133118","-","protein_coding",3.92975858933109e-45
"ENSG00000005206",901.877737739572,4.26804656496706,0.299846884855311,4.39375702995763e-47,4.23294552266118e-44,"SPPL2B","19:2328615-2355095","+","protein_coding",1.12292635459609e-44
"ENSG00000158286",650.96300767158,4.57326268572104,0.3247109836021,3.05875955934511e-46,2.76263339950601e-43,"RNF207","1:6205475-6221299","+","protein_coding",7.32878284349466e-44
"ENSG00000114270",3166.47355472091,4.59345892788337,0.329553899215256,2.64868615172506e-45,2.12645353214327e-42,"COL7A1","3:48564073-48595267","-","protein_coding",5.64110901093387e-43
"ENSG00000121716",2333.87345732047,4.01320994635438,0.287694832910814,2.61762035947723e-45,2.12645353214327e-42,"PILRB","7:100352176-100367733","+","protein_coding",5.64110901093387e-43
"ENSG00000101104",756.682522482007,4.52612017671227,0.325961351333935,4.84913822909296e-45,3.51847044406959e-42,"PABPC1L","20:44910062-44959035","+","protein_coding",9.33388622263493e-43
"ENSG00000160781",251.339444332131,5.91628982604793,0.425266342822107,4.869518295024e-45,3.51847044406959e-42,"PAQR6","1:156243320-156248117","-","protein_coding",9.33388622263493e-43
"ENSG00000188933",852.911875288569,4.16438847058081,0.2999214866105,6.33592512413066e-45,4.36002161756249e-42,"USP32P1","17:16786489-16804455","+","transcribed_unprocessed_pseudogene",1.15663741826083e-42
"ENSG00000188153",838.791679768491,4.44344252836824,0.32255898933662,2.85283192870053e-44,1.87392155462052e-41,"COL4A5","X:108439844-108697545","+","protein_coding",4.97118587721896e-42
"ENSG00000198804",272848.189997742,3.96224714671129,0.289152839646995,9.15787512909008e-44,5.75393276045569e-41,"MT-CO1","MT:5904-7445","+","protein_coding",1.52641764575024e-41
"ENSG00000167524",483.218876287918,4.43597072552318,0.325065029769401,1.89446860627632e-43,1.14070690955413e-40,"RSKR","17:28607964-28614200","-","protein_coding",3.0260957641687e-41
"ENSG00000215252",2346.85406867154,4.14931247886096,0.304688992014565,2.50399371709738e-43,1.44740852823097e-40,"GOLGA8B","15:34525207-34588503","-","protein_coding",3.83972147412818e-41
"ENSG00000198786",22386.2718007045,4.03230028699908,0.298849252044167,1.12030803431747e-42,6.22675823227758e-40,"MT-ND5","MT:12337-14148","+","protein_coding",1.65184996718946e-40
"ENSG00000110719",2333.65592507265,4.08776166566495,0.303846766182748,2.41634460676437e-42,1.29328133008711e-39,"TCIRG1","11:68039025-68050895","+","protein_coding",3.43084899554503e-40
"ENSG00000230590",1368.31647618392,4.82622161516983,0.359996149153898,3.61103669882911e-42,1.86368183338498e-39,"FTX","X:73940435-74293574","-","lncRNA",4.94402168911981e-40
"ENSG00000167615",7360.21724546318,3.64797255602521,0.273108722769563,7.932308046689e-42,3.82099278609009e-39,"LENG8","19:54448887-54462037","+","protein_coding",1.01364250431567e-39
"ENSG00000198695",4431.55511781642,4.38421161341639,0.328503887907339,7.83109486695159e-42,3.82099278609009e-39,"MT-ND6","MT:14149-14673","-","protein_coding",1.01364250431567e-39
"ENSG00000214021",457.872832850888,4.38664874311834,0.335715404877319,3.21729806898524e-40,1.49977981919051e-37,"TTLL3","3:9808086-9855138","+","protein_coding",3.97865334208597e-38
"ENSG00000213599",1048.15097914483,4.33565448054591,0.333975012013742,1.40935214437067e-39,6.36454619946894e-37,"SLX1A-SULT1A3","16:30193892-30204310","+","lncRNA",1.68840270307445e-37
"ENSG00000230606",233.58678004583,5.77868422859851,0.447124767387213,1.64555737561561e-39,7.2060453439458e-37,"AC092683.1","2:97416165-97433527","-","lncRNA",1.91163769668454e-37
