"gene_id","baseMean","log2FoldChange","lfcSE","pvalue","padj","GeneSymbol","Chromosome","Strand","Class"
"ENSG00000215252",4412.52878512649,6.73100483238873,0.292073085171701,7.62143239669008e-119,1.34396338883233e-114,"GOLGA8B","15:34525207-34588503","-","protein_coding"
"ENSG00000121716",4378.14912794616,6.83499791676337,0.297990595257051,8.18730067418482e-118,7.21874300442876e-114,"PILRB","7:100352176-100367733","+","protein_coding"
"ENSG00000283486",1445.03615027973,6.98556209325267,0.307935285254597,1.30909390165516e-115,7.69485395392902e-112,"FAM95C","9:38540569-38577207","-","protein_coding"
"ENSG00000228526",1088.69589428391,8.28897491490313,0.365243945534031,4.3229808723172e-115,1.90578611756104e-111,"MIR34AHG","1:9148011-9198906","-","lncRNA"
"ENSG00000266086",1936.60387676792,7.3327180548311,0.32875655160189,7.95377364541536e-112,2.80513688926509e-108,"AC015813.2","17:57989038-58007246","-","protein_coding"
"ENSG00000173209",6174.17416095059,6.95274191628713,0.319648505884595,3.12532726816131e-106,9.18533684112609e-103,"AHSA2P","2:61177418-61191203","+","transcribed_unitary_pseudogene"
"ENSG00000138834",4964.32236521321,6.82610994198646,0.31995984996305,2.65813847777656e-102,6.69623055958741e-99,"MAPK8IP3","16:1706183-1770317","+","protein_coding"
"ENSG00000205560",1630.97046108464,6.82158664718808,0.323574254808189,3.04851859624372e-100,6.71969711577021e-97,"CPT1B","22:50568861-50578465","-","protein_coding"
"ENSG00000233237",1027.45382024991,6.73964534592922,0.325667972169891,8.9508104107348e-97,1.75376211980997e-93,"LINC00472","6:71343427-71420745","-","lncRNA"
"ENSG00000128159",1866.67661997197,6.21970631076252,0.302584686233695,3.17703668743439e-95,5.6023864946218e-92,"TUBGCP6","22:50217689-50245023","-","protein_coding"
"ENSG00000142102",911.030619446004,7.21542421579019,0.351931443454382,4.95924093485488e-95,7.95011405865735e-92,"PGGHG","11:289135-296107","+","protein_coding"
"ENSG00000213903",2133.57846259663,7.44851370545782,0.363700528109271,5.64959178600503e-95,8.30207512953439e-92,"LTB4R","14:24311450-24318036","+","protein_coding"
"ENSG00000167524",917.513486889278,7.31206647555985,0.358925439698131,5.05763470371239e-94,6.86048695117418e-91,"RSKR","17:28607964-28614200","-","protein_coding"
"ENSG00000232931",644.937438913204,7.57808232574125,0.372113334095467,1.41823307296372e-93,1.78636585776016e-90,"LINC00342","2:95807052-95835003","-","lncRNA"
"ENSG00000186166",1263.745893263,7.24133733100438,0.356765754198894,1.80805367523456e-93,2.12554790060575e-90,"CCDC84","11:118998138-119015793","+","protein_coding"
"ENSG00000196689",1129.14964941149,5.7055549004438,0.2815800473488,1.68095722504696e-92,1.84736275678207e-89,"TRPV1","17:3565444-3609411","-","protein_coding"
"ENSG00000203896",1151.40812818809,6.5214918672413,0.322579404983128,1.78094402094223e-92,1.84736275678207e-89,"LIME1","20:63736283-63739103","+","protein_coding"
"ENSG00000169203",970.872530562558,5.79862308274696,0.287951596837964,2.28867913031848e-91,2.24214265466867e-88,"NPIPB12","16:29483642-29505999","-","protein_coding"
"ENSG00000214021",872.696594351718,6.58860063860244,0.329287885367129,1.14768648201604e-90,1.06517386441425e-87,"TTLL3","3:9808086-9855138","+","protein_coding"
"ENSG00000167702",1626.88041748611,5.74162993636696,0.286612761914128,1.49635761807357e-90,1.31933851185547e-87,"KIFC2","8:144466043-144474202","+","protein_coding"
"ENSG00000213599",1996.63853743086,6.94685109350039,0.349051183561992,1.87220812838932e-89,1.57211991123892e-86,"SLX1A-SULT1A3","16:30193892-30204310","+","lncRNA"
"ENSG00000184445",3555.40337539269,5.69467664140224,0.28653501459596,4.12964506453234e-89,3.31009823036197e-86,"KNTC1","12:122527246-122626396","+","protein_coding"
"ENSG00000158286",1240.35196961676,6.72404776664601,0.339941721040934,8.78741669992886e-89,6.73727417767589e-86,"RNF207","1:6205475-6221299","+","protein_coding"
"ENSG00000274512",2478.43691232651,6.40966353761913,0.323575867020579,9.32064347061661e-89,6.84834279003556e-86,"TBC1D3L","17:37977972-37989048","-","protein_coding"
"ENSG00000167615",13720.2987837066,5.75209437084816,0.290431371583084,2.48044146793695e-88,1.749604193824e-85,"LENG8","19:54448887-54462037","+","protein_coding"
"ENSG00000146067",1654.94351753213,5.97766914003021,0.304898220550863,5.92977298660136e-87,4.02175449406648e-84,"FAM193B","5:177519789-177554563","-","protein_coding"
"ENSG00000272752",1462.07597918941,5.99279123876066,0.307517510193901,5.50676347338113e-86,3.59652841072603e-83,"STAG3L5P-PVRIG2P-PILRB","7:100336104-100367831","+","lncRNA"
"ENSG00000264112",4543.84816493304,7.1288643364227,0.366557826842492,1.15556427948987e-85,7.27757875161585e-83,"AC015813.1","17:57989039-57994850","-","lncRNA"
"ENSG00000230551",1452.27988372341,6.03482870468368,0.31053378066291,1.97289756886121e-85,1.19965778376891e-82,"AC021078.1","5:149494314-149504670","-","lncRNA"
"ENSG00000104899",1592.63195740502,6.73020060743664,0.347577460479082,3.57365425321534e-85,2.10059397003998e-82,"AMH","19:2249309-2252073","+","protein_coding"
"ENSG00000142303",2179.08175430272,6.00678328432112,0.311609713583212,3.79478243691576e-84,2.15861914492169e-81,"ADAMTS10","19:8580240-8610735","-","protein_coding"
"ENSG00000114771",1296.83988261646,5.76884326625865,0.300350448065027,1.42872413806929e-83,7.87316295334807e-81,"AADAC","3:151814073-151828488","+","protein_coding"
"ENSG00000188933",1610.86965261803,6.72054516138216,0.351168369435067,3.452412097701e-83,1.84484348275332e-80,"USP32P1","17:16786489-16804455","+","transcribed_unprocessed_pseudogene"
"ENSG00000102287",1385.15106377241,7.35151968461899,0.385927691980012,7.95541323536911e-83,4.12605167624997e-80,"GABRE","X:151953124-151974680","-","protein_coding"
"ENSG00000026036",862.173903168413,6.69389876923846,0.351237059918945,1.62925860445608e-82,8.20867035170816e-80,"RTEL1-TNFRSF6B","20:63659300-63698684","+","protein_coding"
"ENSG00000101104",1439.73037891638,6.90575005766914,0.364570960429339,9.3775386242344e-82,4.59343100277081e-79,"PABPC1L","20:44910062-44959035","+","protein_coding"
