"gene_id","baseMean","log2FoldChange","lfcSE","pvalue","padj","GeneSymbol","Chromosome","Strand","Class"
"ENSG00000253797",176.537236087821,12.0732751389867,3.23881305112594,7.17790479456497e-13,8.15122868470798e-09,"UTP14C","13:52024691-52033600","+","protein_coding"
"ENSG00000158055",89.851659292279,2.70071305426998,0.445101823051649,6.64540464528629e-11,3.77326075759356e-07,"GRHL3","1:24319322-24364482","+","protein_coding"
"ENSG00000131080",404.674327785558,1.67226169123511,0.331810902414073,3.26512983760288e-08,0.000123596048119394,"EDA2R","X:66595637-66639298","-","protein_coding"
"ENSG00000185246",481.016087288343,1.7400585996455,0.350359804370549,4.60680775425336e-08,0.000130787272143253,"PRPF39","14:45084099-45116282","+","protein_coding"
"ENSG00000078018",85.544725721641,2.02559501435173,0.425289775213155,1.1025786431534e-07,0.000178869758166429,"MAP2","2:209424058-209734118","+","protein_coding"
"ENSG00000155961",57.2966582826576,2.39723631690443,0.50276881789039,9.58963568697599e-08,0.000178869758166429,"RAB39B","X:155258235-155264491","-","protein_coding"
"ENSG00000257315",169.69575274305,1.81290124040574,0.374217017365476,8.40505431256382e-08,0.000178869758166429,"ZBED6","1:203795714-203854999","+","protein_coding"
"ENSG00000235609",110.653689267243,2.02692712004873,0.43545452133342,1.83405871759696e-07,0.000260344634962888,"AF127577.4","21:14818843-15014430","-","lncRNA"
"ENSG00000117569",265.375846913754,1.73285581475491,0.399481043636123,9.20808105804079e-07,0.00116185520550124,"PTBP2","1:96721665-96823738","+","protein_coding"
"ENSG00000253537",61.4388598614722,1.77151632481929,0.416993210793529,1.41678215857534e-06,0.00160889781927816,"PCDHGA7","5:141382739-141512975","+","protein_coding"
"ENSG00000105835",8817.53478032642,1.43642854999,0.345724474823828,1.96742199228472e-06,0.00176734104521471,"NAMPT","7:106248298-106286326","-","protein_coding"
"ENSG00000145833",3473.32413619244,1.42985230992164,0.336896076804756,1.72512800939672e-06,0.00176734104521471,"DDX46","5:134758771-134855133","+","protein_coding"
"ENSG00000261578",281.249092634649,1.52502189245232,0.364139035996656,2.02319774461001e-06,0.00176734104521471,"AP003119.3","11:76800364-76804555","+","lncRNA"
