"TXNAME","GENEID"
"ENST00000456328","ENSG00000223972"
"ENST00000450305","ENSG00000223972"
"ENST00000473358","ENSG00000243485"
"ENST00000469289","ENSG00000243485"
"ENST00000607096","ENSG00000284332"
"ENST00000606857","ENSG00000268020"
"ENST00000642116","ENSG00000240361"
"ENST00000492842","ENSG00000240361"
"ENST00000641515","ENSG00000186092"
"ENST00000335137","ENSG00000186092"
"ENST00000442987","ENSG00000233750"
"ENST00000496488","ENSG00000241599"
"ENST00000624431","ENSG00000279928"
"ENST00000669836","ENSG00000286448"
"ENST00000450983","ENSG00000236601"
"ENST00000412666","ENSG00000236601"
"ENST00000635159","ENSG00000236601"
"ENST00000437905","ENSG00000269732"
"ENST00000432723","ENSG00000233653"
"ENST00000423796","ENSG00000235146"
"ENST00000450696","ENSG00000235146"
"ENST00000416931","ENSG00000225972"
"ENST00000457540","ENSG00000225630"
"ENST00000414273","ENSG00000237973"
"ENST00000427426","ENSG00000229344"
"ENST00000467115","ENSG00000240409"
"ENST00000514057","ENSG00000248527"
"ENST00000416718","ENSG00000198744"
"ENST00000438434","ENSG00000268663"
"ENST00000440782","ENSG00000229376"
"ENST00000422528","ENSG00000229905"
"ENST00000655765","ENSG00000237491"
"ENST00000412115","ENSG00000237491"
"ENST00000670700","ENSG00000237491"
"ENST00000429505","ENSG00000237491"
"ENST00000657896","ENSG00000237491"
"ENST00000434264","ENSG00000237491"
"ENST00000457084","ENSG00000237491"
"ENST00000658648","ENSG00000237491"
"ENST00000656571","ENSG00000237491"
"ENST00000665867","ENSG00000237491"
"ENST00000669749","ENSG00000237491"
"ENST00000666217","ENSG00000237491"
"ENST00000665719","ENSG00000237491"
"ENST00000651411","ENSG00000237491"
"ENST00000589899","ENSG00000237491"
"ENST00000609830","ENSG00000237491"
"ENST00000443772","ENSG00000237491"
"ENST00000644482","ENSG00000285268"
"ENST00000585826","ENSG00000237491"
"ENST00000592547","ENSG00000237491"
"ENST00000586928","ENSG00000237491"
"ENST00000585745","ENSG00000237491"
"ENST00000585768","ENSG00000237491"
"ENST00000590848","ENSG00000237491"
"ENST00000591440","ENSG00000237491"
"ENST00000587530","ENSG00000237491"
"ENST00000593022","ENSG00000237491"
"ENST00000589531","ENSG00000237491"
"ENST00000588951","ENSG00000237491"
"ENST00000586288","ENSG00000237491"
"ENST00000591702","ENSG00000237491"
"ENST00000655384","ENSG00000237491"
"ENST00000667728","ENSG00000237491"
"ENST00000326734","ENSG00000177757"
"ENST00000624927","ENSG00000228794"
"ENST00000623808","ENSG00000228794"
"ENST00000445118","ENSG00000228794"
"ENST00000669922","ENSG00000228794"
"ENST00000670780","ENSG00000228794"
"ENST00000667414","ENSG00000228794"
"ENST00000666741","ENSG00000228794"
"ENST00000623070","ENSG00000228794"
"ENST00000659124","ENSG00000228794"
"ENST00000658846","ENSG00000228794"
"ENST00000608189","ENSG00000228794"
"ENST00000448975","ENSG00000228794"
"ENST00000449005","ENSG00000228794"
"ENST00000441765","ENSG00000228794"
"ENST00000609139","ENSG00000228794"
"ENST00000609009","ENSG00000228794"
"ENST00000657837","ENSG00000228794"
"ENST00000610067","ENSG00000228794"
"ENST00000416570","ENSG00000228794"
"ENST00000661237","ENSG00000228794"
"ENST00000668541","ENSG00000228794"
"ENST00000657175","ENSG00000228794"
"ENST00000660797","ENSG00000228794"
"ENST00000622921","ENSG00000228794"
"ENST00000670824","ENSG00000228794"
"ENST00000415295","ENSG00000228794"
"ENST00000425657","ENSG00000228794"
"ENST00000671208","ENSG00000228794"
"ENST00000661463","ENSG00000228794"
"ENST00000415481","ENSG00000234711"
"ENST00000607769","ENSG00000272438"
"ENST00000448179","ENSG00000230699"
"ENST00000398216","ENSG00000241180"
"ENST00000420190","ENSG00000187634"
"ENST00000437963","ENSG00000187634"
"ENST00000342066","ENSG00000187634"
"ENST00000616016","ENSG00000187634"
"ENST00000616125","ENSG00000187634"
"ENST00000617307","ENSG00000187634"
"ENST00000618181","ENSG00000187634"
"ENST00000618323","ENSG00000187634"
"ENST00000618779","ENSG00000187634"
"ENST00000620200","ENSG00000187634"
"ENST00000622503","ENSG00000187634"
"ENST00000341065","ENSG00000187634"
"ENST00000455979","ENSG00000187634"
"ENST00000478729","ENSG00000187634"
"ENST00000474461","ENSG00000187634"
"ENST00000466827","ENSG00000187634"
"ENST00000464948","ENSG00000187634"
"ENST00000338591","ENSG00000187961"
"ENST00000622660","ENSG00000187961"
"ENST00000463212","ENSG00000187961"
"ENST00000466300","ENSG00000187961"
"ENST00000481067","ENSG00000187961"
"ENST00000379410","ENSG00000187583"
"ENST00000379407","ENSG00000187583"
"ENST00000379409","ENSG00000187583"
"ENST00000480267","ENSG00000187583"
"ENST00000491024","ENSG00000187583"
"ENST00000624697","ENSG00000187608"
"ENST00000624652","ENSG00000187608"
"ENST00000649529","ENSG00000187608"
"ENST00000379370","ENSG00000188157"
"ENST00000620552","ENSG00000188157"
"ENST00000651234","ENSG00000188157"
"ENST00000652369","ENSG00000188157"
"ENST00000469403","ENSG00000188157"
"ENST00000479707","ENSG00000188157"
"ENST00000466223","ENSG00000188157"
"ENST00000478677","ENSG00000188157"
"ENST00000492947","ENSG00000188157"
"ENST00000461111","ENSG00000188157"
"ENST00000418300","ENSG00000242590"
"ENST00000394517","ENSG00000217801"
"ENST00000427998","ENSG00000217801"
"ENST00000456409","ENSG00000217801"
"ENST00000412397","ENSG00000217801"
"ENST00000433695","ENSG00000217801"
"ENST00000451054","ENSG00000217801"
"ENST00000648183","ENSG00000285812"
"ENST00000416774","ENSG00000223823"
"ENST00000384997","ENSG00000207730"
"ENST00000384875","ENSG00000207607"
"ENST00000362106","ENSG00000198976"
"ENST00000606993","ENSG00000272141"
"ENST00000506177","ENSG00000162571"
"ENST00000379290","ENSG00000162571"
"ENST00000379289","ENSG00000162571"
"ENST00000379288","ENSG00000162571"
"ENST00000460998","ENSG00000162571"
"ENST00000514695","ENSG00000162571"
"ENST00000486379","ENSG00000162571"
"ENST00000379198","ENSG00000176022"
"ENST00000434139","ENSG00000230415"
"ENST00000453732","ENSG00000230415"
"ENST00000379116","ENSG00000162572"
"ENST00000379101","ENSG00000162572"
"ENST00000338555","ENSG00000162572"
"ENST00000400928","ENSG00000162572"
"ENST00000470022","ENSG00000162572"
"ENST00000325425","ENSG00000162572"
"ENST00000467651","ENSG00000162572"
"ENST00000379099","ENSG00000162572"
"ENST00000379031","ENSG00000169972"
"ENST00000470520","ENSG00000169972"
"ENST00000463758","ENSG00000169972"
"ENST00000467712","ENSG00000169972"
"ENST00000493657","ENSG00000169972"
