"gene_id","baseMean","log2FoldChange","lfcSE","pvalue","padj","GeneSymbol","Chromosome","Strand","Class"
"ENSG00000214548",2372.36764826489,7.35247780849825,0.290469443052319,1.39197107714778e-142,2.66673818959972e-138,"MEG3","14:100779410-100861031","+","lncRNA"
"ENSG00000264112",3199.51911771435,6.84496213403508,0.276929988512896,5.16086276227545e-136,4.94359043998365e-132,"AC015813.1","17:57989039-57994850","-","lncRNA"
"ENSG00000215252",4526.41390112321,6.8190252447464,0.295846298181899,6.52585347113772e-119,4.16741002666855e-115,"GOLGA8B","15:34525207-34588503","-","protein_coding"
"ENSG00000267519",2275.72924664894,5.7644793777363,0.253101174532879,7.85625504514667e-116,3.762753353873e-112,"AC020916.1","19:13823880-13842928","-","lncRNA"
"ENSG00000261786",2613.60614332247,7.02224720702219,0.317821936355445,2.49092895110478e-109,9.54424336905307e-106,"AC006058.1","3:44117299-44122365","+","lncRNA"
"ENSG00000121716",4007.1224473746,7.04724426472311,0.321519402960465,8.77325918274659e-108,2.80130165705098e-104,"PILRB","7:100352176-100367733","+","protein_coding"
"ENSG00000245532",60029.2829200751,6.24417285610512,0.285443224914745,2.62812916259816e-107,7.19281407100794e-104,"NEAT1","11:65422774-65445540","+","lncRNA"
"ENSG00000186594",1408.44078092476,5.63780108216088,0.257927220239804,7.75286492453211e-107,1.85661732780233e-103,"MIR22HG","17:1711493-1717174","-","lncRNA"
"ENSG00000188933",2010.09570624426,6.78309863135088,0.314408864299455,1.91121640847942e-104,4.06834266151652e-101,"USP32P1","17:16786489-16804455","+","transcribed_unprocessed_pseudogene"
"ENSG00000186166",1037.24947566491,5.99741393649091,0.281952072821546,9.16903112669978e-102,1.75660298325314e-98,"CCDC84","11:118998138-119015793","+","protein_coding"
"ENSG00000213903",1468.2835336915,6.86913741516329,0.323638001572546,1.95233585270946e-101,3.4002591151098e-98,"LTB4R","14:24311450-24318036","+","protein_coding"
"ENSG00000221978",5851.19743855737,5.95467359876749,0.280984372698317,5.09965665598219e-101,8.14160185127557e-98,"CCNL2","1:1385711-1399335","-","protein_coding"
"ENSG00000281398",2519.23666905357,4.80756814404802,0.227110155424413,1.48711948882117e-100,2.19155655129508e-97,"SNHG4","5:139274102-139284899","+","lncRNA"
"ENSG00000255717",5248.16914768377,5.19592008768016,0.24731910346605,3.50080056567204e-99,4.79059551693893e-96,"SNHG1","11:62851984-62855953","-","lncRNA"
"ENSG00000167615",15183.640262227,6.39374241737115,0.304630792293152,5.71786098669113e-99,7.30285205220192e-96,"LENG8","19:54448887-54462037","+","protein_coding"
"ENSG00000277701",596.363459783825,7.18653642858418,0.345245456969017,2.80395831843721e-97,3.35738959153876e-94,"AC159540.2","2:97281356-97291849","+","lncRNA"
"ENSG00000173209",6023.95528077553,6.66795861284243,0.322193712397315,2.31216611291037e-96,2.60567519947864e-93,"AHSA2P","2:61177418-61191203","+","transcribed_unitary_pseudogene"
"ENSG00000102287",1749.67463633814,6.63017596302602,0.322043216838392,2.18291587260691e-95,2.32335012707796e-92,"GABRE","X:151953124-151974680","-","protein_coding"
"ENSG00000223749",531.225681500077,6.67711274497886,0.325362687360525,1.11605727318312e-94,1.12533817050748e-91,"MIR503HG","X:134543119-134546642","-","lncRNA"
"ENSG00000101104",1785.20485786477,6.60417967474712,0.322443799208642,1.31877977960054e-94,1.26325915087936e-91,"PABPC1L","20:44910062-44959035","+","protein_coding"
"ENSG00000139182",2521.77880270549,6.09430378163619,0.2986550324828,8.43400493287609e-94,7.6942222144781e-91,"CLSTN3","12:7129698-7158945","+","protein_coding"
"ENSG00000251562",32870.2380561812,6.73510554107927,0.330761738414794,4.09281761479729e-93,3.5640999938312e-90,"MALAT1","11:65497688-65506516","+","lncRNA"
"ENSG00000138834",2884.93999728137,6.45482155135518,0.317801420313909,5.62484218983792e-93,4.68524898577891e-90,"MAPK8IP3","16:1706183-1770317","+","protein_coding"
"ENSG00000204149",935.541268017284,6.96345243147339,0.343651231421467,2.63244275213222e-92,2.10134742688954e-89,"AGAP6","10:49988318-50010499","+","protein_coding"
"ENSG00000228526",870.44283036701,8.12804220714303,0.40163575420795,2.96848628447667e-92,2.27481040952016e-89,"MIR34AHG","1:9148011-9198906","-","lncRNA"
"ENSG00000223705",2194.68594097866,6.51807891620183,0.323921380688151,2.52579220314522e-91,1.86112027030216e-88,"NSUN5P1","7:75410322-75416787","+","transcribed_unprocessed_pseudogene"
"ENSG00000179304",1319.68594756752,5.93143305384285,0.297019248444397,4.82214024927912e-90,3.42157640354405e-87,"FAM156B","X:52891306-52908560","+","protein_coding"
"ENSG00000114857",3019.293903169,5.7914456509348,0.290308408914458,9.67771462401255e-90,6.62163059881544e-87,"NKTR","3:42600655-42648735","+","protein_coding"
"ENSG00000198625",2710.30299705993,5.08329178967165,0.255791894593418,4.48752777215207e-89,2.96455369168584e-86,"MDM4","1:204516379-204558120","+","protein_coding"
"ENSG00000178773",2590.56687376895,5.47365981608885,0.276828059714456,3.06459806560344e-88,1.95705232469435e-85,"CPNE7","16:89575758-89597246","+","protein_coding"
"ENSG00000197261",643.156992931371,5.36643218471511,0.273606471433677,6.21749199601776e-87,3.84241005353898e-84,"C6orf141","6:49550646-49561907","+","protein_coding"
"ENSG00000249859",1754.74200915498,4.68704107464318,0.238916251972508,8.08663827480783e-87,4.84136925214901e-84,"PVT1","8:127794526-128187101","+","lncRNA"
"ENSG00000130844",2349.67691637096,5.47117314907991,0.279907616802816,2.98709702814842e-86,1.7341456019778e-83,"ZNF331","19:53519527-53580269","+","protein_coding"
"ENSG00000275216",1826.28231494777,5.08298928914394,0.260825474778754,9.7448357665777e-86,5.49092834164987e-83,"AL161431.1","13:109269634-109278512","+","lncRNA"
"ENSG00000144802",808.819466812979,5.64051820075966,0.290757596405939,6.54996504857407e-85,3.58526372573091e-82,"NFKBIZ","3:101827991-101861022","+","protein_coding"
"ENSG00000232931",1033.98330052507,7.40183757034368,0.385438191202433,6.33821619617963e-84,3.37298738573359e-81,"LINC00342","2:95807052-95835003","-","lncRNA"
"ENSG00000158286",1313.83009581319,5.67242688919486,0.294705769658944,1.07371199476292e-83,5.55950659342381e-81,"RNF207","1:6205475-6221299","+","protein_coding"
"ENSG00000204172",781.332505101084,6.10069300990849,0.31782018279319,2.37764843951623e-83,1.19871023169084e-80,"AGAP9","10:47501854-47523638","-","protein_coding"
"ENSG00000104899",1023.73349437096,6.12849046009452,0.319771216102738,3.46144394221695e-83,1.70036777038442e-80,"AMH","19:2249309-2252073","+","protein_coding"
"ENSG00000110888",1432.2181800352,5.56408568445817,0.291007296699802,1.14632452170875e-82,5.49032129672405e-80,"CAPRIN2","12:30709552-30754951","-","protein_coding"
"ENSG00000243716",1706.23300558669,5.99144402962479,0.313440653406867,1.31527840241649e-82,6.14587893499879e-80,"NPIPB5","16:22479121-22536521","+","protein_coding"
"ENSG00000163660",2850.79462813911,4.90077868922781,0.257174133306739,4.17975825788287e-82,1.90656687391715e-79,"CCNL1","3:157146508-157160760","-","protein_coding"
"ENSG00000166012",3612.65791717389,4.39308513882845,0.230973711817032,9.25959477945188e-82,4.12547248336602e-79,"TAF1D","11:93729948-93784391","-","protein_coding"
"ENSG00000284946",1291.92910871566,6.24678911406479,0.329351550385268,1.63314575141337e-81,7.11086506944939e-79,"AC068831.7","15:90966190-91022566","-","protein_coding"
"ENSG00000260280",553.164716111439,5.59353704511064,0.295285105406142,4.01944393154208e-81,1.71121126312185e-78,"SLX1B-SULT1A4","16:29455105-29464963","+","lncRNA"
