"gene_id","baseMean","log2FoldChange","lfcSE","pvalue","padj","GeneSymbol","Chromosome","Strand","Class"
"ENSG00000173209",3205.63657330524,4.94743793303316,0.280753856501604,1.20541503759681e-70,2.18831045925326e-66,"AHSA2P","2:61177418-61191203","+","transcribed_unitary_pseudogene"
"ENSG00000228526",558.211673276615,6.58076136091442,0.383321370329973,3.01722456459929e-67,2.73873473728677e-63,"MIR34AHG","1:9148011-9198906","-","lncRNA"
"ENSG00000245532",19366.2275638439,4.98003850070071,0.296531091673145,3.3166114888748e-64,2.00699216563444e-60,"NEAT1","11:65422774-65445540","+","lncRNA"
"ENSG00000213903",1116.68695309866,4.8014882241615,0.296145980260707,2.81989575932657e-60,1.27980969037036e-56,"LTB4R","14:24311450-24318036","+","protein_coding"
"ENSG00000261786",1126.53577565534,5.87124513714565,0.364833786894873,1.37120545149958e-59,4.97857275330467e-56,"AC006058.1","3:44117299-44122365","+","lncRNA"
"ENSG00000250067",382.074317318415,5.28421764447839,0.343889980781365,2.57676804288291e-54,7.79644117508271e-51,"YJEFN3","19:19528861-19537581","+","protein_coding"
"ENSG00000232931",330.819017761068,5.77072706550538,0.391500799177521,7.03154614490467e-50,1.82358126735142e-46,"LINC00342","2:95807052-95835003","-","lncRNA"
"ENSG00000251562",24174.5373501173,5.78814807350417,0.394953573349655,9.19110093558558e-50,2.08569057980776e-46,"MALAT1","11:65497688-65506516","+","lncRNA"
"ENSG00000262580",324.908160723646,5.54002809024921,0.380350052504358,4.29856370630361e-49,8.67068061380398e-46,"AC087741.1","17:80200673-80205949","-","lncRNA"
"ENSG00000264112",2362.42675018835,5.29344974052805,0.365444129033927,9.04335095497585e-49,1.64172993236632e-45,"AC015813.1","17:57989039-57994850","-","lncRNA"
"ENSG00000115414",2901.71043892868,3.85574139674096,0.26642205652323,1.73811689993323e-48,2.86852492739889e-45,"FN1","2:215360440-215436073","-","protein_coding"
"ENSG00000073605",407.204839335636,4.54480879835226,0.314865082518423,3.20286158389674e-48,4.72202103054787e-45,"GSDMB","17:39904595-39919854","-","protein_coding"
"ENSG00000172037",2488.34181065109,4.46923447168074,0.310189182584657,3.38141860731091e-48,4.72202103054787e-45,"LAMB2","3:49121114-49133118","-","protein_coding"
"ENSG00000005206",901.877737739572,4.26812111904175,0.29859087708925,1.80551550748236e-47,2.34123775163105e-44,"SPPL2B","19:2328615-2355095","+","protein_coding"
"ENSG00000088340",313.445166175259,4.9696523438417,0.347431206846731,2.14798965951749e-47,2.5996402852587e-44,"FER1L4","20:35558737-35607562","-","transcribed_unitary_pseudogene"
"ENSG00000158286",650.96300767158,4.57342144150637,0.323976071340526,1.9272820579758e-46,2.18674240503079e-43,"RNF207","1:6205475-6221299","+","protein_coding"
"ENSG00000121716",2333.87345732047,4.0137459179443,0.285530322003962,5.73774711651521e-46,6.12723889136572e-43,"PILRB","7:100352176-100367733","+","protein_coding"
"ENSG00000114270",3166.47355472091,4.59404307966966,0.327358018628569,6.94032261703782e-46,6.99970093276137e-43,"COL7A1","3:48564073-48595267","-","protein_coding"
"ENSG00000101104",756.682522482007,4.52641321503889,0.324956954290716,2.61979193407319e-45,2.50314225111393e-42,"PABPC1L","20:44910062-44959035","+","protein_coding"
